"Sample","P07-24","P07-25","P07-26","25-AF","10AFK3","AFK","AFK-1","AFK-2","10AFK-4","P07-26","10AFK5","AFK","AFK-1","AFK-2","AFK-5","10AFK1","10AFK2","10AFK4","10AFK5"
"Mineral","Ap","Ap","Ap","Tit","Tit","Tit","Tit","Tit","Tit","Tit","Tit","Cc","Cc","Cc","Cc","Cc","Cc","Cc","Cc"
"SiO2","068","079","054","3097","3108","3095","3102","3122","3110","3098","3112","","","","","","","",""
"TiO2","","","","3769","3734","3530","3180","3356","3855","3767","3896","","","","","","","",""
"Al2O3","","","","104","121","082","383","248","023","091","020","","","","","","","",""
"FeO","","","","136","112","226","137","251","119","121","101","","","","","","","",""
"CaO","5462","5482","5469","2823","2799","2789","2859","2876","2766","2825","2752","","","","","","","",""
"Na2O","","","","","","","009","005","023","005","023","","","","","","","",""
"P2O5","4104","4056","4095","","","","","","","","","","","","","","","",""
"Total","9634","9617","9618","9929","9874","9722","9670","9858","9896","9907","9904","","","","","","","",""
"Rb","027","029","026","023","034","031","005","028","038","","033","027","008","006","006","032","026","032","029"
"Sr","5430","4789","4666","608","335","321","494","779","482","","426","2997","2967","2576","930","3447","1971","6542","5407"
"Ba","13","99","34","11","14","48","30","380","14","","18","69","240","171","95","1250","521","733","153"
"Nb","091","129","052","1992","2918","4148","5396","6156","4168","","3535","019","008","027","076","030","046","015","014"
"Ta","005","005","005","61","185","220","309","278","170","","170","006","000","002","002","007","006","006","005"
"Zr","91","10","64","1709","2342","2534","2231","151","2906","","2686","041","014","008","86","049","040","045","043"
"Hf","031","032","030","52","60","39","48","36","48","","4155","033","003","002","021","036","032","035","034"
"Pb","26","12","13","16","35","20","35","12","11","","093","088","078","13","17","069","101","39","161"
"Th","30","28","36","79","133","42","43","53","2477","","2210","014","004","022","045","026","008","005","005"
"U","46","39","52","40","14","13","26","78","15","","275","005","002","001","006","005","005","005","004"
"La","1794","1048","1064","561","1831","474","932","956","728","","620","85","40","34","70","57","47","270","143"
"Ce","2979","1654","1694","1136","4534","1791","3717","3052","2678","","2391","274","11","10","162","112","82","454","225"
"Pr","308","176","168","113","530","279","554","394","428","","394","39","30","17","15","13","80","36","17"
"Nd","1042","562","497","367","1889","1130","2365","1343","1788","","1661","223","29","14","54","57","32","125","62"
"Sm","126","90","84","86","245","187","391","175","302","","269","81","30","15","84","15","67","21","14"
"Eu","30","22","22","27","56","44","105","42","73","","61","23","16","80","25","41","16","47","42"
"Gd","82","63","65","70","135","91","184","59","153","","122","64","52","29","77","15","51","14","14"
"Tb","76","61","68","88","14","10","21","62","16","","13","68","66","38","068","15","060","14","23"
"Dy","30","25","30","40","56","36","78","23","62","","47","27","26","15","27","66","28","62","115"
"Ho","44","37","49","61","78","43","92","24","74","","55","38","35","20","044","11","051","10","19"
"Er","74","66","98","11","13","63","15","41","11","","80","58","50","27","071","19","10","19","33"
"Tm","074","068","11","11","13","058","13","041","096","","071","052","032","015","004","017","013","022","034"
"Yb","37","35","65","57","65","29","54","22","43","","31","20","094","040","013","075","075","12","16"
"Lu","043","043","075","049","062","027","038","020","032","","024","021","007","003","001","013","011","014","019"
"Y","97","85","134","109","108","49","137","37","85","","62","63","72","43","13","25","95","18","29"
