"Sample no.","Area","Lithology","Rb","Sr","87Rb/86Sr","87Sr/86Sr","2σm","Isr(120)","Sm","Nd","147Sm/144Nd","143Nd/144Nd","2σm","εNd(0)","εNd(120)"
"AA22","Iratsu body","Eclogite","0.52","385","0.0039","0.704411","8","0.704411","1.74","5.46","0.1926","0.512797","7","+3.1","+3.2"
"SAO25","Iratsu body","Gt amphibolite","0.37","123","0.0088","0.704674","10","0.704674","1.46","4.19","0.2110","0.512849","11","+4.1","+3.9"
"Sb68","Iratsu body","Eclogite","0.46","427","0.0031","0.704446","8","0.704446","3.56","12.08","0.1779","0.512798","6","+3.1","+3.4"
"Sb74","Iratsu body","Gt clinopyroxenite","0.28","371","0.0021","0.704369","9","0.704369","1.38","4.26","0.1961","0.512814","6","+3.4","+3.4"
"Sb84","Iratsu body","Gt amphibolite","1.26","816","0.0045","0.704355","7","0.704355","1.80","5.75","0.1896","0.512842","6","+4.0","+4.1"
"Sb152","Iratsu body","Eclogite","0.32","651","0.0014","0.704801","9","0.704801","1.85","5.58","0.2005","0.512734","8","+1.9","+1.8"
"SC36","Iratsu body","Gt clinopyroxenite","0.55","68.2","0.0235","0.705479","9","0.705479","0.34","0.64","0.3243","0.512733","5","+1.9","−0.1"
"SC40","Iratsu body","Gt clinopyroxenite","0.20","259","0.0023","0.704186","9","0.704186","3.03","10.68","0.1717","0.512778","6","+2.7","+3.1"
"SC42","Iratsu body","Gt clinopyroxenite","0.35","60.6","0.0168","0.705544","9","0.705544","0.58","1.42","0.2487","0.512756","6","+2.3","+1.5"
"SD35","Iratsu body","Eclogite","0.52","618","0.0024","0.706173","8","0.706173","7.25","31.37","0.1398","0.512610","6","−0.5","+0.3"
"SK6","Iratsu body","Gt amphibolite","2.64","702","0.0109","0.706228","9","0.706228","4.78","19.79","0.1460","0.512548","7","−1.7","−1.0"
"SK90","Iratsu body","Gt clinopyroxenite","0.28","43.7","0.0185","0.705594","9","0.705594","0.91","2.31","0.2382","0.512701","7","+1.2","+0.6"
"SK111","Iratsu body","Eclogite","5.03","462","0.0315","0.704988","7","0.704987","4.76","19.99","0.1439","0.512668","6","+0.6","+1.4"
"SN3","Iratsu body","Eclogite","0.55","388","0.0041","0.704759","9","0.704759","3.29","11.09","0.1793","0.512711","7","+1.4","+1.7"
"SO5","Iratsu body","Gt amphibolite","1.42","821","0.0050","0.704624","8","0.704624","2.87","9.72","0.1784","0.512781","6","+2.8","+3.1"
"SO9","Iratsu body","Gt amphibolite","66.4","279","0.6897","0.707636","9","0.707624","6.41","29.98","0.1292","0.512546","7","−1.8","−0.8"
"SO18","Iratsu body","Gt clinopyroxenite","0.37","50.9","0.0210","0.705375","10","0.705375","0.54","1.66","0.1988","0.512658","7","+0.4","+0.4"
"SY117","Iratsu body","Gt amphibolite","0.74","523","0.0041","0.704731","9","0.704731","2.82","8.59","0.1984","0.512741","6","+2.0","+2.0"
"SHT15","Iratsu margin","Qz Eclogite","13.3","154","0.2496","0.704261","7","0.704256","2.71","10.16","0.1614","0.512937","7","+5.8","+6.4"
"SHT18","Iratsu margin","Qz Eclogite","9.65","87.5","0.3191","0.705081","9","0.705075","1.61","5.11","0.1899","0.512960","6","+6.3","+6.4"
"SO102","Iratsu margin","Pelitic gneiss","97.4","167","1.6851","0.710793","7","0.710765","5.20","25.08","0.1253","0.512294","8","−6.7","−5.6"
"SY41","Iratsu margin","Pelitic gneiss","134","166","2.3268","0.711256","8","0.711216","7.57","40.52","0.1130","0.512347","6","−5.7","−4.4"
"SO21","Sanbagawa Schist","Maﬁc schist","9.86","351","0.0814","0.703310","8","0.703309","3.91","14.26","0.1658","0.512888","7","+4.9","+5.4"
"SO22","Sanbagawa Schist","Maﬁc schist","17.5","220","0.2295","0.704632","7","0.704628","2.88","8.73","0.1996","0.512950","7","+6.1","+6.0"
"SO24","Sanbagawa Schist","Maﬁc schist","2.68","77.7","0.0998","0.703955","7","0.703954","1.98","5.91","0.2022","0.512991","7","+6.9","+6.8"
"SO28","Sanbagawa Schist","Maﬁc schist","17.1","254","0.1953","0.703485","8","0.703482","4.91","17.92","0.1656","0.512885","6","+4.8","+5.3"
"Sb38","Sanbagawa Schist","Pelitic schist","107","177","1.7509","0.710120","8","0.710090","4.73","24.26","0.1178","0.512345","7","−5.7","−4.5"
"SO52","Sanbagawa Schist","Pelitic schist","143","54.3","7.6424","0.716063","8","0.715933","3.40","15.58","0.1319","0.512317","8","−6.3","−5.3"
