"","1","2","3","4","5","6","7","8","9","10","Ave","SD(1σ)","RSD(%)","Recommendedvaluea"
"RGM-1","","","","","","","","","","","","","",""
"SiO2","7329","7342","7349","7335","7329","7329","7342","7349","7335","7329","7337","0081","011","7350"
"TiO2","028","028","028","028","027","028","028","027","028","028","028","0003","094","027"
"Al2O3","1422","1422","1421","1421","1419","1422","1422","1421","1421","1419","1421","0010","007","1380"
"⁎","","","","","","","","","","","","","",""
"Fe2O3","173","172","173","172","172","173","173","172","172","172","172","0002","013","189"
"MnO","004","004","004","004","004","004","004","004","004","004","004","0000","118","004"
"MgO","023","022","023","024","024","022","023","023","024","024","023","0006","263","028"
"CaO","122","122","121","122","121","122","122","121","121","122","121","0004","034","115"
"Na2O","401","394","406","400","399","406","394","401","399","400","400","0041","104","412"
"K2O","422","422","421","421","421","422","422","421","421","421","421","0004","010","435"
"P2O5","006","006","006","006","006","006","006","006","006","006","006","0001","126","005"
"W-2","","","","","","","","","","","","","",""
"SiO2","5208","5210","5201","5208","5211","5201","5210","5208","5208","5211","5208","0036","007","5270"
"TiO2","109","109","108","108","109","109","109","108","108","109","108","0005","047","106"
"Al2O3","1544","1542","1545","1545","1547","1545","1542","1544","1545","1547","1545","0016","010","1545"
"⁎","","","","","","","","","","","","","",""
"Fe2O3","1083","1084","1083","1083","1084","1083","1084","1083","1083","1084","1083","0005","004","1080"
"MnO","016","017","016","016","016","016","017","016","016","016","016","0001","077","017"
"MgO","638","643","645","640","638","638","643","645","640","638","641","0029","045","637"
"CaO","1101","1100","1102","1101","1101","1101","1100","1102","1101","1101","1101","0005","005","1086"
"Na2O","216","219","218","220","218","216","220","218","219","218","218","0014","065","220"
"K2O","060","061","060","060","060","060","060","061","060","060","060","0001","025","063"
"P2O5","014","014","014","014","014","014","014","014","014","014","014","0002","135","014"
