"Sample","AA22","SAO25","Sb68","Sb74","Sb77","Sb84","Sb152","SC36","SC40","SC42","SD35","SK6","SK90","SK111"
"Complex","TheIratsubody","","","","","","","","","","","","",""
"LAT(°N)a","338930","338827","338768","333780","338793","338817","338806","338794","338792","338794","338866","338844","338788","338897"
"LNG(°E)a","1334144","1334233","1334148","1334144","1334151","1334171","1334029","1333947","1333928","1333902","1333875","1334196","1333863","1334114"
"Lithology","EC","GAM","EC","GCP","GCP","GAM","EC","GCP","GCP","GCP","EC","GAM","GCP","EC"
"T(°C)b","607","","660","664","683","","659","673","743","664","650","","","591"
"(wt%)","","","","","","","","","","","","","",""
"SiO2","4535","4324","4451","4293","4224","4294","4654","4141","4059","4084","4884","4966","3992","4685"
"TiO2","131","137","101","105","134","087","065","086","084","091","096","103","120","135"
"Al2O3","1648","1390","1701","1624","1601","2454","1589","1745","1900","1793","1475","1931","1913","1639"
"⁎","","","","","","","","","","","","","",""
"Fe2O3","1821","2000","1406","1620","1890","1168","1144","1569","1599","1765","877","1080","1953","1349"
"MnO","029","022","028","019","018","026","017","021","030","028","020","020","033","023"
"MgO","578","912","764","777","714","485","621","940","827","804","401","476","709","460"
"CaO","1039","1154","1220","1400","1331","1251","1471","1411","1422","1433","1708","881","1426","1237"
"Na2O","271","078","237","105","075","220","338","081","088","030","175","346","011","345"
"K2O","003","001","006","ld","004","011","005","001","005","ld","ld","047","ld","050"
"P2O5","007","004","015","005","016","030","011","009","016","006","051","031","018","052"
"LOI","030","044","108","036","050","197","065","046","046","032","179","143","028","057"
"Total","10092","10065","10038","9984","10057","10223","9979","10047","10075","10067","9864","10026","10204","10030"
"(ppm)","","","","","","","","","","","","","",""
"Sc","462","372","426","456","462","165","293","430","396","489","267","220","551","277"
"V","575","558","396","589","930","173","308","535","483","527","137","191","558","245"
"Cr","126","82","544","569","621","130","1028","184","513","474","392","150","24","151"
"Co","339","873","405","547","605","228","331","543","487","453","243","298","463","305"
"Ni","122","761","320","276","323","96","345","194","323","201","240","152","108","118"
"Cu","402","1952","205","419","1100","293","671","172","389","526","1137","282","269","132"
"Zn","110","113","110","87","106","59","84","74","110","80","107","118","98","103"
"Ga","198","132","175","182","193","221","193","158","181","135","153","221","133","177"
"Rb","052","037","046","028","041","126","032","055","020","035","052","264","028","503"
"Sr","385","123","427","371","325","816","651","68","259","61","618","702","44","462"
"Y","120","99","257","93","144","103","125","40","203","49","320","213","75","230"
"Zr","116","122","220","187","211","145","173","07","111","09","631","764","09","374"
"Nb","031","024","116","053","140","047","027","0005","054","007","1303","454","017","302"
"Cs","024","011","038","021","013","057","014","014","006","025","029","054","019","040"
"Ba","290","66","270","168","70","919","75","206","100","28","59","2596","13","1631"
"La","279","109","390","182","618","226","174","026","652","044","1863","1457","055","1265"
"Ce","669","365","1299","497","1559","570","529","035","1539","123","4954","3181","178","3000"
"Pr","107","072","230","083","218","100","101","010","221","023","710","439","036","432"
"Nd","546","419","1208","426","955","575","558","064","1068","142","3137","1979","231","1999"
"Sm","174","146","356","138","244","180","185","034","303","058","725","478","091","476"
"Eu","076","047","117","056","065","100","062","024","099","036","161","153","051","137"
