"Formation","","LagunillasFormation","","PicudoFormation","","","","","","","","","AlgarrobalFormation","","","","","","ASVC","",""
"Sample","PR-09-05","PR-09-06","PR-10-41","PR-10-42B","PR-10-45","PR-11-164","PR-11-168","M-8","M-14","M-15","M-17","M-22","M-25","M-26","M-31","M-105","PR-11-132A","PR-11-134C","PR-11-139","PR-11-153","PR-11-154"
"SiO2","5795","5288","5596","6785","4914","4997","","6987","5387","5853","6091","6120","6245","6481","5688","6924","5399","5582","5371","5468","5007"
"TiO2","100","103","108","057","118","103","","046","156","161","130","135","111","067","107","044","125","162","064","095","064"
"Al2O3","1820","1850","1802","1337","1700","1695","","1274","1117","1353","1201","1262","1225","1305","1333","1256","1323","1328","1521","1476","1649"
"FeO(t)","483","651","592","221","854","649","","299","768","615","678","687","598","402","613","253","1067","1221","638","610","663"
"MnO","018","011","010","010","014","009","","012","017","009","020","021","014","011","018","012","013","009","011","007","009"
"MgO","218","302","296","061","591","552","","085","303","315","222","163","259","274","438","063","408","495","687","434","774"
"CaO","650","886","658","063","970","883","","211","1094","559","769","581","685","461","952","341","461","710","799","908","1037"
"Na2O","384","407","392","575","315","338","","448","288","306","289","385","309","517","426","528","529","355","317","305","320"
"K2O","201","162","209","430","103","132","","292","148","514","211","352","247","159","098","199","036","168","136","088","088"
"P2O5","035","028","035","015","029","041","","014","073","063","033","032","032","014","025","013","048","053","024","036","020"
"LOI","226","207","220","439","282","591","","210","537","145","234","141","168","210","183","310","578","002","426","563","363"
"Total","9930","9895","9918","9995","9890","9990","","9878","9888","9893","9878","9879","9893","9901","9881","9943","9987","10084","9994","9990","9994"
"#Mg","4458","4528","4712","033","5523","6025","","3365","4130","4774","3684","2974","4355","5484","5603","3076","4054","4194","6574","5595","6754"
"Rb","5100","1800","5300","5052","1900","1108","1744","–","3189","–","–","13979","–","–","–","–","1818","3308","3156","929","837"
"Cs","–","–","–","026","–","009","011","137","235","2640","532","580","407","450","498","185","055","142","186","028","014"
"Pb","951","592","988","1225","432","364","576","–","–","–","2300","–","–","–","–","–","073","091","407","135","041"
"Ba","58549","61409","58858","105963","31799","20635","49199","55700","2400","35200","19700","25400","16100","26400","16300","34700","12285","20267","13969","13044","4785"
"Th","490","240","547","571","155","155","159","664","1320","1490","532","653","1120","145","216","691","745","426","252","360","034"
"U","132","053","143","125","041","038","037","168","280","331","162","182","288","062","063","175","158","107","055","087","021"
"Nb","1317","526","1176","2458","768","202","091","802","162","189","677","750","887","354","452","732","240","172","061","225","089"
"Ta","087","035","081","123","043","005","003","067","106","133","055","064","076","126","035","064","012","007","003","005","002"
"Sr","59700","235000","64600","12877","59900","33839","193537","55800","82100","77700","57100","55100","62700","96200","52900","25000","8284","13047","32142","18442","15004"
"Zr","18300","5700","19800","23380","11000","6057","6007","26400","39400","30800","17600","18800","22800","16600","12500","23700","11582","11606","7670","6225","678"
"Hf","399","284","458","509","282","144","182","137","235","913","532","580","407","450","498","185","254","268","186","157","019"
"Sc","–","–","–","789","–","1227","1049","–","–","–","–","–","–","–","–","–","1973","1659","1758","1576","1567"
"V","15312","17532","17832","3314","23061","8838","5825","6500","19900","18500","15100","16200","13700","8900","13500","5400","15119","13854","10898","9943","7139"
"Cr","1977","655","3050","187","23289","3147","484","1100","5900","1100","3800","1300","5000","4800","8700","2100","122","699","15279","2604","4416"
"Ni","2000","1700","3200","291","13000","2838","1019","4900","7000","5600","6200","5900","7100","7900","8900","4900","520","314","6462","1168","1868"
"Zn","6600","8100","6700","13261","7700","3541","6369","21200","11000","6800","9300","11900","10100","10800","15800","15000","1027","1107","4887","1114","14158"
"Y","2188","1541","1896","2461","1817","1101","1639","1100","1000","1800","1000","1300","1200","–","–","–","2463","2252","1839","1787","1223"
"La","2510","4421","2606","3234","1510","866","3010","2750","5850","5410","2350","2650","2840","1070","1750","2760","1256","1507","922","970","148"
"Ce","5333","8715","5595","7287","3302","2181","7079","5490","12600","11400","5280","5870","6260","2330","3940","5610","3660","3065","2115","2137","643"
"Pr","661","1037","716","736","461","250","668","674","1580","1400","678","760","791","294","511","679","506","434","264","241","100"
"Nd","2578","3624","2852","3596","2010","1190","2955","2850","7130","6270","3090","3460","3560","1310","2410","2920","2146","1882","1188","1274","551"
"Sm","500","528","541","680","439","245","422","522","1250","1120","676","743","684","290","484","520","485","436","268","292","175"
"Eu","138","163","144","187","138","073","134","122","287","248","159","166","144","095","152","123","099","089","077","067","041"
"Gd","443","445","442","612","376","219","398","444","1000","912","652","684","615","274","434","445","455","411","264","275","171"
"Tb","066","060","063","085","057","030","049","070","142","132","106","110","098","044","069","070","069","064","041","042","029"
"Dy","350","266","314","434","313","155","233","426","778","746","642","663","575","252","407","419","390","367","234","233","175"
"Ho","070","050","061","084","061","029","043","090","159","152","139","141","122","054","085","089","080","075","047","047","035"
"Er","196","138","169","243","163","082","123","256","418","400","373","376","334","142","228","252","237","221","136","132","101"
"Tm","–","–","–","032","–","010","015","038","058","057","055","054","048","022","032","038","033","030","018","018","014"
"Yb","198","124","163","218","151","071","100","250","369","353","349","352","305","135","201","247","225","209","126","119","091"
"Lu","029","018","024","032","022","010","014","039","055","052","052","052","045","021","030","037","033","031","019","017","013"
"ƩREE","13072","19589","13690","17461","9003","5413","15242","14021","31676","28651","14600","16081","16421","6333","10733","14210","9674","8821","5720","5864","2288"
