"Samplenumber","Lithology","Notes","Analysedmineral","Age(Ma)"
"8A","Bio-gneiss","Shumikhinfm","Biotite","291±5"
"9A","Bio-gneiss","Shumikhinfm","K-feldspar","240+22"
"9A","Bio-gneiss","Shumikhinfm","Biotite","267-4-7"
"11","Plagiogranite","Dyke","Biotite","278q-5"
"12","Plagiogranite","Dyke","Muscovite","205q-1"
"13A","Plagiogneiss","Chemovfm","Biotite","2454-2"
"13B","Plagiogranite","Dyke","Muscovite","2524-3"
"14","Amphibolite","Chemovfm","Biotite","2324-1"
"14","Amphibolite","Chemovfm","Amphibole","2444-10"
"15","Amphibolite","Chemovfm","Amphibole","2554-9"
"16A","Amphibolite","Chernovfm","Amphibole","2694-10"
"16B","Amphibolite","Chernovfm","Amphibole","2784-5"
"17","Amphibolite","Chernovfm","Amphibole","2494-4"
"20","Granite","Chernovfm","K-feldspar","2574-25"
"20","Granite","Chemovfm","Biotite","2584-6"
"20","Granite","Chemovfm","Muscovite","2624-6"
"21","Bio-gneiss","Shumikhinfm","Biotite","2654-6"
"21","Bio-gneiss","Shumikhinfm","Plagioclase","2714-20"
"36B","Amphibolite","Shumikhinfm","Biotite","2514-5"
"36B","Amphibolite","Shumikhinfm","Amphibole","2834-7"
"37","Plagiogneiss","Chemovfm","Biotite","2004-5"
