"","","","","","","","","C",""
"Spot","176Lu/177Hf","176Hf/177Hf","Error","Age(Ma)","(176Hf/177Hf)i","εHf(t)","TDM(Ga)","TDM","(Ga)"
"QTL-13","","","","","","","","",""
"1","0000632","0282521","0000024","160","0282519","−54","103","155",""
"2","0000750","0282508","0000026","160","0282506","−59","105","158",""
"3","0000518","0282537","0000017","160","0282535","−49","100","151",""
"4","0000656","0282504","0000021","160","0282502","−60","105","159",""
"5","0000619","0282519","0000021","160","0282517","−55","103","155",""
"6","0000663","0282514","0000022","160","0282512","−57","104","157",""
"7","0000609","0282541","0000018","160","0282539","−47","100","150",""
"8","0001187","0282509","0000021","160","0282505","−59","106","158",""
"9","0000737","0282452","0000022","160","0282450","−79","112","170",""
"10","0000679","0282546","0000020","160","0282544","−46","099","149",""
"11","0000772","0282553","0000022","160","0282551","−43","098","148",""
"12","0000627","0282542","0000025","160","0282540","−47","100","150",""
"13","0000862","0282557","0000023","160","0282554","−42","098","147",""
"14","0001339","0282569","0000028","160","0282565","−38","098","145",""
"15","0000611","0282512","0000020","160","0282510","−58","104","157",""
"16","0000504","0282514","0000018","160","0282512","−57","103","156",""
"17","0000826","0282576","0000022","160","0282574","−35","095","143",""
"18","0000836","0282570","0000021","160","0282568","−37","096","144",""
"19","0000519","0282517","0000018","160","0282515","−56","103","156",""
"20","0000471","0282531","0000021","160","0282530","−51","101","153",""
"21","0000505","0282451","0000020","160","0282449","−79","112","170",""
"QTL-2","","","","","","","","",""
"1","0001184","0282616","0000026","160","0282612","−21","091","134",""
"2","0000688","0282525","0000023","160","0282523","−53","102","154",""
"3","0000650","0282417","0000024","160","0282415","−91","117","178",""
"4","0000867","0282590","000002","160","0282587","−30","093","140",""
"5","0001398","0282713","0000025","160","0282709","13","077","113",""
"6","0000712","0282536","0000021","160","0282534","−49","101","152",""
"7","0000663","0282509","0000022","160","0282507","−59","104","158",""
"8","0000966","0282618","0000037","160","0282615","−20","090","134",""
"9","0000702","0282595","0000023","160","0282593","−28","092","138",""
"10","0001267","0282687","0000055","160","0282683","04","081","118",""
"11","0001173","0282612","0000031","160","0282608","−23","091","135",""
"12","0001441","0282722","0000064","160","0282718","16","076","111",""
"13","0000902","0282755","0000084","160","0282752","28","070","103",""
"14","0001290","0282560","0000018","160","0282556","−41","099","147",""
"15","0001172","0282599","0000022","160","0282595","−27","093","138",""
"16","0000512","0282534","0000017","160","0282532","−50","100","152",""
"17","0000967","0282555","0000026","160","0282552","−43","099","148",""
"18","0001471","0282463","0000025","160","0282459","−76","113","168",""
"19","0001318","0282642","0000038","160","0282638","−12","087","128",""
"20","0001635","0282553","0000025","160","0282548","−44","101","148",""
"21","0000917","0282561","0000023","160","0282558","−41","098","146",""
"QTL-4","","","","","","","","",""
"1","0002164","0282595","0000034","160","0282589","−30","096","139",""
"2","0000577","0282541","0000032","160","0282539","−47","100","150",""
"3","0000569","0282499","0000021","160","0282497","−62","105","160",""
"4","0001033","0282543","0000019","160","0282540","−47","101","150",""
"5","0000618","0282543","0000025","160","0282541","−47","099","150",""
"6","0001286","0282650","0000044","160","0282646","−09","086","127",""
"7","0000733","0282520","0000022","160","0282518","−55","103","155",""
"8","0000511","0282507","0000022","160","0282505","−59","104","158",""
"9","0000880","0282575","0000026","160","0282572","−36","096","143",""
"10","0000768","0282540","0000027","160","0282538","−48","100","151",""
"11","0001711","0282618","0000030","160","0282613","−21","092","134",""
"12","0001038","0282618","0000030","160","0282615","−20","090","134",""
"13","0000602","0282659","0000023","160","0282657","−06","083","124",""
"14","0000890","0282708","0000029","160","0282705","12","077","113",""
"15","0000660","0282511","0000030","160","0282509","−58","104","157",""
"16","0000697","0282702","0000028","160","0282700","10","077","115",""
"17","0000492","0282127","0000028","160","0282126","−194","157","242",""
"18","0000695","0282746","0000028","160","0282744","25","071","105",""
"19","0000605","0282715","0000030","160","0282713","14","075","112",""
"20","0000747","0282591","0000025","160","0282589","−30","093","139",""
"21","0000864","0282697","0000022","160","0282694","08","078","116",""
