"Sample","13-","13-","13-","13-","13-","","13-","13-","13-","13-","13-","13-","13-","","13-","13-","13-","13-","13-","13-","13-"
"","LX01","LX02","LX03","LX04","LX05","","LX06","LX07","LX08","LX09","LX10","LX11","LX12","","LX13","LX14","LX15","LX16","LX17","LX18","LX19"
"SiO2","7607","874","7734","6967","4762","","4824","5012","5091","5165","4554","4877","4813","","5255","5449","5253","6026","5431","5356","4792"
"","","","","","","","","","","","","","","","","T","","","","",""
"TiO2","049","011","054","042","131","","134","128","130","134","039","123","123","","149","142","147","102","137","138","131"
"","","","","","","","","","","","","","","","RIP","","","","","",""
"Al2O3","984","209","914","1476","1557","","1569","1683","1702","1765","1732","1643","1620","","1671","1603","1657","1629","1720","1645","1581"
"","","","","","","","","","","","","","","C","","","","","","",""
"Fe2O3*","312","072","291","314","1004","","1171","822","853","874","1160","961","1002S","","951","875","993","575","833","753","991"
"","","","","","","","","","","","","U","","","","","","","","",""
"MnO","004","001","006","006","015","","018","013","014","014","017","015","015","","014","013","015","009","013","010","015"
"","","","","","","","","","","","N","","","","","","","","","",""
"MgO","137","100","120","121","747","","696","634","653","","1178A","756","814","","532","499","616","253","481","346","800"
"CaO","097","4718","112","291","863","","818","698","749","DM","1186","912","804","","792","718","757","478","706","517","813"
"","","","","","","","","","","","","","","","","","","","","",""
"Na2O","230","009","225","331","275","","319","383","422","","114","324","317","","377","363","387","360","397","412","339"
"","","","","","","","","","E","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"K2O","176","091","170","389","181","","160","250T","246","248","015","145","154","","198","234","215","399","268","342","163"
"","","","","","","","","P","","","","","","","","","","","","",""
"P2O5","013","003","013","013","037","","037E","052","051","053","005","037","039","","037","032","042","041","045","074","040"
"","","","","","","C","","","","","","","","","","","","","","",""
"LOI","308","3854","319","074","299","","196","225","001","101","055","168","209","","002","002","002","045","001","269","306"
"","","","","","C","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Total","9917","9942","9958","10024A","9871","","9942","9900","9910","10053","10055","9961","9910","","9978","9930","10084","9917","10030","9862","9971"
"Mg#","493","755","478","461","623","","569","631","629","612","693","636","643","","554","559","579","494","562","505","642"
