"Eu","0.89","0.99","0.91","1.55","1.54","1.59","","1.61","1.58","0.60"
"Gd","3.83","4.58","4.64","4.67","4.68","4.83","","4.67","4.93","1.39"
"Tb","0.56","0.69","0.69","0.70","0.69","0.71","","0.73","0.74","0.21"
"Dy","3.47","4.06","4.16","4.24","4.23","4.27","","4.36","4.56","1.39"
"Ho","0.70","0.82","0.84","0.87","0.83","0.86","","0.86","0.90","0.25"
"Er","1.96","2.40","2.57","2.39","2.28","2.51","","2.45","2.46","0.68"
"Tm","0.30","0.36","0.41","0.36","0.34","0.35","","","0.36","0.12"
"Yb","1.87","2.37","2.91","2.22","2.12","2.15","","PT","2.39","0.67"
"","","","","","","","","","",""
"Lu","0.28","0.36","0.43","0.31","0.30","0.34","I","","0.33","0.08"
"","","","","","","","R","","",""
"Hf","6.04","10.14","5.40","3.48","3.52","","","4.38","4.48","0.67"
"Ta","0.71","0.81","2.43","0.86","0.80","USC","","1.48","1.51","0.07"
"W","1.20","1.27","0.35","0.29","0.22","","","0.53","0.64","0.16"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Tl 
Pb","0.17  
10.89","0.17  
13.12","","","","7.73","","0.01  
7.34","0.06  
7.57","0.01  
1.57"
"Bi","0.07","0.13","","","","0.03","","0.02","0.02","0.02"
"Th","8.41","10.59","","","","7.92","","7.81","8.03","0.23"
"U","2.60","2.14","","","","1.29","","1.27","1.30","0.08"
"","","","CEPTED MAN","","","","","","",""
