"sample","87Sr/86Sr","±2","143Nd/144Nd","","±2","","176Hf/177Hf","","±2","206Pb/204Pb","","±2","","207Pb/204Pb","±2","","208Pb/204Pb","±2","Nd","Hf"
"13LX01","0724770","16","0511944","","7","","0282407","","3","18556","","0004","","15631","0003","","38882","0003","-135","-129"
"13LX03","0724022","11","0511909","","12","","0282326","","2","18573","","0007","","15644","0007","","39176","0007","-142","-158"
"13LX04","0718229","11","0512083","","9","","0282656","","18","19133","","0003","","15774","0004","","39638","0005","-108","-41"
"","","","","","","","","","","","","","","","","T","","","",""
"13LX05","0706927","12","0512500","","8","","0282912","","3","18214","","0008","","15656","0008","","38998","0008","-27","+50"
"13LX06","0706907","15","0512428","","9","","0282918","","2","18248","","0004","","15687","0004RIP","","39098","0004","-41","+52"
"13LX07","0705851","16","0512596","","5","","0282937","","2","18318","","0003","","15665","0005","","39012","0005","-08","+58"
"13LX08","0705797","18","0512624","","10","","0282936","","3","18323","","0004","","15665C","0003","","39008","0004","-03","+58"
"","","","","","","","","","","","","","S","","","","","","",""
"13LX09#","0705814","15","0512671","","11","","0282932","","3","18310","","0003","","15648","0004","","38950","0005","06","+57"
"","","","","","","","","","","","","U","","","","","","","",""
"13LX10","0707613","14","0512436","","14","","0282624","","8","19054","","0009","","15700","0009","","39063","0010","-39","-53"
"","","","","","","","","","","","N","","","","","","","","",""
"13LX11","0705740","15","0512683","","10","","0282968","","3","18306","","0004","","15637","0004","","38958","0005","09","+69"
"","","","","","","","","","","A","","","","","","","","","",""
"13LX12","0706030","11","0512670","","6","","0282986","","3","18299","","0003","","15641","0003","","38935","0003","06","+76"
"13LX13","0706573","17","0512474","","5","","0282825","","3","18215DM","","0003","","15669","0003","","39138","0003","-32","+12"
"13LX14","0706662","11","0512369","","31","","0282799","","2","18150","","0004","","15665","0004","","39177","0005","-52","+09"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"13LX15","0705727","11","0512560","","7","","0282920T","E","2","18293","","0003","","15677","0004","","39186","0004","-15","+52"
"13LX16","0708917","18","na","","-","","0282586","","2","18070","","0003","","15658","0003","","39129","0004","na","-66"
"","","","","","","","P","","","","","","","","","","","","",""
"13LX17","0707054","16","0512410","","5","","0282764","","2","18144","","0005","","15644","0005","","39039","0005","-44","-03"
"","","","","","","E","","","","","","","","","","","","","",""
"13LX18","0707788","12","0512349","","5","","0282741","","2","18253","","0003","","15672","0003","","39095","0004","-56","-11"
"","","","","","C","","","","","","","","","","","","","","",""
"13LX19","0707077","15","0512488","","7","","0282839","","3","18273","","0003","","15667","0003","","39104","0003","-29","+24"
"","","","","C","","","","","","","","","","","","","","","",""
"13LX02*","0711350","13","0511957","","210","","0282512","","5","19390","","0006","","15853","0006","","39472","0005","-203","-92"
"","","","A","","","","","","","","","","","","","","","","",""
"BHVO-2","0703489","14","0513044","","8","","0283109","","8","18513","","0009","","15522","0009","","38113","0010","+81","+115"
