"MineralSystem","","","Num","Class","Confidence","Map","Fuzzy",""
"","Predictormap","Buffer","","","","","","Fuzzyoperator"
"Component","","","classes","division","factor","Weight","number",""
"","SallyMalaySuite","1000","3","1000","1","09","09",""
"","PantonSuite","1000","3","1000","1","09","09",""
"","SpringvaleSuite","1000","3","1000","08","09","072",""
"Source","","","","","","","","OR"
"","TobyGabbro","1000","3","1000","08","09","072",""
"","CorridorGabbro","1000","3","1000","07","09","063",""
"","LambooUltramafic","1000","3","1000","07","09","063",""
"MagmaticNickelSulfide","Distancetoterraneboundaries","10000","11","1000","1","07","07",""
"Lithospheric","","","","","","","",""
"","DistancetomajorNEstructures","5000","6","1000","07","07","049","OR"
"Architecture","","","","","","","",""
"","DistancetomajorNWstrucrures","5000","6","1000","08","07","056",""
"","Geologicalcomplexities","NA","11","NA","08","05","04",""
"Depositional","","","","","","","",""
"","Rheologicalcontrast","NA","11","NA","08","05","04","OR"
"sites","","","","","","","",""
"","Chemicalreactivitycontrast","NA","11","NA","08","05","04",""
"Fertility","ƐNdmap","NA","4","NA","07","05","035",""
