"Sample","FLPDAT","FLPCG","CMDAT","FLE10","CTSC1","LPSUR"
"SiO2","7355","7879","7282","8401","7232","7614"
"Al2O3","1354","1149","1271","864","1521","1335"
"Fe2O3","126","090","218","054","026","101"
"MnO","0037","0007","0059","0010","0004","0026"
"MgO","035","019","052","034","027","032"
"CaO","041","006","126","022","011","037"
"Na2O","415","383","162","400","515","663"
"K2O","483","415","616","099","561","155"
"P2O5","011","003","008","004","004","003"
"TiO2","026","015","025","010","013","013"
"LOI","072","048","202","092","017","061"
"Total","9920","10007","9966","9979","9929","10018"
"Ba","1175","106","682","413","1119","210"
"Rb","150","126","219","59","137","57"
"Sr","198","124","37","134","46","90"
"Zr","305","498","129","156","202","176"
"Y","53","51","34","27","75","36"
"Nb","23","50","6","4","15","7"
"U","1","1","3","n/d","2","3"
"Th","19","25","14","15","18","18"
"Co","n/d","n/d","6","n/d","n/d","1"
"Ni","n/d","n/d","n/d","3","4","2"
"Cr","n/d","4","1","3","n/d","2"
"V","14","2","23","72","n/d","10"
"Na2O+K2O","8979","7981","7783","4985","10755","8179"
"K/Na","1165","1085","3804","0246","1090","0233"
"ASI","1058","1055","1094","1074","1032","1006"
"A/NK","1123","1065","1362","1129","1047","1061"
"Zr/Nb","13261","9960","21500","39000","13467","25143"
"Nb/Th","1211","2","0429","0267","0833","0389"
"Th(N)","22353","29412","16471","17647","21176","21176"
"Y(N)","1165","1121","747","593","1648","791"
