"","","","","c","","","c","","","","","",""
"","Samplea","Age","87Srb","87Sr(T)","143Ndb","εNd(T)","","206Pbd","207Pbd","208Pbd","206Pbe","207Pbe","208Pbe"
"","","(Ma)","","","","","","","","","","",""
"","","","86Sr","86Sr","144Nd","","","204Pb","204Pb","204Pb","204Pb","204Pb","204Pb"
"1","VG1","330","0705136±5","070466","0512593±7","10","","18475","15611","39221","1786","1558","3836"
"","","400","","070455","","14","","","","","1773","1557","3818"
"2","VG2","330","0705217±4","070470","0512568±4","03","","18272","15566","38455","1776","1554","3782"
"","","400","","070459","","07","","","","","1765","1553","3768"
"3","VG3","330","0704793±4","070466","0512573±3","01","","18411","15576","38695","1787","1555","3798"
"","","400","","070464","","04","","","","","1776","1554","3783"
"4","VG4","330","0704955±3","070470","0512670±4","23","","18241","15553","38427","1777","1553","3780"
"","","400","","070465","","27","","","","","1766","1552","3766"
"5","KE5","330","0707064±6","070601","0512680±4","25","","18157","15588","38348","1788","1557","3802"
"","","400","","070579","","28","","","","","1782","1557","3795"
"6","KE6","330","0707441±4","070635","0512642±4","17","","18250","15566","38353","1782","1554","3782"
"","","400","","070612","","21","","","","","1772","1554","3770"
"7","SH9","330","0704856±4","070448","0512658±6","24","","18331","15559","38517","1772","1553","3779"
"","","400","","070438","","28","","","","","1759","1552","3763"
"8","BS7","330","0706281±5","070359","0512646±5","21","","18395","15558","38570","1777","1553","3772"
"","","400","","070301","","25","","","","","1764","1552","3754"
"9","VG8","330","0704869±4","070394","0512613±5","07","","18338","15553","38529","1776","1552","3768"
"","","400","","070374","","09","","","","","1763","1551","3750"
"10","DG12","330","0711938±2","070775","0512256±5","−46","","18334","15591","38991","1803","1558","3817"
"11","DG13","330","0711637±4","070797","0512259±5","−46","","18470","15602","39218","1804","1558","3813"
"12","JS14","330","0706119±5","070479","0512608±4","19","","18368","15568","38541","1780","1554","3783"
"13","JS15","330","0706116±6","070493","0512651±3","25","","18379","15566","38548","1780","1554","3779"
"14","JS18","330","0708408±5","070764","0512356±6","−20","","18635","15603","39008","1809","1557","3789"
"15","SW19","330","0707204±4","070496","0512476±7","−01","","18860","15594","39160","1785","1554","3771"
"16","DG17","330","0707592±5","070501","0512472±4","−02","","18888","15620","39236","1825","1559","3806"
"17","HB20","330","0708766±4","070737","0512299±6","−31","","18970","15640","39928","1797","1559","3770"
"18","IS21","330","0706213±5","070463","0512514±5","07","","18534","15606","38904","1810","1558","3801"
