"Rock","Gabbro","","","","","","","","","","","","Calc-alkaline lamprophyre","","","","","","","",""
"","gb","gb","pg-gb","pg-gb","ol-gb","ol-gb","dt","ol-gb","gb","gb","gb-nt","sp.","sp.","sp.","sp.","sp.","sp.","sp.","sp.","sp.","sp."
"No","VG1","VG2","VG3","VG4","KE5","KE6","BS7","VG8","SH9","FB10","SH11","DG12","DG13","JS14","JS15","JS16","DG17","JS18","SW19","HB20","IS21"
"SiO2","48.9","49.0","49.0","48.9","46.5","47.7","48.8","50.3","48.4","49.4","47.9","51.1","49.9","48.6","48.7","46.5","50.5","52.1","51.7","53.7","53.0"
"TiO2","1.43","1.35","1.22","1.34","1.18","1.10","2.05","1.16","1.16","1.03","1.28","1.54","1.53","1.33","1.32","2.46","1.92","1.38","1.73","1.08","1.61"
"Al2O3","16.3","16.6","16.6","16.5","16.9","17.9","15.5","16.3","18.3","12.4","13.4","16.3","15.9","14.5","14.4","14.4","15.4","16.6","14.3","15.8","16.9"
"FeOt","10.5","10.8","10.6","10.8","9.2","8.8","13","10.5","9","10.6","11.5","8.3","8.3","10.1","10.1","9.4","9","7.3","8.7","5.9","9.8"
"MnO","0.16","0.16","0.16","0.16","0.15","0.14","0.15","0.14","0.13","0.15","0.16","0.15","0.15","0.16","0.16","0.17","0.14","0.12","0.12","0.10","0.12"
"MgO","5.90","5.5","5.9","5.6","6.8","5.8","4.5","6.2","6.0","12.0","12.4","5.1","5.2","7.1","7.2","8.0","6.4","6.3","6.3","5.6","6.0"
"CaO","9.7","9.6","10.0","9.9","9.4","9.3","9.3","10.8","11.2","10.0","8.6","6.8","7.6","9.2","9.3","8.7","5.8","6.8","7.3","7.0","6.8"
"Na2O","2.85","2.83","2.78","2.84","2.64","3.24","3.10","3.00","2.65","2.30","2.00","2.81","2.74","2.44","2.44","2.80","2.83","2.90","3.00","4.00","3.20"
"K2O","0.57","0.62","0.48","0.51","0.87","0.80","0.85","0.51","0.68","0.53","0.60","2.74","2.45","0.88","0.88","1.95","2.73","2.10","2.20","3.20","1.40"
"P2O5","0.14","0.12","0.11","0.12","0.11","0.11","0.20","0.11","0.11","0.10","0.11","0.48","0.47","0.16","0.16","0.48","0.46","0.45","0.50","0.46","0.46"
"H2O","1.51","1.41","1.28","1.36","3.86","3.26","2.10","0.40","1.58","1.03","1.88","3.06","3.33","3.29","3.11","2.08","3.16","2.42","2.40","1.50","2.14"
"CO2","0.58","0.46","0.40","0.41","1.03","0.32","0.43","0.56","0.30","0.71","0.36","0.38","1.01","0.67","0.70","1.26","0.14","0.22","0.51","0.14","0.40"
"Total","99.6","99.6","99.6","99.6","99.6","99.5","100.3","100.3","99.6","100.6","100.4","99.6","99.5","99.5","99.6","99.2","99.0","99.4","98.9","99.3","100.3"
"Ba","155","138","113","115","143","163","170","122","128","106","165","960","815","173","189","676","918","907","701","1662","500"
"Cr","134","98","155","121","149","167","40","132","140","1041","613","85","85","305","321","112","241","220","204","241","171"
"Ni","97","89","100","98","93","78","32","83","52","260","384","25","22","101","98","27","152","187","92","48","131"
"Rb","7","8","2","4","20","27","44","13","22","17","22","111","96","27","24","72","66","35","65","64","54"
"Sr","198","209","212","213","259","337","222","190","272","198","184","360","356","277","276","273","348","620","394","625","466"
"V","226","230","205","213","222","212","260","199","232","175","214.0","214","216","216","222","321","174","178","170","184","130"
"Zn","93","95","91","96","81","72","119","91","68","82.0","89.0","79","81","92","89","77","103","94","100","61","62"
"Zr","115","96","88","93","78","78","115","100","68.0","64.0","68.0","219","214","105","105","212","360","188","330","196","236"
"Y","22","19","19","20","14","14","25","18","14","14","16","31","29","17","18","56","35","24","28","29","26"
"Li","8","8","7","7","30","20","15","7","9","8","10","12","12.9","17","16","11.5","7.9","15.9","16.2","8.4","15.3"
"Nb","7.7","7","6.1","6.5","7.7","7.6","13","6.4","8.1","6.3","7.6","14","13","12","11","19","24","14.1","20.8","14","14.9"
"Mo","0.61","0.5","0.43","0.12","0.45","0.4","1.5","0.69","0.58","0.97","0.63","0.57","0.45","0.72","0.86","0.492","1.14","0.67","2.76","0.24","0.94"
"Cd","0.11","0.11","0.12","0.12","0.12","0.15","0.16","0.12","0.12","0.12","0.12","0.11","0.11","0.11","0.12","0.098","0.19","0.2","0.16","0.29","0.17"
"Cs","1.09","1.23","0.92","0.96","25","1.9","14","0.66","3.0","2.1","2.7","1.04","1.12","6.32","6.01","1.48","0.66","6.7","1.5","0.38","1.19"
