"Sample rock  type,  locality","Descrip-","SiO2 b","K 2 0   b","Rb","Sr","87Sr/g6Sr c","143Nd/144Nd  d"
"","tion a","(wt.  %)","(wt.  %)","(ppm)","(ppm)","",""
"Bufumbira","","","","","","",""
"C 1904","kivite  B 
374,700","","3.19","104","890","0.70690  4- 5",""
"C1909","kivite  M,  Muhavura 
371,697","","","164 e","1 1 1 7","0.70695  4- 2",""
"C1910","kivite  B,  Muhavura 
372,697","","","164 e","1 2 3 1","0.70681  4- 3",""
"C1912","shosh, absarokite 
491,698","","","117 e","939","0.708174-4",""
"C1918","shosh, absarok.,  Mgahinga 
471,688","48.82","4.09","129 e","806","0.707524-4",""
"C1960","kivite  B 
299","","","127 e","1 0 5 9","0.706904-3",""
"C1961","kivite  B 
299","","","87 ~","885","0.706714-  3",""
"C2007","murambite 
432,642","","","62 ~","612","0.70688  + 2",""
"C2017","shosh, absarokite 
169","","","93 e","1 0 7 0","0.70739  + 4",""
"C2022","ugandite 
219,703","","","117 e","839","0.70596  4- 6",""
"C2765","ol-leucitite 
255,643","","","126 ~","1 2 4 5","0.70628  + 4",""
"C2794","shosh, absarokite 
494,701","50.05","4.46","165","1 1 0 9","0.70756  4- 5","0.51240  +  2"
"C2799","banakite 
528,626","52.94","5.36","171","1 3 8 1","0.70720  4- 6",""
"C2800","murambite 
421,646","","","95 ~","770","0.70663  4- 4",""
"C2821","ugandite 
205,694","","","99 e","1 1 1 7","0.70658  4- 3","0.51244  4- 3"
"C2824","absarokite 
454,713","","","109 e","1 0 3 4","0.70625  4-4",""
"C2840","kivite  B 
315,634","44.41","4.24","119 e","1 1 5 2","0.70621  + 6","0.512464-  3"
"C2865","banakite 
524,737","","","141  e","1 3 2 6","0.70726  + 4","0.51234  +_ 3"
"C2881","shosh, absarokite 
516,729","","","95 e","851","0.70729_+3",""
"C2883","kivite  B-ol-leucitite 
331,730","","","90  e","816","0.70655  4- 4",""
"C2897","ugandite-murambite 
429,655","","2.83","98","862","0.705954-4",""
"C2909","mikenite,  Mikeno 
279,692","","5.96","165","1 5 5 0","0.70546  4- 3","0.51259  4- 2"
"C2911","mikenite,  Mikeno 
276,692","47.68","6.45","153","1 7 5 7","0.70572_+4",""
"C3046","ol-leucitite 
253,703","","","130","1 0 7 9","0.70591  _-t-3","0.512524-4"
"Bufumbira: Sabinyo volcano","","","","","","",""
"C2888","hypersthene-latite 
561,736","","4.80","207","655","0.70954_+ 3","0.51211  +  3"
"C2889","shoshonite 
560,736","","","179","784","0.70859  + 4","0.51213  _+ 4"
"C2893","ol-shoshonite 
554,736","","","149 c","1109 ~","0.70771  4- 3",""
"C2894","hypersthene-latite 
563,736","","5.05","203","604","0.70977+4",""
"C2895","ol-shoshonite 
557,736","","","152","1 0 2 7","0.70727  + 4",""
"CV258","latite","57.40","4.60","167","876","0.707894-8",""
"CV690","ol-shoshonite","","4.74","138","1 2 4 3","0.70746  + 4",""
"CV693","latite","","4.88","206","527","0.710304-3",""
"Nyamuragira","","","","","","",""
"C3032","kivite  M 
349,723","","","","","0.70577+3",""
"Southwest  Virunga","","","","","","",""
"C3021","mel-nephelinite,  Bushwaga 
267,636","","","136","2866","0.70463  4- 5","0.51275  +  5 f"
"C3022","mel-nephelin.,  Nyiragongo 
268,712","38.47","5.41","138","3643","0.70479  + 5","0.51277  + 2 f"
"C9872","lc-nephelinite,  Goma  crater","","","110","2 4 2 1","0.70457  _+ 5","0.51276  + 2 f"
"1972","mel-nephelin.,  Nyiragongo crater-lake","39.10","5.45","","","0.70465  4- 4","0.51276  4- 3 f"
