"Sample","2°spb","2°7pb","2°6pb","2°7pb","2°spb","Pb","U","23Su"
"","206pb","2°6pb","2°4pb","2°4pb","2°4pb","(ppm)","(ppm)","2°4pb"
"Bufumbira","","","","","","","",""
"C1904","2.0888_+ 4","0.81089+  12","19.420_+ 9","15.748","40.565","6.99","2.34","22.2"
"C1909","2.0957_+ 2","0,81432_+ 
6","19.392_+ 7","15.791","40.641","11.5","",""
"C1910","2.0956_+ 8","0.81439+  16","19.394_+ 17","15.794","40.642","11.69","4.27","24.2"
"C1912","2.0952_+ 4","0.81398 _+ 11","19.429 _ 24","15.815","40.708","","",""
"C1918","2.0936_+ 9","0.81095 + 20","19.482 +  14","15.799","40.786","","",""
"","2.0936 _+  3","0.81105 _+ 10","19.458 +  10","15.781","40.737","","",""
"C1960","2.1033_+ 2","0.81273 + 
7","19.425 +  10","15.787","40.858","","2.31",""
"C1961","2.1045_+ 
4","0.81298_+ 13","19.381 +  11","15.756","40.788","7.81","2.17","18.7"
"C2007","2.1150 -+ 15","0.81668 _+ 31","19.327 _+ 30","15.784","40.878","5.34","1.57","19.5"
"C2017","2.1187-+ 3","0.81615+ 
3","19.367_+ 12","15.806","41.032","","",""
"C2022","2.0979 -+  7","0.81180 _+ 22","19.347 _+ 11","15.706","40.589","","",""
"C2765","2.0967 -+  2","0.81263 _+  6","19.374 + 23","15.744","40.622","","",""
"C2794","2.1060_+ 2","0.81357_+  4","19.402_+ 16","15.785","40.861","12.02","3.83","21.2"
"","2.1050_+ 
3","0.81304_+  9","19.417_+ 7","15.786","40.871","","",""
"C2799","2.1128_+ 9","0.81601 _+ 20","19.334 _+ 11","15.777","40.849","18.5","5.15","18.4"
"","2.1100_+9","0.81562 _+ 20","19.316_+ 14","15.755","40.758","","",""
"C2800","2.0993 4-  3","0.81195_+  9","19.382_+ 18","15.738","40.690","","",""
"C2821","2.0920_+ 
5","0.81163 _+ 15","19.449_+ 15","15.785","40.686","9.39","2.99","21.1"
"C2824","2.1062_+ 9","0.81406 _+ 20","19.408 _+ 24","15.799","40.877","","",""
"C2840","2.1088_+ 2","0.81063_+ 
6","19.418_+ 15","15.741","40.948","9.30","2.88","20.6"
"C 2 8 6 5","2.1187_+ 3","0.81486_+ 
8","19.384_+ 13","15.795","41.068","13.15","4.78","24.2"
"C 2 8 8 1","2.1154+ 
3","0.82084_+ 
9","19.222_+ 17","15.778","40.662","7.30","2.01","18.2"
"C2883","2.1106_+ 8","0.81416_+ 18","19.386_+22","15.783","40.915","","",""
"C2897","2.0828 _+  8","0.81101 _+ 18","19.409_+ 30","15.741","40.426","","",""
"","2.0805 _+  2","0.81045 _+  7","19.408_+ 15","15.729","40.377","","",""
"C2909","2.0763 _+  5","0.81062_+ 
9","19.396_+ 12","15.723","40.272","4.53","4.18","60.4"
"C2911","2.0810_+ 
2","0.81282_+ 
6","19.409_+ 11","15.776","40.390","","",""
"C3046","2.0983 _+  2","0.81197_+ 
6","19.370_+ 18","15.728","40.643","","",""
"Bufumbira: Sabinyo","","","","","","","",""
"C2888","2.1257+ 
4","0.81792+  12","19.360_+ 8","15.835","41.154","36.5","6.07","11.1"
"C2889","2.1263 -+ 13","0.81653 _+ 26","19.405 +  18","15.845","41.260","","",""
"C2893","2.1189-+ 2","0.81282_+  6","19.422_+ 15","15.787","41.152","","",""
"C2894","2.1247-+ 5","0.81849_+ 11","19.338 _+ 18","15.828","41.088","","",""
"C 2 8 9 5","2.1189-+ 2","0.81291 _+  7","19.435_+22","15.798","41.180","","",""
"","2.1238_+ 
9","0.81402 5:16","19.462 _+ 22","15.843","41.333","","",""
"CV258","2.1159_+ 2","0.81462-+  7","19.391 _+ 11","15.797","41.030","22.0","",""
"CV690","2.1205_+ 7","0.81324 _+ 11","19.436 _+ 24","15.806","41.213","","",""
"Nyamuragira","","","","","","","",""
"C3032","2.0940 _+  4","0.82228_+ 
9","19.101 -+27","15.706","39.997","","",""
