"RocktypeTRC","TRC","TRCOLG","OLG","OLG","OLG","OLG","","OXG","OXG","OXG"
"Sample88-49*","87-25*","87-55*87-68*","87-60*","87-72*","88-93*","88-56*","","TR8","TR9","TR10"
"LocationTassen","Tassen","TirrhistTirrhist","Tirrhist","Tirrhist","Tassen","Tasraft","","Tirrhist","Tirrhist","Tirrhist"
"tSiO2441","4483","46414771","4835","4819","t488","509","","472","468","477"
"TiO2083","097","115153","17","154","088","143","","3","3","283"
"Al2O3108","11","14051477","1529","157","182","168","","164","143","174"
"Fe2O3155","1464","12611199","1137","1138","98","11","","138","147","125"
"MnO02","019","017016","016","017","017","016","","018","0169T","014"
"","","","","","","","","","",""
"","","","","","","","","","",""
"MgO19CaO48","1749613","1213984739811","826845","833882","7693","70879","","","4681009","4511073"
"Na2O183","22","287334","36","33","321","371","","","329","38"
"K2O066","059","056089","099","088","062","098","","RIP","075","065"
"P2O5019","016","016024","024","019","024","027","","","019","013"
"LOI046","09","1804","04","07","053","04","","","012","03"
"total9837","991","9939898","9881","992","9935","10063","C","","98089","10069"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Sc108V115","†109","††127165","†180","","","","","294423","348523","311510"
"Cr770","808","455334","292","","","","","34","119","33"
"Co104","†","††","†","","","","","56","60","52"
"Ni566","535","398246","182","","","","","43","46","42"
"Cu105","87","4650","48","","","","","114","130","114"
"Zn134","107","100103","111","","MANUS","","","129","126","91"
"Ga†","14","1819","24","","","","","†","†","†"
"Rb†","13","88","11","","","","","987","913","647"
"Sr265","300","354434","425","","","","","539","388","574"
"Y84","12","1318","17","","","","","187","181","15"
"Zr618","80","89129","137","","","","","98","82","69"
"Nb92","10","1216","","","","","","†","†","†"
"Cs†","†","††","","†","†","†","","048","058","053"
"Ba839","95","102123","","134","776","125","","113","103","99"
"Hf†","†","††","TED","†","†","†","","269","252","198"
"Ta†","†","††","","†","†","†","","098","092","069"
"Pb†","†","††","","†","†","†","","409","691","586"
"La†","†","†","","†","35","88","","1008","860","740"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Ce†Pr†","††","††","†","††","153†","18†","","2115284","1868253","1549210"
"Nd†","†","†","†","†","†","†","","1314","1221","968"
"Sm†","†","†CEP","†","†","†","†","","372","367","280"
"Eu†","†","†","†","†","†","†","","147","143","123"
"Gd†","†","†","†","†","†","†","","368","356","277"
"Tb†","","†","†","†","†","†","","066","067","051"
"Dy†","","†","†","†","†","†","","368","384","303"
"Ho†","AC","††","†","†","†","†","","077","074","059"
"Er†","","††","†","†","†","†","","183","179","138"
"Tm†","","††","†","†","†","†","","024","025","020"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Yb05Lu†","†","††††","††","††","0801","15†","","157024","162025","125018"
"Th†","6","2†","1","5","†","†","","127","101","077"
"U†","†","††","†","†","†","†","","068","030","035"
"Ce/Pb","","","","","","","","517","270","264"
"U/Pb","","","","","","","","017","004","006"
