"RocktypeOXG","OXG","OXG","OXGMCGMCG","HAG","HAG","HAG","HAG","HAG"
"SampleTR11","TR12","88-78*","88-134*88-100*88-120*","TR48","88-29*","86-6*","88-53*","88-50*"
"LocationTirrhis","Tirrhis","TasraftTassent","TassentTasraft","","TasraftTassentTassent","","Tasraft","Tassen"
"SiO2473","483","478","49507514","489","484","499","501","483"
"TiO2293","245","212","177195156","212","119","157","131","115"
"Al2O3175","177","158","15916153","166","16","16","142","136"
"Fe2O3132","121","118","125769","114","108","98","101","115"
"MnO0145","0132","019","012014006","0213","014","012","014","012"
"MgO453","501","457","453804776","537","869","663","T","102"
"","","","","","","","",""
"","","","","","","","",""
"CaO1074Na2O354","1104351","88375","986399385271386","1014271","7929","95347","","5529"
"K2O064","061","112","08362081","157","069","087","RIP","141"
"P2O5011","008","032","031039023","013","022","022","","018"
"LOI021","018","182","241326306","156","173","254","","358"
"","","","","","","","",""
"","","","","","","","",""
"total10085Sc313","10111328","9809266","10049988110084263236177","100713","9866","10062195C","1009431","9844318"
"V540","561","265","262193156","","","170","265","253"
"Cr45","63","128","143218202","","","229","333","594"
"Co56","54","313","439296257","","","393","506","501"
"Ni46","61","425","578158172","","","151","162","188"
"Cu136","170","579","9426838","","","137","38","74"
"Zn101","83","742","56288446","MANUS","","53","265","1406"
"Ga†","†","†","†††","","","19","†","†"
"Rb673","651","†","†††","","","25","†","†"
"Sr589","463","813","5831261795","","","488","140","108"
"Y138","128","218","175224209","","","171","224","183"
"Zr71","60","138","715150","","","864","129","988"
"","","","","","","","",""
"","","","","","","","",""
"Nb†Cs039","†034","158†","39†","093","†","74†","99†","72†"
"Ba95","80","133","754108","354","91","122","145","807"
"Hf192","180","†","††","142","†","†","†","†"
"Ta051","058","†","††TED","052","†","†","†","†"
"Pb576","212","†","††","655","†","†","†","†"
"La717","645","85","88117","763","†","†","123","51"
"Ce1478","1401","","406","1584","†","†","403","†"
"Pr202","188","","††","204","†","†","†","†"
"Nd918","906","","††","893","†","†","†","†"
"Sm264","267","CEP","††","247","†","†","†","†"
"Eu121","114","","††","109","†","†","†","†"
"Gd248","247","","††","242","†","†","†","†"
"Tb047","","","††","042","†","†","†","†"
"","","","","","","","",""
"","","","","","","","",""
"Dy275Ho056","","†","†††††","237048","††","††","††","††"
"Er133","AC","†","†††","108","†","†","†","†"
"Tm018","","†","†††","016","†","†","†","†"
"Yb115","","19","141715","088","08","13","2","14"
"Lu017","","†","†0101","015","01","01","†","†"
"Th091","074","†","†††","084","†","†","†","†"
"U032","024","†","†††","024","†","†","†","†"
"Ce/Pb256","661","","","242","","","",""
"U/Pb006","011","","","004","","","",""
