"Rock ty pe SYN","","SYN","SYN","SYN
SYN","SYN","SYN","SYN
SYN","SYN"
"Sample
TS3","","TS6","87-45*","88-136*
87-66*","88-137*","86-8*","88-139* 88-138*","87-53*"
"Location","Tirrhist T","Tirrhist","Tassen","Tassen
Tirrhist","Tassen","Tirrhist","Tassen
Tassen","Tasraft"
"SiO2
62.8","i","65.5","t
62.4","t
64.4
66.7","t
66.5","68.2","t
t
68.6
71.3","62.5"
"TiO2
0.66","","0.42","0.62","0.55
0.22","0.74","0.72","0.37
0.35","0.64"
"Al2O3
14.7","","18.2","16.6","15.5
17","14.9","15.5","14.4
14.7","17.4"
"Fe2O3
11.8","","3.3","5.7","2.7
4.2","7.4","4.4","7.5
1.6","6"
"MnO
0.042","","0.006","0.13","0.02
0.03","0.05","0.04","0.02
0.02","0.08"
"MgO
0.2","","0.43","0.37","1.89
0.25","0.15","0.47","0.08
0.1","0.65"
"CaO
1.16","","1.21","0.9","2.4
0.4","1","1","0.3
0.4","1.7"
"Na2O
6.61","","9.3","6.96","7.71
6.72","6.76","7.89","6.73
7.09","6.25
T"
"","","","","","","","",""
"","","","","","","","",""
"K2O
1.97
P2O5
0.11","","0.75
0.08","3.53
0.22","0.34
4.61","2.69
0.19","1.12
0.2","2.03
2.02",""
"LOI
0.25","","0.25","1.3","2.79
0.44","0.36","0.7","0.38
0.62",""
"total
100.302","","99.446","98.73","98.3
100.57","100.74","100.24","100.41
98.2","100.32
RIP"
"Sc
6.4","","2","4.9","3.8
1.7","7.9","7.2","1.8
1.9",""
"V
3","","7","4.7","30.2
2.3","6.5","13","6.3
9.6",""
"Cr
0","","0","6.9","8.4
8.6","7.7","","5.7
C","3"
"","","","","","","","",""
"","","","","","","","",""
"Co
10
Ni
309","","6
4","7
19.5","9.6
6.5
3.2
22.1","8.4","","5.2
 †","7.8
10.8"
"Cu
25","","0","5.8","2.8
4.6","3.7","","4.2","14.7"
"Zn
22","","3","173","51.2
19.8","","","54.3","48.8"
"Ga
 †","","†","†","†
 †","†","","†","†"
"Rb
18.48","","9.43","†","†
 †","†","","†","†"
"Sr
114","","762","114","77.1
103","","M ANUS","83.5","592"
"Y
49.4","","28","41.2","72.8
34.2","70","","70.9","33.8"
"Zr
470","","349","330","472
244","","","691","343"
"Nb
 †","","†","52.5","50.2
30.1","75","","74.5","24.5"
"Cs
0.14","","0.12","†","†
 †","†","","†","†"
"Ba
340","","65","317","62.9","","","184","615"
"Hf
10.10","","6.94","†","†","","","†","†"
"Ta
2.60","","2.35","†","†","†","†","†
 †","†"
"Pb
3.30","","0.97","†","†","†","†","†
 †","†"
"La
29.39","","27.78","32.5","40.7
TED","40.5","40.8","25.6
25.9","24.2"
"Ce
56.78","","57.12","77.7","116","99.3","59.5","80.5
77.8","62"
"Pr
6.52","","6.35","†","†","†","†","†
 †","†"
"Nd
26.35","","23.35","","†","†","†","†
 †","†"
"Sm
6.98","","5.20","","†","†","†","†
 †","†"
"Eu
1.82","","0.83","","†
 †","†","†","†
 †","†"
"Gd
7.03","","4.52","","†
 †","†","†","†
 †","†"
"Tb
1.30","","0.78","CEP","†
 †","†","†","†
 †","†"
"Dy
8.11","","4.55","","†
 †","†","†","†
 †","†"
"Ho
1.74","","0.95","","†
 †","†","†","†
 †","†"
"","","","","","","","",""
"","","","","","","","",""
"Er
4.33
Tm
0.66","","","†","†
 †
 †
 †","†
 †","†
 †","†
 †
 †
 †","†
 †"
"Yb
3.72","AC","","3.5","5.9
3.1","6","4.6","5.2
5.9","3.4"
"Lu
0.64","","","0.2","0.9
0.3","0.7","0.3","0.3
0.9","0.2"
"Th
7.89","","","†","†
 †","†","3","†
 †","†"
"","","","","","","","",""
"","","","","","","","",""
"U
2.62
Ce/Pb
17.20","","58.71","†","†
 †","†","†","†
 †","†"
"U/Pb
0.79","","2.11","","","","","",""
