"Rock type OXG","","OXG","OXG
OXG","MCG","MCG","HAG","HAG","HAG","HAG","","HAG"
"Sample","TR11","TR12","88-78*
88-134*","","88-100* 88-120*","TR48","88-29*","86-6*","88-53*","","88-50*"
"Location","Tirrhis","Tirrhis","Tasraft Tassent","","Tassent Tasraft","","Tasraft Tassent Tassent","","","Tasraft","Tassen"
"SiO2","47.3","48.3","47.8
49","50.7","51.4","48.9","48.4","49.9","50.1","","48.3"
"TiO2","2.93","2.45","2.12
1.77","1.95","1.56","2.12","1.19","1.57","1.31","","1.15"
"Al2O3","17.5","17.7","15.8
15.9","16","15.3","16.6","16","16","14.2","","13.6"
"Fe2O3","13.2","12.1","11.8
12","5.7","6.9","11.4","10.8","9.8","10.1","","11.5"
"MnO","0.145","0.132","0.19
0.12","0.14","0.06","0.213","0.14","0.12","0.14","","0.12"
"MgO","4.53","5.01","4.57
4.53","8.04","7.76","5.37","8.69","6.63","10","T","10.2"
"CaO","10.74","11.04","8.8
9.8","6.3","9.9","10.14","7.9","9.5","","","5.5"
"Na2O","3.54","3.51","3.75
3.85","2.71","3.86","2.71","2.9","3.47","","","2.9"
"K2O","0.64","0.61","1.12
0.8","3.62","0.81","1.57","0.69","0.87","","","1.41"
"P2O5","0.11","0.08","0.32
0.31","0.39","0.23","0.13","0.22","0.22","RIP","","0.18"
"LOI","0.21","0.18","1.82
2.41","3.26","3.06","1.56","1.73","2.54","","","3.58"
"","","","","","","","","","","",""
"total","100.85","101.11","98.09
100.49","98.81","100.84","100.713","98.66","100.62","100.94","","98.44"
"Sc","31.3","32.8","26.6
26.3","23.6","17.7","31.4","18.2","19.5
C","31","","31.8"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"V
Cr","540
45","561
63","265
262
128
143","193
218","156
202","","","170
229","265
333","","253
594"
"Co","56","54","31.3
43.9","29.6","25.7","","","39.3","50.6","","50.1"
"Ni","46","61","42.5
57.8","158","172","","","151","162","","188"
"Cu","136","170","57.9
94.2","6.8","3.8","","","13.7","3.8","","7.4"
"Zn","101","83","74.2
56.2","88","44.6","","","53","265","","1406"
"Ga","†","†","†
 †","†","†","M ANUS","","19","†","","†"
"Rb","6.73","6.51","†
 †","†","†","","","25","†","","†"
"Sr","589","463","813
583","1261","795","","","488","140","","108"
"Y","13.8","12.8","21.8
17.5","22.4","20.9","","","17.1","22.4","","18.3"
"Zr","71","60","138
71.5","150","131","","","86.4","129","","98.8"
"Nb","†","†","15.8
3.9","17.9","","","","7.4","9.9","","7.2"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cs
Ba","0.39
95","0.34
80","†
 †
133
75.4","","","354","91","†
122","†
145","","†
80.7"
"Hf","1.92","1.80","†
 †","","†","1.42","†","†","†","","†"
"Ta","0.51","0.58","†
 †","TED","†","0.52","†","†","†","","†"
"Pb","5.76","2.12","†
 †","","†","6.55","†","†","†","","†"
"La","7.17","6.45","8.5
8.8","","11.7","7.63","†","†","12.3","","5.1"
"Ce","14.78","14.01","","","40.6","15.84","†","†","40.3","","†"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Pr
Nd","2.02
9.18","1.88
9.06","","†","†
 †","2.04
8.93","†
 †","†
 †","†
 †","","†
 †"
"Sm","2.64","2.67","","†","†","2.47","†","†","†","","†"
"Eu","1.21","1.14","CEP","†","†","1.09","†","†","†","","†"
"Gd","2.48","2.47","","†","†","2.42","†","†","†","","†"
"Tb","0.47","0.46","","†","†","0.42","†","†","†","","†"
"Dy","2.75","","","†","†","2.37","†","†","†","","†"
"Ho","0.56","","","†","†","0.48","†","†","†","","†"
"Er","1.33","","†
 †","†","†","1.08","†","†","†","","†"
"Tm","0.18","AC","†
 †","†","†","0.16","†","†","†","","†"
"Yb","1.15","","1.9
1.4","1.7","1.5","0.88","0.8","1.3","2","","1.4"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Lu
Th","0.17
0.91","0.74","†
 †
 †
 †","0.1
 †","0.1
 †","0.15
0.84","0.1
 †","0.1
 †","†
 †","","†
 †"
"U","0.32","0.24","†
 †","†","†","0.24","†","†","†","","†"
"Ce/Pb","2.56","6.61","","","","2.42","","","","",""
"U/Pb","0.06","0.11","","","","0.04","","","","",""
