"Rock type","SYN","SYNSYN
SYN","SYN","SYN","SYN","SYN","SYN","SYN","SYN"
"Sample","TS3","T
TS6
87-45*","88-136*","87-66*","88-137*","86-8*","88-139*","88-138*","87-53*"
"Location","Tirrhist","T i
Tirrhist
Tassent","Tassent","Tirrhist","Tassent","Tirrhist","Tassent","Tassent","Tasraft"
"SiO2","62,8","65,5
62,4","64,4","66,7","66,5","68,2","68,6","71,3","62,5"
"TiO2","0,66","0,42
0,62","0,55","0,22","0,74","0,72","0,37","0,35","0,64"
"Al2O3","14,7","18,2
16,6","15,5","17","14,9","15,5","14,4","14,7","17,4"
"Fe2O3","11,8","3,3
5,7","2,7","4,2","7,4","4,4","7,5","1,6",""
"MnO","0,042","0,006
0,13","0,02","0,03","0,05","0,04","0,02","0,02","0,08"
"MgO","0,2","0,43
0,37","1,89","0,25","0,15","0,47","0,08","0,1","0,65
T"
"","","","","","","","","",""
"","","","","","","","","",""
"CaO
Na2O","1,16
6,61","1,21
0,9
9,3
6,96","2,4
7,71","0,4
6,72","1
6,76","1
7,89","0,3
6,73","","1,7
6,25"
"K2O","1,97","0,75
3,53","0,34","4,61","2,69","1,12","2,03","RIP","4,2"
"P2O5","0,11","0,08
0,22","","","0,19","0,2","","","0,18"
"LOI","0,25","0,25
1,3","2,79","0,44","0,36","0,7","0,38","","0,72"
"","","","","","","","","",""
"","","","","","","","","",""
"total","100,3","99,45
98,73","98,3","100,6","100,7","100,2","100,4
C","","100,3"
"Sc","6,4","2
4,9","3,8","1,7","","","","1,9","6,2"
"V","3","7
4,7","30,2","2,3","","","6,3","9,6","6,2"
"Cr","0","0
6,9","8,4","8,6","","","11,2","5,7","3"
"Co","10","6
7","9,6","6,5","","","7,9","5,2","7,8"
"Ni","309","4
19,5","3,2","22,1","","","3,8","†","10,8"
"Cu","25","0
5,8","2,8","4,6","","","15,8","4,2","14,7"
"Zn","22","3
173","51,2","19,8","M ANUS","","53,5","54,3","48,8"
"Ga","†","† †
 †","†","†","","","†","†","†"
"Rb","18,48","9,43
 †","†","†","","","†","†","†"
"Sr","114","762
114","77,1","103","","","71,3","83,5","592"
"Y","49,4","28
41,2","72,8","34,2","","","53,2","70,9","33,8"
"Zr","470","349
330","","","","","739","691","343"
"Nb","†","† †
52,5","","","","","34,6","74,5","24,5"
"Cs","0,14","0,12
 †","","","†","†","†","†","†"
"Ba","340","65
317","","209","675","203","183","184","615"
"Hf","10,10","6,94
 †","TED","","†","†","†","†","†"
"Ta","2,60","2,35
 †","","","†","†","†","†","†"
"Pb","3,30","0,97
 †","","","†","†","†","†","†"
"","","","","","","","","",""
"","","","","","","","","",""
"La
Ce","29,39
56,78","27,78
57,12","116","13,9
48,8","40,5
99,3","40,8
59,5","25,6
80,5","25,9
77,8","24,2
62"
"Pr","6,52","6,35","†","†","†","†","†","†","†"
"Nd","26,35","23,35
CEP","†","†","†","†","†","†","†"
"Sm","6,98","5,20","†","†","†","†","†","†","†"
"Eu","1,82","0,83","†","†","†","†","†","†","†"
"Gd","7,03","4,52","†","†","†","†","†","†","†"
"Tb","1,30","0,78","†","†","†","†","†","†","†"
"Dy","8,11
AC","4,55
 †","†","†","†","†","†","†","†"
"Ho","1,74","0,95
 †","†","†","†","†","†","†","†"
"Er","4,33","2,45
 †","†","†","†","†","†","†","†"
"","","","","","","","","",""
"","","","","","","","","",""
"Tm
Yb","0,66
3,72","0,39
 †
2,40
3,5","†
5,9","†
3,1","†
6","†
4,6","†
5,2","†
5,9","†
3,4"
"Lu","0,64","0,41
0,2","0,9","0,3","0,7","0,3","0,3","0,9","0,2"
"Th","7,89","5,90
 †","†","†","†","3","†","†","†"
"U","2,62","2,06
 †","†","†","†","†","†","†","†"
"Ce/Pb","17,20","58,71","","","","","","",""
"U/Pb","0,79","2,11","","","","","","",""
