"SampleNo","NJG-01","NJG-02","NJG-03","NJG-04","NJG-05","NJG-06","NJG-07","NJG-08","NJG-09","NJG-10","NJG-11","NJG-12","NJG-13","NJG-14","NJG-15"
"Sc","156","137","139","130","134","137","150","130","162","141","181","173","161","175","170"
"V","176","127","136","127","124","123","129","130","152","152","151","156","135","158","144"
"Cr","109","113","110","246","111","125","119","103","107","107","154","105","110","108","106"
"Co","267","269","267","283","281","295","279","254","423","300","292","324","323","335","280"
"Ni","189","191","184","202","198","216","186","171","214","187","256","199","218","216","228"
"Cu","235","201","203","200","201","211","204","200","232","231","236","239","231","251","226"
"Zn","841","941","906","923","888","895","898","906","848","890","862","890","813","916","854"
"Ga","173","182","184","196","181","188","185","175","169","176","174","179","158","184","177"
"Rb","446","632","728","865","910","908","717","684","415","441","472","441","481","451","431"
"Sr","332","577","445","366","283","286","258","421","425","397","676","302","995","335","385"
"Y","898","158","195","207","196","199","252","178","152","137","183","172","231","266","107"
"Zr","122","204","178","180","225","229","295","169","161","122","154","148","161","159","180"
"Nb","973","163","162","173","160","170","170","159","113","114","118","121","110","124","129"
"Ba","316","336","318","373","399","415","300","302","338","285","1280","319","890","398","352"
"La","289","255","302","306","287","285","301","289","212","264","238","258","281","301","203"
"Ce","519","469","578","582","548","558","549","544","410","525","454","477","551","580","401"
"Pr","534","508","656","669","621","645","615","593","486","622","515","528","680","687","443"
"Nd","184","185","260","261","243","246","228","228","186","256","208","201","287","286","169"
"Sm","281","345","482","461","464","458","417","411","322","465","357","307","538","543","298"
"Eu","090","083","124","122","119","117","108","106","105","168","118","095","182","196","091"
"Gd","261","337","472","464","441","456","459","398","313","469","380","305","583","595","261"
"Tb","035","048","069","067","066","066","075","056","044","063","055","044","076","089","037"
"Dy","176","281","357","362","348","356","439","318","250","287","309","272","415","454","198"
"Ho","035","060","077","080","077","077","098","067","052","055","071","063","087","093","040"
"Er","0924","180","203","224","204","219","247","179","151","151","200","176","222","241","123"
"Tm","013","026","026","030","028","031","035","025","023","017","030","025","024","032","019"
"Yb","078","168","177","183","176","191","206","165","150","093","222","153","154","176","140"
"Lu","011","025","027","026","029","029","032","023","020","013","035","021","024","027","022"
"Hf","354","446","433","464","392","424","462","433","319","294","313","316","294","319","345"
"Ta","065","107","099","097","093","096","098","090","062","061","058","063","061","063","062"
"Pb","632","1027","917","1007","954","1058","953","871","737","667","648","662","628","685","608"
"Th","169","330","329","262","270","283","236","276","358","183","345","343","477","634","199"
"U","032","136","070","056","064","069","092","062","095","014","096","078","049","097","057"
"RREE","115","112","141","142","134","135","135","130","100","129","113","113","142","148","940"
"LaN/YbN","266","109","122","120","117","107","105","126","101","204","77","121","131","123","104"
"dEu","099","073","079","080","079","077","075","079","100","109","097","094","099","105","098"
