"Sample","Sega","Latitude(°S)","~;Nd","143Nd/144Nd","87Sr/86Sr","206pb/204pb","207pb/204pb","208pb/204pb"
"MWI04-2","R","1308","+106","0513185","070243","18113","15445","37622"
"MW103-4","P,gfz","1338","+110","0513206","070248","17802","15430","37285"
"MWI02-3","O","1338","+110","0513202","070241","18106","15441","37532"
"MW98-2","n,T","1380","+107","0513191","070251","18173","15454","37669"
"MW96-1","N","1410","+107","0513189","070242","18141","15456","37589"
"MW93-1","n,T","1442","+110","0513202","070250","18146","15444","37577"
"MW93-6","N","1442","+111","0513211","070241","18057","15433","37481"
"MW90-6","n,T","1485","+105","0513180","070244","18263","15451","37685"
"MW87-3","M","1517","+108","0513196","070246","18107","15445","37571"
"MW84-2","M","1552","+110","0513203","070246","18108","15453","37593"
"MW82-4","M","1583","+108","0513196","070254","18098","15439","37556"
"MW80-6","L","1605","+101","0513156","070256","18289","15469","37786"
"MW77-1","L","1657","+99","0513149","070263","18417","15486","37931"
"MW75-2","K","1675","+93","0513118","070268","18562","15491","38053"
"CY84-7-4","K","1700","+89","0513098","070271","","",""
"MW72-1","K","1703","+93","0513118","070269","18587","15493","38061"
"MW69-4","K","1727","+91","0513105","070269","18642","15501","38128"
"CY84-7-3","k,T","1743","+92","0513110","070270","","",""
"MW66-4","K","1778","+91","0513104","070266","18637","15505","38126"
"MW65-3","J","1795","+94","0513122","070265","18550","15507","38051"
"CY84-5-6","I","1852","+90","0513103","070261","","",""
"MW61-1","I","1860","+94","0513121","070260","18514","15501","38033"
"PR1-8","H","1885","+98","0513140","070256","","",""
"MW57-4","H","1888","+93","0513115","070263","18514","15490","38017"
"MW51-4","H","1900","+94","0513122","070262","18559","15507","38075"
"MW48-4","g,T","1930","+94","0513123","","18541","15495","38029"
"PR-6A","G,smt","1954","+92","0513114","070265","","",""
"PR-6B","G,smt","1954","+92","0513111","070261","","",""
"PR-7","G,smt","1954","+92","0513111","070260","","",""
"MW43-3","g,T","1978","","","070265","","",""
"MW41-1","G","1992","+98","0513143","070255","18464","15490","37960"
"CY84-4-1","G","2017","+99","0513146","070257","","",""
"MW36-4","G","2052","+93","0513119","070261","18579","15517","38123"
"MW29-1","F","2088","+112","0513215","070237","18090","15456","37541"
"MW20-1","F","2100","+109","0513199","070241","18156","15466","37594"
"MW19-5","F","2117","+107","0513188","070241","18232","15480","37694"
"CY84-1-1","F","2143","+109","0513198","070241","","",""
"MWI5-3","E","2180","+105","0513178","070245","18239","15494","37703"
"MWl0-2","C","2235","","","070242","","",""
"V8-1M","C","2224","+106","0513183","070240","","",""
"MW9-5","C","2248","+110","0513206","070240","18068","15467","37529"
"MW8-12","B","2274","","","070241","","",""
"MW5-3","A","2302","+108","0513193","070239","18244","15476","37636"
