"P","Zr","Sm","Ti","Y","Sc","V","Co","Cr","Ni"
"524","80","2.805","7860","30","","301","47","347","102"
"180","39","1.801","4980","25","35","202","61","595","346"
"660","118","4.109","10800","45","44","403","45","86","54"
"660","105","3.186","9420","35","40","321","43","295","95"
"","","3.656","10320","","","","","",""
"2020","346","10.43","11100","100","39","241","34","161","52"
"530","87","3.095","8880","35","47","352","48","234","86"
"840","135","4.201","11760","45","44","390","46","63","52"
"840","142","4.457","12720","52","47","440","44","201","66"
"792","136","4.730","12600","51","49","456","45","206","70"
"873","151","5.010","11040","53","","465","44","158","70"
"620","108","4.023","10680","43","45","401","45","229","81"
"620","103","3.770","10200","41","46","399","48","255","81"
"570","102","3.302","10140","40","46","386","46","187","72"
"570","","3.660","10680","","","","","",""
"660","112","3.468","10860","43","48","406","47","140","60"
"480","81","2.738","8040","31","44","319","46","391","132"
"880","","4.170","12300","","","","","",""
"570","93","3.423","9780","37","","363","46","239","95"
"440","86","3.064","8820","36","49","344","47","225","86"
"970","","4.000","12240","","","","","",""
"620","123","4.408","11340","43","50","389","59","50","44"
"840","","4.650","12420","","","","","",""
"620","115","3.581","10140","40","45","322","45","340","137"
"400","84","3.175","8520","33","48","354","43","223","68"
"880","153","3.490","12960","51","50","448","42","54","51"
"620","","3.750","10380","","","","","",""
"1140","","4.960","13320","","","","","",""
"700","","3.900","10740","","","","","",""
"920","143","","11700","43","43","381","43","278","88"
"920","167","5.912","14880","61","48","485","40","96","57"
"790","","6.020","14760","","","","","",""
"1010","178","6.213","15540","63","47","510","44","60","42"
"440","82","2.560","7500","30","41","270","41","365","122"
"530","92","3.076","8220","34","49","309","40","344","79"
"620","104","3.437","10560","43","46","398","45","182","69"
"620","","3.420","9120","","","","","",""
"1060","121","4.607","12180","51","48","434","47","88","56"
"660","117","","10560","43","47","364","42","317","90"
"620","","3.510","9360","","","","","",""
"480","118","4.035","10620","37","42","342","43","323","91"
"400","73","","7680","32","","330","44","266","78"
"350","54","2.411","6120","28","45","291","44","364","105"
"1670","193","6.576","13440","38","30","405","35","15","l l"
"1584","190","6.60","13500","38","33","407","37","16","13"
