"SampleNo","Lithology","Re","Os","187Re/188Os","187Os/188Osa","±2σ","187Os/188Osb","γOsc","MgO","TiO2","Ti/Y","Yb","Ni","(La/Yb)n"
"","","(ppb)","(ppb)","","","","","","(wt%)","(wt%)","","(ppm)","(ppm)",""
"DJ-34","PB","0086","0164","24765","01419","00008","01312","42","1192","216","594","186","241","663"
"DJ-33","PB","0057","0361","07407","01338","00002","01306","38","1074","226","630","181","259","636"
"DJ-20","AB","0712","0491","68483","01577","00005","01281","18","861","316","684","168","126","1063"
"DJ-14","PB","0020","0246","03840","01341","00005","01324","52","1016","199","557","181","174","832"
"DJ-1","AB","0148","0083","85536","02551","00014","02181","733","417","423","722","183","455","1726"
"SM03-4","AB","0045","0489","04348","01413","00002","01394","108","1159","234","678","203","394","1167"
"DJ03-30","Pic","0058","2329","01173","01233","00004","01228","−24","1872","153","637","156","786","1118"
"DJ03-39","Pic","0051","0320","07587","01261","00002","01228","−24","1913","183","675","140","967","733"
"DJ03-37","Pic","0014","2182","00308","01247","00001","01246","−10","2669","106","697","101","1336","585"
"DJ03-44","Pic","0046","2163","00998","01241","00001","01237","−17","1370","186","653","187","715","581"
"DJ-31","Pic","0036","2640","00646","01250","00002","01247","−09","2682","114","625","091","1272","538"
"DJ03-45","Pic","0049","2129","01082","01258","00001","01253","−04","2705","144","654","105","1147","720"
"DJ03-46","Pic","0029","1631","00840","01242","00003","01238","−16","1600","206","922","154","734","1184"
"DJ03-35","Pic","0049","2217","01044","01242","00002","01237","−17","2087","186","648","146","948","1188"
"DJ03-35-1","Pic","0047","2268","00977","01241","00002","01237","−17","2083","187","648","148","940","1187"
"DJ03-4","Pic","0065","2235","01381","01240","00002","01234","−19","1888","173","656","163","922","616"
"SM03-6","Pic","0196","2299","04030","01266","00001","01249","−08","224","173","609","134","945","719"
"SM03-1","Pic","0058","2051","01341","01247","00001","01241","−14","1921","172","607","171","976","621"
