"SampleNo","(143Nd/","(87Sr/","(206Pb/","(207Pb/","(208Pb/","Nd,","Sm","Sr","Rb","Pb","","Th","(143Nd/","ɛNd","(87Sr/","(206Pb/","(207Pb/","(208Pb/"
"","144Nd)o","86Sr)o","204Pb)o","204Pb)o","204Pb)o","ppm","ppm","ppm","ppm","ppm","Uppm","ppm","144Nd)t","(t)","86Sr)t","204Pb)t","204Pb)t","204Pb)t"
"DJ-34","0512698","070495","19158","15603","39256","2111","4800","2901","142","324","046","170","0512473","30","070445","18734","15586","38969"
"DJ-33","0512717","070664","18979","15608","39062","2123","4923","1944","550","599","048","218","0512488","34","070379","18742","15598","38851"
"DJ-20","0512681","070513","18703","15570","39233","3018","6723","4237","228","212","015","143","0512461","28","070458","18493","15562","38876"
"DJ-14","0512494","070534","18792","15605","39292","1935","4703","2109","215","252","067","344","0512254","−13","070523","18002","15573","38553"
"DJ-1","0512558","070701","18825","15603","39518","5855","1226","2280","476","245","050","319","0512351","07","0704906","18218","15579","38813"
"SM03-4","0512537","070540","19061","15612","39593","3417","6813","1425","470","275","098","429","0512340","05","0705063","17997","15569","38731"
"DJ03-30","0512472","070625","18075","15514","38351","2245","4257","4983","619","395","065","241","0512285","−06","0704996","17599","15495","38017"
"DJ03-39","0512683","070532","18636","15551","38883","2264","4998","1427","146","317","041","183","0512464","29","0704284","18258","15536","38570"
"DJ03-37","0512690","070506","18611","15572","38874","1150","2714","3235","053","137","022","101","0512456","27","0704893","18139","15554","38494"
"DJ03-44","0512678","0704843","18748","15563","39428","466","20120","7437","461","110","030","214","0512449","26","070422","17940","15532","38416"
"DJ-31","0512773","070515","","","","956","2400","2875","480","208","024","081","0512524","40","070344","","",""
"DJ03-45","0512710","070480","18830","15563","39025","1249","2861","8282","115","221","028","126","0512483","33","0703399","18460","15549","38724"
"DJ03-46","0512544","070522","18763","15557","39193","2621","5194","2538","066","252","077","362","0512348","06","0704962","17860","15521","38415"
"DJ03-35","0512714","070578","18395","15544","38767","1966","4550","1227","163","598","040","290","0512485","33","0704444","18199","15535","38487"
"DJ03-35–1","0512502","070575","18393","15575","38782","2195","4262","1362","178","601","041","302","0512310","−01","0704433","18193","15567","38493"
"DJ03-4","0512733","070472","19160","15609","39443","1928","4451","1749","494","119","040","155","0512504","37","0704437","18157","15570","38762"
"SM03-6","0512714","070463","19160","15702","39599","1649","3800","1522","686","305","065","197","0512464","29","0704172","18524","15676","39242"
"SM03-1","0512692","070456","19217","15594","39463","1966","4550","1748","412","144","036","174","0512485","33","0704351","18470","15565","38827"
