"Analysis","176Yb/177Hf","176Lu/177Hf","176Hf/177Hf","±(2σ)","εHf(14Ma)","±(2s)","TDM1","±(2σ)","TDM2","±(2σ)","U–Pbspot"
"","","","","","","","(Ma)","","(Ma)","",""
"ChongjiangporphyryT339","","","","","","","","","","",""
"T339-01","0025098","0000794","0282914","0000024","53","08","477","68","754","109","339-2"
"T339-02","0012454","0000430","0282923","0000020","56","07","460","55","734","90","339-3"
"T339-03","0014457","0000498","0282920","0000028","55","10","465","79","740","127","339-8"
"T339-04","0018975","0000625","0282885","0000024","43","08","515","67","820","108","339-6"
"T339-05","0013670","0000467","0282835","0000024","25","08","583","67","932","108","339-5"
"T339-06","0023589","0000774","0282912","0000024","53","08","479","68","759","109","339-4"
"T339-07","0019966","0000667","0282935","0000022","61","08","446","62","707","100","339-12"
"T339-08","0017414","0000535","0282853","0000026","32","09","559","73","892","117","339-13"
"T339-09","0021801","0000710","0282919","0000020","55","07","469","56","743","90","339-14"
"TinggongporphyryT358","","","","","","","","","","",""
"T358-01","0019714","0000586","0282864","0000022","36","08","545","62","868","99","358-1"
"T358-02","0034948","0000975","0282890","0000032","45","11","513","91","809","145","358-2"
"T358-03","0027293","0000787","0282875","0000032","39","11","532","90","843","145","358-4"
"T358-04","0019948","0000641","0282886","0000022","43","08","515","62","818","99","358-3"
"T358-05","0019289","0000616","0282855","0000026","32","09","558","73","888","117","358-6"
"T358-06","0019146","0000599","0282887","0000024","44","08","513","67","816","108","358-12"
"T358-07","0019625","0000646","0282935","0000020","61","07","446","56","707","91","358-10"
"T358-08","0015581","0000502","0282878","0000022","40","08","524","62","836","99","358-9"
"T358-09","0020504","0000620","0282873","0000018","39","06","533","51","847","82","358-8"
"T358-10","0019547","0000657","0282881","0000018","42","06","522","50","829","80","358-15"
"T358-11","0028134","0000752","0282868","0000026","37","09","541","73","859","117","358-16"
"PagugranodioriteT380","","","","","","","","","","",""
"T380-01","0014797","0000506","0282893","0000028","46","10","503","78","802","127","380-1"
"T380-02","0020763","0000704","0282826","0000056","22","20","600","158","954","253","380-2"
"T380-03","0021125","0000671","0282849","0000034","30","12","567","96","902","154","380-4"
"T380-04","0021533","0000681","0282849","0000032","30","11","567","90","902","144","380-3"
"T380-05","0016983","0000570","0282813","0000024","17","08","616","67","983","108","380-9"
"T380-06","0018893","0000575","0282803","0000038","14","13","630","106","1006","171","380-8"
"T380-07","0016514","0000551","0282878","0000022","40","08","525","62","836","99","380-7"
"T380-08","0014328","0000490","0282854","0000044","32","16","558","123","891","199","380-6"
"T380-09","0015110","0000508","0282786","0000046","08","16","653","129","1044","207","380-14"
"T380-10","0017702","0000620","0282839","0000024","27","08","581","67","925","108","380-13"
"T380-11","0018943","0000650","0282847","0000030","29","11","570","84","906","135","380-12"
"Nanmuqieporphyry399","","","","","","","","","","",""
"T399-01","0078985","0002005","0282787","0000046","08","16","677","134","1041","207","399-1"
"T399-02","0025783","0000776","0282787","0000042","08","15","655","118","1041","189","399-3"
"T399-03","0035452","0001029","0282753","0000034","−04","12","708","96","1117","153","399-5"
"T399-04","0035275","0000898","0282828","0000030","23","11","600","85","948","135","399-9"
"T399-05","0028573","0000864","0282807","0000034","15","12","629","96","996","153","399-8"
"T399-06","0028829","0000852","0282805","0000019","15","07","631","53","1000","84","399-10"
"T399-07","0033996","0000935","0282761","0000048","−01","17","695","136","1099","216","399-6"
"T399-08","0026749","0000760","0282716","0000028","−17","10","755","79","1201","126","399-8"
"T399-09","0032028","0000911","0282719","0000022","−16","08","754","62","1194","99","399-13"
"T399-10","0026994","0000795","0282783","0000024","07","08","661","68","1050","108","399-15"
"T399-11","0037409","0001048","0282742","0000022","−08","08","724","62","1142","99","399-14"
"T399-12","0058190","0001543","0282786","0000032","08","11","670","92","1043","144","399-11"
"NanmuqiegraniteT403","","","","","","","","","","",""
"T403-01","0061403","0001855","0282721","0000020","−15","07","771","57","1191","89","403-1"
"T403-02","0026553","0000829","0282783","0000028","07","10","663","79","1051","126","403-5"
"T403-03","0022083","0000762","0282743","0000026","−07","09","718","73","1141","117","403-4"
"T403-04","0022166","0000639","0282774","0000044","04","16","672","123","1071","198","403-3"
"T403-05","0054950","0001482","0282762","0000034","−01","12","704","97","1098","153","403-2"
"T403-06","0021876","0000661","0282783","0000024","07","08","660","67","1051","108","403-9"
"T403-07","0010923","0000362","0282745","0000030","−07","11","707","83","1136","135","403-7"
"T403-08","0015575","0000542","0282765","0000022","00","08","683","62","1091","99","403-14"
"T403-09","0032899","0000925","0282699","0000022","−23","08","783","62","1240","99","403-16"
"T403-10","0013470","0000444","0282721","0000020","−15","07","742","56","1190","90","403-17"
"T403-11","0023876","0000752","0282728","0000020","−13","07","739","56","1175","90","403-20"
"T403-12","0022279","0000646","0282762","0000030","−01","11","689","84","1098","135","403-19"
"","MaﬁcgranuliteT605fromeasternHimalayansyntaxis","","","","","","","","","",""
"T605-04","0001795","0000059","0282804","0000019","14","07","621","54","997","88",""
"T605-07","0002404","0000075","0282782","0000021","07","08","650","59","1045","97",""
"T605-08","0003444","0000112","0282748","0000020","−05","07","699","56","1123","91",""
"T605-09","0001474","0000046","0282772","0000017","03","06","663","47","1067","77",""
"T605-10","0003804","0000122","0282749","0000021","−05","07","697","58","1120","94",""
"T605-12","0003379","0000116","0282710","0000020","−19","07","751","55","1208","90",""
"T605-13","0001891","0000063","0282761","0000018","−01","06","680","49","1093","81",""
"T605-15","0001632","0000057","0282883","0000022","42","08","510","61","817","99",""
