"Analysis","176Yb/177Hf","176Lu/177Hf","176Hf/177Hf","±(2σ)","εHf(14 Ma)","±(2 s)","TDM1","±(2σ)","TDM2","±(2σ)","U–Pb spot"
"","","","","","","","(Ma)","","(Ma)","",""
"Maﬁc granulite T605 from eastern Himalayan syntaxis","","","","","","","","","","",""
"T605-16","0.000481","0.000013","0.282872","0.000017","3.8","0.6","525","46","843","75",""
"T605-18","0.003090","0.000098","0.282692","0.000021","− 2.5","0.8","776","59","1249","96",""
"T605-19","0.004267","0.000139","0.282716","0.000019","− 1.7","0.7","743","53","1194","86",""
"T605-20","0.003467","0.000115","0.282762","0.000021","− 0.1","0.7","679","58","1092","94",""
"T605-21","0.000490","0.000013","0.282900","0.000020","4.8","0.7","487","54","781","89",""
"T605-23","0.003539","0.000115","0.282764","0.000019","0.0","0.7","676","53","1086","87",""
"T605-25","0.003259","0.000110","0.282743","0.000019","− 0.7","0.7","705","52","1133","85",""
"T605-26","0.000538","0.000017","0.282837","0.000020","2.6","0.7","574","56","922","91",""
"T605-27","0.000564","0.000019","0.282899","0.000017","4.8","0.6","489","46","783","75",""
"T605-05","0.001441","0.000041","0.282857","0.000018","3.3","0.6","546","49","873","80",""
"T605-14","0.000831","0.000025","0.282898","0.000018","4.8","0.6","489","49","781","80",""
