"Sample","","87Rb/86Sr","87Sr/86Sr","±2σ","ISr(14Ma)","147Sm/144Nd","143Nd/144Nd","±2σ","εNd(14Ma)","TDM(Ga)"
"PGgranodiorite,NMgraniteandtheirassociatedporphyry","","","","","","","","","",""
"T358","TGP","0400","070570","3","070562","0098","0512505","3","−24","085"
"T379","PG","0581","070633","5","070621","0098","0512424","3","−40","096"
"T380","PG","0564","070612","3","070601","0103","0512436","2","−38","099"
"T381","PG","0651","070611","3","070598","0102","0512449","2","−35","095"
"T399","NMP","0829","070693","3","070677","0103","0512330","2","−58","113"
"T400","NMP","0795","070699","3","070684","0103","0512347","2","−55","111"
"T401","NM","0930","070835","3","070816","0098","0512215","2","−81","123"
"T403","NM","1716","070677","3","070642","0107","0512363","2","−52","113"
"T404","NM","1343","070784","3","070757","0100","0512251","1","−74","120"
"","MaﬁcgranulitefromeasternHimalayansyntaxis","","","","","","","","",""
"T604","MG","0236","070734","7","070730","0187","0512743","1","21","229"
"T605","MG","0290","070587","6","070581","0184","0512769","1","26","198"
"T606","MG","0202","070780","5","070776","0185","0512803","1","32","185"
"T607","MG","1497","071114","4","071084","0184","0512584","1","−10","291"
"T608","MG","0276","070913","4","0709073","0176","0512672","2","07","194"
