"Sample","T339","T358","T379","T380","T381","T399","T400","T401","T402","T403","T404"
"","CJP","TGP","PG","PG","PG","NMP","NMP","NM","NM","NM","NM"
"SiO2","6925","6609","6763","6844","6861","6795","6793","6975","7150","6968","7209"
"TiO2","045","041","038","033","036","042","046","033","033","031","033"
"Al2O3","1521","1537","1553","1590","1564","1544","1534","1501","1403","1493","1380"
"⁎","","","","","","","","","","",""
"TFe2O3","264","255","312","259","272","239","255","201","206","180","182"
"MnO","002","008","005","005","005","003","004","003","004","004","003"
"MgO","140","100","137","111","115","100","115","078","091","085","075"
"CaO","213","279","304","272","269","245","222","224","215","189","190"
"Na2O","380","411","403","418","403","461","460","423","432","415","434"
"K2O","400","359","367","386","372","421","411","482","400","556","421"
"P2O5","018","017","019","015","015","014","016","011","016","013","013"
"Lost","061","338","052","027","049","096","103","029","020","029","027"
"Total","9969","9954","9953","9960","9961","9960","9959","9960","9970","9963","9967"
"K2O/Na2O","105","087","091","092","092","091","089","114","093","134","097"
"Mg#","51","44","47","46","46","45","47","43","47","48","45"
"A/CNK","105","098","096","099","101","093","096","092","091","092","091"
"Sc","534","427","544","446","452","391","421","344","366","317","349"
"V","527","475","588","450","483","477","520","364","361","330","337"
"Cr","186","112","235","152","141","890","105","679","171","138","101"
"Co","134","652","118","158","146","592","663","368","490","445","405"
"Ni","107","731","104","802","770","794","923","531","873","790","608"
"Cu","365","134","700","142","494","450","300","256","161","119","312"
"Zn","230","911","411","422","471","490","476","296","440","381","445"
"Ga","184","194","198","191","198","222","219","211","203","200","205"
"Rb","201","145","153","158","162","204","187","187","302","372","270"
"Sr","726","673","766","814","724","713","683","583","469","628","582"
"Y","829","669","842","620","717","799","104","775","741","712","708"
"Zr","841","103","908","739","110","949","122","107","999","883","116"
"Nb","752","625","783","578","691","792","783","894","108","102","854"
"Ba","889","855","845","1042","800","825","773","794","347","1146","672"
"La","286","284","329","246","296","359","399","355","320","342","454"
"Ce","624","606","689","523","602","705","787","710","661","677","902"
"Pr","700","658","758","594","670","756","859","731","729","738","881"
"Nd","262","246","270","210","238","263","300","245","259","257","290"
"Sm","444","388","437","358","400","448","511","396","455","455","480"
"Eu","100","096","108","093","093","097","103","088","080","101","088"
"Gd","262","232","282","209","242","265","313","244","250","263","267"
"Tb","031","027","034","026","029","034","042","031","031","031","032"
"Dy","145","128","155","122","140","163","202","156","148","141","137"
"Ho","027","021","028","020","024","024","032","022","023","023","023"
"Er","068","059","077","059","062","078","092","075","074","069","068"
"Tm","011","0098","010","0073","0092","0087","013","0090","0087","0087","0083"
"Yb","065","050","059","048","054","076","086","070","069","066","057"
"Lu","011","0084","010","0082","0086","010","012","0095","010","0092","0085"
"Hf","285","310","277","214","328","284","338","319","325","279","333"
"Ta","071","053","067","055","060","067","062","084","088","082","066"
"Pb","243","432","335","370","399","319","363","310","554","583","529"
"Th","272","216","319","226","291","219","219","268","517","449","295"
"U","534","462","619","266","513","431","539","404","127","127","513"
"Sr/Y","88","101","91","131","101","89","66","75","63","88","82"
"(La/Yb)N","295","380","375","348","366","320","314","342","313","349","537"
"Nb/Ta","11","12","12","11","12","12","13","11","12","12","13"
"Eu/Eu⁎","082","091","088","095","085","079","073","081","066","082","069"
