"","","","","","","","","","","","","","","C"
"Sample","Age(Ma)","Rb(ppm)","Sr(ppm)","87Rb/86Sr","87Sr/86Sr","Error(2SE)","(87Sr/86Sr)i","Sm(ppm)","Nd(ppm)","147Sm/144Nd","143Nd/144Nd","Error(2SE)","εNd(t)","TDM"
"Huitonggranite","","","","","","","","","","","","","",""
"09HT-1","415","3202","746","125","0759517","0000002","0685763","861","4869","0107","0511963","0000004","−84","184"
"09HT-2","415","2616","1194","636","0736877","0000003","0699312","1096","5782","0115","0511880","0000007","−104","200"
"09HT-5","415","2596","1164","647","0742521","0000006","0704269","861","4810","0108","0511903","0000006","−97","194"
"09HT-7","415","2955","788","109","0759732","0000003","0695297","561","2920","0116","0511953","0000005","−91","190"
"09HT-8","415","2923","921","923","0759891","0000008","0705362","800","4279","0113","0511948","0000013","−90","189"
"09HT-9a","415","2269","1952","337","0731609","0000009","0711685","971","5409","0109","0511921","0000003","−93","191"
"09HT-10","415","2452","1926","369","0734851","0000006","0713022","901","5490","0099","0511919","0000004","−89","188"
"Epogranite","","","","","","","","","","","","","",""
"09EP-1","415","1297","1350","278","0722693","0000003","0706240","771","4001","0116","0511990","0000010","−84","184"
"09EP-2a","415","2154","2208","283","0732210","0000004","0715492","862","5008","0104","0511963","0000004","−83","183"
"09EP-4","415","1700","1446","341","0734463","0000003","0714312","573","2831","0122","0512041","0000010","−77","178"
"MME","","","","","","","","","","","","","",""
"09HT-9b","415","2489","1620","446","0735601","0000006","0709268","1206","6330","0115","0512044","0000004","−73","175"
