"Samples","Huitonggranite","","Epogranite","","MME",""
"","Plagioclase","K-feldspar","Plagioclase","K-feldspar","Plagioclase","K-feldspar"
"","(n=7)","(n=6)","(n=7)","(n=7)","(n=10)","(n=6)"
"Na2O","653","060","733","074","824","032"
"Al2O3","2453","1932","2442","1936","2507","1935"
"SiO2","6370","6449","6308","6393","6034","6381"
"K2O","014","1537","014","1567","033","1593"
"CaO","483","003","490","006","553","028"
"Total","9978","9987","9994","9980","9961","9982"
"An","029","000","027","000","026","001"
"Ab","070","006","072","007","072","003"
"Or","001","094","001","093","002","096"
