"Grain.","U","Th","Th/","206Pb*","204Pb/","f206%","Total ratios","","","","Radiogenic ratios","","","","","","r","Age (Ma)","%Disc"
"spot","(ppm)","(ppm)","U","(ppm)","206Pb","","","","","","","","","","","","","",""
"","","","","","","","38U/","±","07Pb/","±","206Pb/","±","207Pb/","±","207Pb/","±","","206Pb/","207Pb/
±
±"
"","","","","","","","206Pb","","206Pb","","238U","","235U","","206Pb","","","238U","206Pb"
"1.1","547","171","0.31","35.6","0.000305","0.47","13.198","0.145","0.0602","0.0007","0.0754","0.0008","","","","","","468.7","5.0"
"2.1","391","2","0.01","25.4","0.000361","0.33","13.219","0.150","0.0591","0.0007","0.0754","0.0009","","","","","","468.6","5.2"
"3.1","780","6","0.01","50.4","0.000060","0.10","13.297","0.143","0.0571","0.0005","0.0751","0.0008","","","","","","467.0","4.9"
"4.1","137","100","0.73","8.9","0.000058","0.48","13.279","0.178","0.0603","0.0012","0.0749","0.0010","","","","","","465.9","6.1"
"5.1","680","12","0.02","44.0","–","b 0.01","13.270","0.144","0.0564","0.0005","0.0754","0.0008","","","","","","468.3","5.0"
"6.1","365","3","0.01","23.8","0.000221","0.45","13.201","0.152","0.0601","0.0012","0.0754","0.0009","","","","","","468.6","5.3"
"6.2","682","18","0.03","54.6","0.000475","0.77","10.731","0.120","0.0654","0.0008","0.0925","0.0011","","","","","","570.2","6.2"
"7.1","213","71","0.33","47.1","–","b 0.01","3.890","0.046","0.1010","0.0008","0.2572","0.0031","3.601","0.052","0.1015","0.0008","0.830","1476","16
1652
15
11"
"7.2","1915","174","0.09","176.8","0.000035","0.53","9.307","0.100","0.0658","0.0003","0.1069","0.0012","","","","","","654.6","6.9"
"8.1","748","4","0.01","41.4","0.001213","2.65","15.532","0.171","0.0759","0.0008","0.0627","0.0007","","","","","","391.9","4.3"
"8.2","292","73","0.25","26.9","0.000382","1.41","9.332","0.136","0.0728","0.0014","0.1057","0.0016","","","","","","647.5","9.2"
"9.1","350","4","0.01","22.7","0.000117","0.34","13.261","0.156","0.0591","0.0008","0.0752","0.0009","","","","","","467.1","5.4"
"10.1","782","11","0.01","50.8","0.000064","0.10","13.229","0.144","0.0573","0.0006","0.0755","0.0008","","","","","","469.3","5.0"
"11.1","355","182","0.51","23.6","0.000135","b 0.01","12.930","0.178","0.0555","0.0008","0.0775","0.0011","","","","","","480.9","6.5"
"12.1","966","7","0.01","62.0","0.000080","0.01","13.389","0.145","0.0563","0.0005","0.0747","0.0008","","","","","","464.3","4.9"
"13.1","327","67","0.20","49.8","0.000172","0.29","5.640","0.066","0.0795","0.0007","0.1768","0.0021","1.878","0.034","0.0770","0.0010","0.653","1049","11
1122
27
6"
"14.1","260","273","1.05","17.3","0.000310","0.11","12.936","0.159","0.0576","0.0009","0.0772","0.0010","","","","","","479.5","5.8"
"15.1","306","63","0.21","35.8","0.001067","1.86","7.330","0.087","0.0848","0.0008","0.1339","0.0016","1.284","0.050","0.0696","0.0026","0.314","810","9
915
75
11"
"16.1","180","69","0.38","11.7","0.000261","0.20","13.138","0.175","0.0581","0.0012","0.0760","0.0010","","","","","","472.0","6.2"
"17.1","182","145","0.80","11.8","0.000478","0.60","13.246","0.183","0.0612","0.0012","0.0750","0.0011","","","","","","466.5","6.4"
"18.1","236","81","0.34","43.0","0.000077","0.13","4.712","0.059","0.0804","0.0007","0.2122","0.0028","2.351","0.060","0.0804","0.0013","0.807","1241","15
1206
33
− 3"
"19.1","102","44","0.44","20.9","0.000389","0.64","4.181","0.062","0.0881","0.0013","0.2384","0.0038","2.801","0.122","0.0852","0.0029","0.704","1378","20
1321
66
− 4"
"20.1","215","48","0.22","34.7","0.000178","0.30","5.323","0.067","0.0782","0.0008","0.1874","0.0024","1.967","0.048","0.0761","0.0013","0.771","1107","13
1098
33
− 1"
"21.1","408","21","0.05","62.0","0.000117","0.20","5.652","0.077","0.0760","0.0006","0.1766","0.0024","1.809","0.032","0.0743","0.0008","0.775","1048","13
1049
22
0"
"22.1","23","1","0.06","3.7","0.001988","3.36","5.291","0.134","0.0911","0.0026","0.1853","0.0049","1.902","0.121","0.0745","0.0039","0.611","1096","26
1054
105
− 4"
"23.1","278","43","0.16","23.1","0.000225","0.82","10.353","0.201","0.0663","0.0009","0.0958","0.0019","","","","","","589.7","11.2"
"24.1","463","183","0.40","96.4","0.000127","0.21","4.123","0.048","0.0882","0.0007","0.2423","0.0030","2.918","0.067","0.0873","0.0013","0.836","1399","15
1368
28
− 2"
"25.1","170","182","1.07","11.0","0.000521","0.70","13.217","0.221","0.0620","0.0012","0.0751","0.0013","","","","","","467.0","7.7"
"26.1","210","83","0.40","38.4","0.000125","0.21","4.689","0.061","0.0833","0.0009","0.2130","0.0030","2.412","0.072","0.0822","0.0017","0.786","1245","16
1249
40
0"
