"","","","","TABLE 1. ANALYTICAL DATA FOR MIOCENE VOLCANIC ROCKS FROM THE MOJAVE DESERT","","","","","","","","",""
"General locale","Long","Rb","Sr","87Sr","","Sm","Nd","143Nd","ε","206Pb","207Pb","208Pb",""
"","","","","","Sri","","","","Nd(t)","","","","SiO2"
"","(W)","","","86Sr","","","","144Nd","","204Pb","204Pb","204Pb",""
"S. Black Mountains","114.22°","","","","","1.850","41.99","0.512046","–11","18.23","15.59","39.12",""
"S. Black Mountains","114.22°","212","41.10","0.71515","0.7112","7.220","42.02","0.512030","–12","","","",""
"S. Black Mountains","114.22°","215","42.30","0.71560","0.7117","7.543","24.73","0.512019","–12","18.23","15.59","39.11",""
"Mopah Range","114.75°","54.0","815.2","0.70883","0.7088","9.319","54.57","0.512270","–7","","","","53.5"
"Mopah Range","114.76°","26.7","1049","0.70762","0.7076","17.65","100.2","0.512531","–2","","","","44.5"
"Mopah Range","114.76°","76.7","610.5","0.70940","0.7093","5.622","35.35","0.512039","–11","","","","63.0"
"Mopah Range","114.77°","","","","","","","","","18.40","15.55","39.02","64.4"
"Mopah Range","114.78°","109","409.8","0.71021","0.7100","4.039","25.59","0.512163","–9","18.42","15.56","39.01","68.2"
"Stepladder Mountains","114.86°","103","375.0","0.70832","0.7081","9.830","59.03","0.512349","–5","18.94","15.66","39.11","71.0"
"Stepladder Mountains","114.86°","59.1","867.7","0.70803","0.7080","4.813","27.07","0.512287","–7","19.01","15.66","39.07","66.0"
"Old Woman Mountains","115.07°","62.0","846.0","0.70904","0.7090","6.740","40.95","0.512206","–8","18.71","15.66","39.28","59.3"
"Old Woman Mountains","115.07°","51.0","1180","0.70838","0.7084","12.49","75.91","0.512337","–6","18.86","15.65","39.05","53.8"
"Old Woman Mountains","115.07°","68.0","443.0","0.70873","0.7086","3.770","21.63","0.512248","–7","18.80","15.69","39.37","61.1"
"Old Woman Mountains","115.11°","42.7","674.5","0.71031","0.7103","6.272","35.63","0.512158","–9","","","","57.5"
"Old Woman Mountains","115.14°","171","530.0","0.71043","0.7102","9.770","66.53","0.512135","–10","18.48","15.66","39.22","66.1"
"Old Woman Mountains","115.15°","48.0","1434","0.70963","0.7096","10.70","67.21","0.512148","–9","18.48","15.63","39.20","56.2"
"Old Woman Mountains","115.37°","45.0","1134","0.70768","0.7077","15.01","89.01","0.512372","–5","18.98","15.65","39.05","48.6"
"Old Woman Mountains","115.37°","39.0","1111","0.70877","0.7087","10.15","66.13","0.512200","–8","18.79","15.66","39.24","54.3"
"Marble Mountains","115.64°","44.0","513.0","0.70816","0.7081","4.723","23.72","0.512286","–7","","","","53.0"
"Marble Mountains","115.64°","44.0","704.1","0.70794","0.7079","7.785","43.97","0.512343","–6","","","","52.7"
"Marble Mountains","115.64°","327","464.0","0.70904","0.7085","5.159","33.97","0.512273","–7","18.60","15.61","39.22","71.9"
"Marble Mountains","115.64°","34.0","521.0","","0.7080","","","","","","","","53.1"
"Marble Mountains","115.65°","97.0","406.0","0.70809","0.7079","4.282","28.16","0.512325","–6","18.71","15.60","39.05","73.6"
"Lava Hills","115.94°","39.6","650.8","0.70626","0.7062","4.775","23.08","0.512672","1","","","","54.7"
"Lava Hills","115.96°","73.9","726.7","0.70789","0.7078","3.653","19.12","0.512432","–4","19.11","15.61","38.91","65.8"
"Bullion Mountains","116.15°","28.0","544.0","0.70583","0.7058","6.045","21.72","0.512577","–1","","","","48.9"
"Cady Mountains","116.24°","101","597.0","0.70814","0.7080","4.507","24.73","0.512449","–3","19.11","15.66","39.18","64.3"
"Cady Mountains","116.24°","110","448.0","0.70866","0.7085","4.760","29.44","0.512315","–6","18.76","15.68","39.33","63.2"
"Cady Mountains","116.24°","54.0","523.0","0.70589","0.7058","6.040","28.54","0.512658","1","19.19","15.68","39.20","53.1"
"Cady Mountains","116.24°","32.0","553.0","0.70565","0.7055","7.537","27.46","0.512676","1","","","","50.0"
"Cady Mountains","116.28°","35.0","876.0","0.70733","0.7073","4.940","22.40","0.512434","–4","18.99","15.69","39.18","52.7"
"Cady Mountains","116.30°","116","554.0","0.70723","0.7071","","","","","19.07","15.64","38.50","68.8"
"Cady Mountains","116.32°","121","683.0","0.70702","0.7069","4.030","22.37","0.512543","–2","19.07","15.62","38.94","68.3"
"Avawatz Mountains","116.49°","42.0","1289","0.70742","0.7074","8.801","50.49","0.512358","–5","19.11","15.65","39.00","53.4"
"Alvord Mountain","116.55°","18","473.0","0.70603","0.7060","4.150","16.90","0.512854","5","","","","48.7"
"Newberry Mountains","116.67°","191","767.6","0.70788","0.7077","4.127","22.88","0.512438","–4","","","","69.1"
"Fort Irwin","116.68°","6.0","291.4","0.70448","0.7045","3.059","10.59","0.512828","4","19.28","15.68","39.06","48.2"
"Fort Irwin","116.69°","42.0","715.6","0.70582","0.7058","3.391","18.22","0.512531","–2","19.14","15.67","38.94","65.7"
"Fort Irwin","116.75°","7.0","309.4","0.70420","0.7042","3.027","10.23","0.512860","4","","","","49.1"
"Fort Irwin","116.79°","16.0","538.1","0.70548","0.7055","3.959","17.43","0.512661","1","19.16","15.65","39.00","51.5"
"Fort Irwin","116.80°","140","32.8","0.71005","0.7075","4.703","19.49","0.512606","–1","19.29","15.69","39.13","75.6"
"Fort Irwin","116.81°","47","557.4","0.70598","0.7059","4.356","23.70","0.512567","–1","19.24","15.67","39.01","63.3"
"Fort Irwin","116.86°","74","421.3","0.70624","0.7061","4.894","24.49","0.512614","0","19.20","15.67","39.05","64.0"
"Fort Irwin","116.87°","28","702.3","0.70526","0.7052","5.013","24.81","0.512634","0","19.08","15.64","38.87","55.1"
"Fort Irwin","116.87°","40","686.8","0.70576","0.7057","4.905","24.68","0.512563","–1","19.13","15.64","38.90","56.0"
"Barstow","116.89°","80.6","559.9","0.70694","0.7068","4.249","22.35","0.512402","–4","19.24","15.64","38.84","70.0"
"Lane Mountain","116.94°","","","","","","","","","19.27","15.62","38.91",""
"Eagle Crags","116.97°","52.8","844.9","0.70664","0.7066","2.548","13.77","0.512491","–3","19.25","15.68","38.95",""
"Eagle Crags","116.99°","91.1","435.4","0.70579","0.7056","4.421","22.12","0.512642","0","19.19","15.66","39.03",""
"Eagle Crags","117.03°","145.8","38.20","0.70910","0.7063","2.893","17.36","0.512665","1","19.21","15.67","39.06","74.9"
"Eagle Crags","117.02°","35.2","742.3","0.70640","0.7064","4.887","36.41","0.512685","1","19.21","15.67","39.05","56.9"
"Eagle Crags","117.03°","48.6","560.1","0.70574","0.7057","4.796","23.66","0.512643","0","19.15","15.66","38.97","59.8"
"Pilot Knob Valley","117.09°","5","553.6","0.70592","0.7059","3.951","16.39","0.512605","–1","","","","50.9"
