"","","","In granulite enclaves","","","","","","In granite","",""
"Sample","","","","","","","","","","",""
"","","JZ01-2","JZ02-1","","JZ02-3","","","","DS03 (in crystal clusters)","",""
"Remarks","Core","Rim","Core","Core","Rim","","Rim","","Core","","Rim"
"SiO2","37.08","37.44","37.28","36.913","36.85","38.42","37.78","38.66","38.22","38.76","39.19"
"TiO2","0.00","0.02","0.02","0.00","0.13","0.00","0.05","0.01","0.07","0.03","0.01"
"Al2O3","23.61","23.64","22.14","21.79","23.14","20.81","20.72","21.10","20.95","20.78","21.01"
"FeO","31.45","32.21","32.41","34.41","35.65","31.71","31.53","31.42","31.47","31.37","31.79"
"MnO","1.65","1.75","1.03","0.23","1.48","1.35","1.31","1.37","1.21","1.38","1.33"
"MgO","4.69","4.11","6.88","4.71","3.61","6.12","6.43","6.60","6.33","6.43","5.85"
"CaO","1.25","1.26","1.02","1.58","1.40","1.57","1.50","1.50","1.46","1.50","1.53"
"Na2O","0.00","0.02","0.05","0.02","0.04","0.03","0.03","0.02","0.02","0.00","0.03"
"K2O","0.02","0.02","0.02","0.02","0.00","0.00","0.01","0.01","0.00","0.00","0.00"
"Cr2O3","0.00","0.00","0.00","0.00","0.00","0.14","0.15","0.13","0.13","0.13","0.09"
"Total","99.74","100.46","100.85","99.68","100.13","100.15","99.49","100.82","99.85","100.38","100.84"
"","On the basis of eight cations per twelve oxygens","","","","","","","","","",""
"Si","2.939","2.959","2.904","2.945","3.751","3.031","2.996","3.020","3.018","3.044","3.073"
"Ti","0.000","0.001","0.001","0.000","0.010","0.000","0.003","0.001","0.004","0.002","0.001"
"Al","2.205","2.203","2.032","2.049","0.376","1.935","1.936","1.942","1.950","1.923","1.942"
"Cr","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Fe(iii)","0.000","0.000","0.158","0.062","0.102","0.004","0.067","0.017","0.005","0.000","0.000"
"Fe(ii)","2.085","2.129","1.954","2.234","2.933","2.088","2.024","2.035","2.074","2.060","2.084"
"Mn","0.111","0.117","0.068","0.016","0.127","0.090","0.088","0.091","0.081","0.092","0.088"
"Mg","0.554","0.484","0.799","0.560","0.548","0.720","0.759","0.769","0.745","0.753","0.684"
"Ca","0.106","0.107","0.085","0.135","0.153","0.133","0.127","0.125","0.123","0.126","0.128"
"Almandine","73.02","75.04","67.24","76.37","77.99","68.89","67.50","67.38","68.61","67.97","69.83"
"Pyrope","19.40","17.06","27.50","18.62","14.56","23.76","25.33","25.46","24.64","24.83","22.92"
"Grossular","3.71","3.77","2.71","4.49","3.13","4.37","4.10","4.12","4.06","4.17","4.30"
"Spessartine","3.87","4.13","2.33","0.52","3.39","2.98","2.92","3.01","2.68","3.03","2.95"
"","Note: Fe3+ is calculated from charge balance. Major elements are given in wt%.","","","","","","","","","",""
