"","","Ingranulite","","","Ingranite",""
"Sample","JZ02-3","DS04-2","","DS03","","TM07"
"SiO2","5618","4597","5573","","6076","5788"
"TiO2","004","002","000","","000","005"
"Al2O3","2776","3306","2869","","2570","2741"
"FeO","012","023","009","","011","006"
"MnO","005","002","002","","000","000"
"MgO","000","002","003","","000","001"
"CaO","1073","1845","970","","604","746"
"Na2O","576","116","541","","689","692"
"K2O","010","007","072","","054","042"
"Total","10073","9899","10038","","10005","10020"
"Onthebasisoffivecationspereightoxygens","","","","","",""
"Si","2511","2143","2500","","2720","2579"
"Ti","0001","0001","0000","","0000","0002"
"Al","1462","1816","1517","","1356","1439"
"Fe(ii)","0004","0009","0003","","0004","0002"
"Mn","0002","0001","0001","","0000","0000"
"Mg","0000","0002","0002","","0000","0000"
"Ca","0514","0921","0466","","0290","0356"
"Na","0499","0104","0470","","0598","0598"
"K","0006","0004","0041","","0031","0024"
"An","5042","8947","4770","","3154","3643"
"Ab","4900","1014","4812","","6510","6115"
"Or","058","039","418","","336","242"
"","Note:Majorelementsaregiveninwt%","","","","",""
