"Sample","Rocktype","Latitude","Longitude","type","K","Arradiogenic","Aratmospheric","Age"
"","","(UTMgrid)","(UTMgrid)","","(%)","(nL/g)","(%)","(Ma)"
"CoyaMachalíFormation","","","","","","","",""
"E2635","Andesitedike","611330","37775","wholerock","0345","0375","69","277±20"
"FarellonesFormation","","","","","","","",""
"Tte-93","Two-pyroxeneandesite","620725","35980","wholerock","0825","0491","71","152±12"
"TenienteVolcanicComplex—MaquiChicoGroup","","","","","","","",""
"KET-1","Two-pyroxeneandesite","623230","36845","wholerock","1777","0973","72","140±09"
"KET-16","Quartzdioritedike","624200","36628","wholerock","1745","0949","57","139±07"
"KET-25","Hornblendeandesite","623392","36380","wholerock","2336","1117","55","123±05"
"Tte-143","Hornblendedacitebreccia","623404","36540","hornblende","0467","0218","88","120±22"
"E-2695","Clinopyroxeneandesite","622534","36561","wholerock","1401","0658","59","120±07"
"MIN-3","Andesitebomb","622593","36465","wholerock","3094","1375","45","114±04"
"TenienteVolcanicComplex—LowerSewellGroup","","","","","","","",""
"E-2689","Clinopyroxeneandesite","622530","36579","wholerock","2206","0924","46","107±05"
"Ket-154","Clinopyroxeneandesite","621545","37300","wholerock","0925","0378","50","105±08"
"Ket-147","Clinopyroxeneandesite","621530","36865","wholerock","1896","0774","34","105±04"
"Ket-157A","Clinopyroxeneandesite","621545","37300","wholerock","0990","0397","67","103±08"
"Ket-92-3","Clinopyroxeneandesite","623230","36845","wholerock","1614","0636","75","101±08"
"Ket-29","Andesitesill","623164","36472","wholerock","3282","1271","64","99±05"
"TenienteVolcanicComplex—UpperSewellGroup","","","","","","","",""
"E-2797","Weldedtuff","622643","36225","wholerock","3970","1436","30","93±03"
"Ket-141","Two-pyroxene–hornblendeandesite","622145","37650","wholerock","1249","0454","59","93±06"
"Ket-138","Two-pyroxeneandesite","622485","37600","wholerock","1085","0391","76","92±07"
"Ket-206A","Clinopyroxene-biotiteweldedtuff","622330","36745","biotite","6856","2445","67","92±05"
"Ket-204C","Two-pyroxene–hornblende–biotitedacite","622315","36720","wholerock","1601","0516","65","83±05"
"Ket-146","Hornblende-biotitedacite","621895","36885","wholerock","2259","0682","48","78±04"
"Ket-126A","Two-pyroxene–hornblendeandesitedike","621985","37900","wholerock","0589","0149","83","65±17"
"E-2585","Clinopyroxeneandesiteporphyry","622540","37630","wholerock","1704","0395","64","60±04"
"LateHornblendeDikeunit","","","","","","","",""
"Ket-142B","Andesitedike","622390","37530","wholerock","1681","0205","92","31±08"
"","Intrusiveunits(seeKurtzetal,1997,foradditionalAr/Arages)","","","","","","",""
"E-2633","Andesitesill","621325","37785","wholerock","0614","0266","61","111±12"
"Ket-89","Hornblendedioriteporphyry","623020","37715","wholerock","1814","0748","70","106±07"
"Ket-158C","Granodioritesill","621430","37255","wholerock","2935","1127","36","98±04"
"Ket-123","Biotite-hornblendegranodiorite","621310","37745","wholerock","3570","1298","63","93±04"
"E-2786","Siliciﬁedquartzdiorite","624940","37275","wholerock","2338","0850","76","93±07"
"","Notes:AllagesdeterminedatSERNAGEOMINinSantiago,ChileSeeGanaetal(1999)forreferencestoanalyticalmethodsUTM—UniversalTransverseMercator","","","","","","",""
"gridpoints","","","","","","","",""
