"Sample","Location","","Age","143Nd/144Nd","Error","ε","87Sr/86Sr","Error","","206Pb/204Pb","207Pb/204Pb","208Pb/204Pb"
"","","SiO2","","","","Nd","","","87Sr/86Sri","","",""
"","","","(Ma)","","(%)","","","(%)","","","",""
"","CoyaMachalíFormationCaminodelCobre–Rancagua–Colon†","","","","","","","","","","",""
"CM-3","km296","4848","~20","0512957","00010","+62","0703607","00008","0703600","","",""
"CM-7A","km117","6429","232","0512906","00011","+52","0703628","00007","0703500","","",""
"CME-1B","33°247′S70°143′W","5536","159","0512870","00009","+45","0703872","00006","0703770","","",""
"","OldPlutonicComplex–LaObraplutonSeeKurtzetal(1997)forageandsamplelocations","","","","","","","","","","",""
"ETP-1","33°358′S70°294′W","7315","196","0512876","00010","+46","0704005","00007","0703610","18453","15554","38210"
"","FarellonesFormationnear33°20′S–regionofFarellones,ValleNevado,LaParva","","","","","","","","","","",""
"TF-7","33°203′S70°172′W","5232","~18","0512889","00009","+49","0703815","00007","0703770","","",""
"TF-3","33°195′S70°166′W","5352","","","","","0703649","00007","0703560","","",""
"TF-10","33°216′S70°151′W","5577","~18","0512833","00009","+38","0703902","00007","0703820","","",""
"TF-2","33°318′S70°189′W","5990","~18","0512907","00009","+52","0703734","00007","0703620","","",""
"TF-11","33°214′S70°190′W","6161","~18","","","","0703833","00007","0703690","","",""
"","FarellonesFormation—ElTenienteregionSeeGodoy(1993)forage†","","","","","","","","","","",""
"TTE-93","Intrusive","5711","152","0512919","00009","+55","0703980","00007","0703670","","",""
"","TenienteVolcanicComplexAgesinTable3†","","","","","","","","","","",""
"KET-54","MaquiChico","5610","139","0512817","00009","+35","0704054","00007","0703950","","",""
"KET-25","MaquiChico–CGuanaco","6370","123","0512790","00009","+30","0704191","00007","0704050","","",""
"KET-154","LowerSewell–CCastillos","5336","105","0512824","00009","+36","0703995","00007","0703980","","",""
"KET-143","LowerSewell","5362","~10","0512800","00009","+32","0703913","00005","0703900","18556","15579","38330"
"KET-141","UpperSewell","6021","~9","0512777","00009","+27","0703977","00007","0703930","","",""
"KET-146","UpperSewell–AgFrias","6331","78","0512784","00009","+28","0704000","00007","0703920","","",""
"KET-126A","dikeinUpperSewell","5725","65","0512791","00009","+30","0703692","00007","0703960","18565","15593","38378"
"","TenientePlutonicComplexSeeKurtzetal(1997)foragesandsamplelocations","","","","","","","","","","",""
"ETP-10A","Alfalfalito","6410","123","0512765","00009","+25","0704293","00007","0704160","","",""
"ETP-123","BParedones","6660","93","0512794","00009","+30","0704396","00008","0704130","","",""
"ETP-9","Carlota","6404","87","0512782","00008","+28","0704022","00007","0703920","18558","15582","38362"
"ETP-12","Extravio","6329","81","0512758","00007","+23","0703975","00006","0703890","18558","15578","38350"
"ETP-7","NacRioCortaderal","6761","84","0512718","00008","+16","0704050","00006","0703980","18577","15587","38388"
"","YoungPlutonicComplexSeeKurtzetal(1997)foragesandsamplelocations","","","","","","","","","","",""
"ETP-11","Jeria","6280","66","0512663","00009","+049","0704435","00007","0704440","18588","15577","38378"
"ETP-14","CasadePiedra","6580","55","0512634","00009","–008","0704273","00007","0704240","","",""
"ETP-15","CerroCathedral","6924","~5","0512676","00010","+074","0704409","00007","0704370","","",""
"LateHornblendedikesSeeTable3†","","","","","","","","","","","",""
"KET-142B","ElTenienteMine","5581","31","0512647","00010","+018","0704350","00007","0704350","","",""
"ET-2","ElTenienteMine","5545","35","0512689","00010","+10","0704175","00007","0704160","18597","15590","38410"
"ET-5","ElTenienteMine","6520","35","0512682","00009","+086","0704098","00007","0704090","18608","15613","38508"
"","Note:Agesareestimateswhenindicatedby~ε","","NdbasedonCHUR(chondriticuniformreservoir)valueof0512628andε","","","","","","","Ndvalueof–1515forLaJollaSeeAppendix","",""
