"","","","","In granulite enclaves","","","","","In granite","",""
"Sample","","DS04-2","JZ02-3","","JZ01-2","JZ01-2","","JZ01-1","","JZ09",""
"SiO2","52.61","52.22","46.83","49.50","48.15","50.41","50.79","53.19","46.21","49.63","50.82"
"TiO2","0.18","0.19","0.13","0.18","0.14","0.20","0.18","0.02","0.17","0.06","0.19"
"Al2O3","1.21","0.67","3.14","4.48","3.47","1.13","0.91","0.51","1.00","0.69","0.81"
"FeO","21.50","20.57","36.92","32.16","34.60","29.96","31.32","32.26","37.18","36.66","34.25"
"MnO","0.33","0.37","0.48","0.44","0.59","0.43","0.46","0.91","0.68","0.75","0.96"
"MgO","23.60","24.25","11.49","12.46","13.76","18.13","15.25","13.17","13.02","12.63","12.54"
"CaO","1.02","0.90","0.17","0.14","0.11","0.22","0.19","0.07","0.21","0.11","0.15"
"Na2O","0.02","0.03","0.00","0.07","0.03","0.03","0.00","0.13","0.00","0.04","0.03"
"K2O","0.00","0.02","0.01","0.03","0.00","0.00","0.00","0.04","0.00","0.00","0.00"
"Total","100.48","99.21","99.16","99.46","100.85","100.51","99.09","100.28","98.46","100.56","99.75"
"","On the basis of four cations per six oxygens","","","","","","","","","",""
"Si","1.935","1.937","1.888","1.960","1.880","1.927","2.001","2.096","1.871","1.969","2.027"
"Ti","0.005","0.005","0.004","0.005","0.004","0.006","0.005","0.001","0.005","0.002","0.006"
"IVAl","0.053","0.029","0.112","0.040","0.120","0.051","0.000","0.000","0.048","0.031","0.000"
"VIAl","0.000","0.000","0.037","0.169","0.039","0.000","0.042","0.023","0.000","0.001","0.038"
"Fe(iii)*","0.068","0.088","0.067","0.000","0.075","0.085","0.000","0.000","0.201","0.029","0.000"
"Fe(ii)","0.593","0.550","1.178","1.065","1.054","0.873","1.032","1.063","1.058","1.188","1.143"
"Mn","0.010","0.012","0.016","0.015","0.019","0.014","0.015","0.030","0.023","0.025","0.032"
"Mg","1.294","1.341","0.690","0.735","0.801","1.033","0.896","0.774","0.786","0.747","0.746"
"Ca","0.040","0.036","0.007","0.006","0.005","0.009","0.008","0.003","0.009","0.005","0.006"
"Na","0.001","0.002","0.000","0.006","0.002","0.002","0.000","0.010","0.000","0.003","0.003"
"XMg","0.66","0.68","0.36","0.41","0.42","0.52","0.47","0.42","0.39","0.38","0.40"
"XAl","0.02","0.01","0.06","0.09","0.07","0.02","0.02","0.01","0.02","0.01","0.02"
"","Note: Fe3+ is calculated from charge balance. Major elements are given in wt%.","","","","","","","","","",""
