"","","","Ingranuliteenclaves","","","","","","Ingranite","",""
"Sample","","","","","","","","","","",""
"","","JZ01-2","JZ02-1","","JZ02-3","","","","DS03(incrystalclusters)","",""
"Remarks","Core","Rim","Core","Core","Rim","","Rim","","Core","","Rim"
"SiO2","3708","3744","3728","36913","3685","3842","3778","3866","3822","3876","3919"
"TiO2","000","002","002","000","013","000","005","001","007","003","001"
"Al2O3","2361","2364","2214","2179","2314","2081","2072","2110","2095","2078","2101"
"FeO","3145","3221","3241","3441","3565","3171","3153","3142","3147","3137","3179"
"MnO","165","175","103","023","148","135","131","137","121","138","133"
"MgO","469","411","688","471","361","612","643","660","633","643","585"
"CaO","125","126","102","158","140","157","150","150","146","150","153"
"Na2O","000","002","005","002","004","003","003","002","002","000","003"
"K2O","002","002","002","002","000","000","001","001","000","000","000"
"Cr2O3","000","000","000","000","000","014","015","013","013","013","009"
"Total","9974","10046","10085","9968","10013","10015","9949","10082","9985","10038","10084"
"","Onthebasisofeightcationspertwelveoxygens","","","","","","","","","",""
"Si","2939","2959","2904","2945","3751","3031","2996","3020","3018","3044","3073"
"Ti","0000","0001","0001","0000","0010","0000","0003","0001","0004","0002","0001"
"Al","2205","2203","2032","2049","0376","1935","1936","1942","1950","1923","1942"
"Cr","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000"
"Fe(iii)","0000","0000","0158","0062","0102","0004","0067","0017","0005","0000","0000"
"Fe(ii)","2085","2129","1954","2234","2933","2088","2024","2035","2074","2060","2084"
"Mn","0111","0117","0068","0016","0127","0090","0088","0091","0081","0092","0088"
"Mg","0554","0484","0799","0560","0548","0720","0759","0769","0745","0753","0684"
"Ca","0106","0107","0085","0135","0153","0133","0127","0125","0123","0126","0128"
"Almandine","7302","7504","6724","7637","7799","6889","6750","6738","6861","6797","6983"
"Pyrope","1940","1706","2750","1862","1456","2376","2533","2546","2464","2483","2292"
"Grossular","371","377","271","449","313","437","410","412","406","417","430"
"Spessartine","387","413","233","052","339","298","292","301","268","303","295"
"","Note:Fe3+iscalculatedfromchargebalanceMajorelementsaregiveninwt%","","","","","","","","","",""
