"","Age","Rb","Sr","","","","Sm","Nd","","","","T2DM"
"Sample","(Ma)","(ppm)","(ppm)","87Rb/86Sr","87Sr/86Sr","(87Sr/86Sr)i","(ppm)","(ppm)","147Sm/144Nd","143Nd/144Nd","εNd(t)","(Ga)"
"Jiuzhoupluton","","","","","","","","","","","",""
"JZ03-4","250","142","135","396","0732523","072153","898","506","01073","0511898","–116","196"
"JZ09","250","169","119","351","0735089","072039","812","443","01109","0511911","–114","195"
"Dasipluton","","","","","","","","","","","",""
"DS03","250","189","105","309","0740194","072143","805","435","01117","0511912","–115","195"
"DS04-1","250","185","109","321","0739214","072157","791","421","01137","0511928","–112","193"
"Taimapluton","","","","","","","","","","","",""
"TM04","250","198","102","299","0740803","072052","690","362","01150","0511928","–113","194"
"TM08","250","242","904","264","0746782","071874","694","343","01225","0511944","–112","193"
"Granuliteenclaves","","","","","","","","","","","",""
"DS04-2","250","378","158","462","0728854","072636","748","442","01023","0511830","–127","206"
"JZ01-2","250","462","803","235","0746197","074020","135","727","01125","0511723","–151","225"
"JZ02-3","250","867","141","414","0741502","073511","868","496","01057","0511811","–132","210"
