"Title","","δ33S (%(cid:24), V-CDT)","","δ34S (%(cid:24), V-CDT)","","","∆33S","",""
"Sample","Mineral","Median","1σ","Median","1σ","Median","","1σ","n"
"","Ccp","2.19","0.05","3.78","0.12","0.25","","0.03","9"
"OY541-1","Po","1.70","0.12","2.80","0.21","0.26","","0.02","4"
"","Pn","1.51","0.03","2.42","0.07","0.28","","0.02","4"
"","Ccp","1.68","0.09","2.95","0.17","0.16","","0.04","8"
"OY541-3b","Po","1.55","0.16","2.52","0.34","0.27","","0.04","16"
"","Pn","1.04","0.11","1.66","0.22","0.19","","0.06","19"
"","Ccp","1.68","0.02","2.96","0.03","0.16","","0.02","4"
"OY541-4a","Po","1.56","0.11","2.60","0.20","0.21","","0.04","21"
"","Pn","1.03","0.37","1.60","0.64","0.23","","0.06","11"
"","Ccp","2.25","0.06","3.81","0.13","0.30","","0.04","3"
"OY541-8b","","","","","","","","",""
"","Pn","1.81","0.52","2.98","0.95","0.24","","0.10","8"
