"SampleID","OY541-3b","OY541-3b","1σ*(n=55)","OY541-4b1","OY541-4b1","1σ*(n=51)","OY541-7c","OY541-7c","1σ*(n=33)"
"Spot#","105","109","","50","75","","44","33",""
"Location","rim","core","","rim","core","","rim","core",""
"SiO2","5411","5457","092","5466","5368","079","5594","5562","17"
"TiO2","005","008","015","002","015","014","0","0","016"
"Al2O3","075","047","088","076","145","06","014","006","229"
"FeO(tot)","211","098","408","174","297","228","018","009","061"
"MnO","012","015","008","019","024","006","096","064","119"
"MgO","1708","1759","332","1692","1618","101","1803","1832","125"
"CaO","2482","2462","781","2451","2443","138","2449","2486","065"
"NiO","005","005","003","0","003","002","0","001","001"
"Na2O","002","0","024","003","005","018","001","001","003"
"Total","9911","9851","","9883","9918","","9975","9961",""
"","","","","Structuralformulaeinatomsperformulaunit(6oxygens)","","","","",""
"Si","199","201","","201","198","","203","202",""
"Ti","000","000","","000","000","","000","000",""
"Al","003","002","","003","006","","001","000",""
"Fe2+","007","003","","005","009","","001","000",""
"Mn","000","001","","001","001","","003","002",""
"Mg","093","097","","093","089","","098","099",""
"Ca","098","097","","097","096","","095","097",""
"Ni","000","000","","000","000","","000","000",""
"Na","000","000","","000","000","","000","000",""
"Sum","400","400","","400","400","","400","400",""
