"SampleID","OY541-3b","OY541-3b","OY541-3b","OY541-7c"
"Spot#","129","138","145","146"
"SiO2","5517","5472","5419","5407"
"TiO2","005","021","009","018"
"Al2O3","111","113","155","143"
"FeO(tot)","1514","1518","1569","1550"
"MnO","033","034","036","034"
"MgO","2682","2668","2671","2677"
"CaO","165","161","074","116"
"NiO","007","009","006","011"
"Na2O","003","002","003","002"
"Total","1004","9998","9942","9958"
"","Structuralformulaeinatomsperformulaunit(6oxygens)","","",""
"Si","198","198","197","196"
"Ti","000","001","000","001"
"Al","005","005","007","006"
"Fe2+","046","046","048","046"
"Mn","001","001","001","001"
"Mg","144","144","145","145"
"Ca","006","006","003","005"
"Ni","000","000","000","001"
"Na","000","000","000","000"
"Sum","400","400","400","400"
