"Sample
Px","Hbl","Btt","Plag","Kf","Qtz","Crd","Acc"
"","Hornblende-bearing microdioritic to microtonalitic enclaves (central parts)","","","","","",""
"Mu1a
0.0","19.1","28.5","45.2","0.0","5.5","0.0","1.7"
"Mu2
0.0","23.1","19.0","52.7","0.0","3.6","0.0","1.6"
"Mu4
4.8","6.7","30.8","46.3","0.6","8.2","0.0","2.6"
"Mu5
6.1","0.3","29.8","44.0","1.0","17.4","0.0","1.4"
"Eck1
14.9","13.4","10.2","51.3","0.0","9.0","0.0","1.2"
"Sch1
8.6","16.2","11.8","58.8","0.0","3.1","0.0","1.5"
"Hes1
0.0","35.7","9.0","52.0","0.5","1.5","0.0","1.3"
"","Hybrid granodioritic rims of microdioritic enclaves","","","","","",""
"Sch3 (around Sch1)
1.0","4.6","17.3","38.7","16.5","21.0","0.0","0.9"
"Hes1a (around Hes1)
0.0","0.0","19.6","40.6","18.8","20.6","0.0","0.4"
"","Hybrid tonalitic enclave (modiﬁed diorite)","","","","","",""
"Eck2
0.0","4.8","23.5","42.7","7.6","20.5","0.0","0.9"
"Tonalitic enclaves","","","","","","",""
"E10g
0.0","0.0","26.3","44.5","1.5","27.2","0.0","0.5"
"E14/5
0.0","0.0","26.4","45.6","0.0","27.1","0.0","0.9"
"E14/6
0.0","0.0","46.3","34.9","0.0","18.3","0.0","0.5"
"E18k
0.0","0.0","33.9","37.3","1.7","26.3","0.0","0.8"
"E20d
0.0","0.0","27.0","49.0","0.0","23.0","0.0","1.0"
"Hybrid granodioritic enclaves","","","","","","",""
"E10sp
0.0","0.0","16.4","36.0","17.1","29.0","0.0","1.5"
"E18j
0.0","0.0","16.2","37.0","17.7","28.5","0.0","0.6"
"","Synplutonic microdioritic dike (central part)","","","","","",""
"Ri1
9.6","20.4","6.8","52.7","3.2","5.1","0.0","2.2"
"Cordierite-bearing granite","","","","","","",""
"G1
0.0","0.0","11.5","35.0","26.7","25.2","1.3","0.3"
"G10
0.0","0.0","9.8","36.6","25.1","26.0","2.1","0.4"
"G18
0.0","0.0","10.2","39.1","23.5","25.6","1.1","0.5"
"G663
0.0","0.0","9.8","34.7","22.8","30.9","1.5","0.3"
"Cordierite-free granite","","","","","","",""
"G22
0.0","0.0","16.4","40.1","21.1","22.0","0.0","0.4"
"G112
0.0","0.0","9.2","35.8","28.5","26.2","0.0","0.3"
"G447
0.0","0.0","12.1","29.9","30.0","27.7","0.0","0.3"
"G690
0.0","0.0","13.9","33.9","24.7","27.2","0.0","0.3"
"G700
0.0","0.0","10.6","37.1","24.8","27.3","0.0","0.2"
"G701
0.0","0.0","8.2","30.8","34.6","26.2","0.0","0.2"
