"Sample","Hes1","Eck1","Ri1","Mu1a","Mu2","Mu4","Sch1","Mu5","Eck2","E10g"
"Rock type","CDE","CDE","SDD","CDE","CDE","CDE","CDE","CDE","HTE","TE"
"SiO2","50.81","53.42","55.14","51.50","52.85","52.94","54.00","56.34","58.21","64.36"
"TiO2","0.88","1.19","1.48","1.91","1.98","2.13","2.21","2.05","1.65","0.73"
"Al2O3","17.25","17.26","17.04","16.70","16.66","16.34","15.80","16.35","15.90","15.75"
"Fe2O3","1.46","1.80","1.42","1.40","1.26","1.39","2.35","1.18","2.18","1.50"
"FeO","8.36","6.75","6.20","8.47","8.30","7.95","8.34","7.27","6.03","4.52"
"MnO","0.17","0.14","0.12","0.16","0.14","0.15","0.20","0.14","0.13","0.08"
"MgO","8.24","6.27","4.61","5.32","4.48","4.40","4.38","2.89","2.94","2.56"
"CaO","5.90","6.90","6.07","6.46","6.40","5.90","5.70","5.29","4.12","2.38"
"Na2O","2.90","2.98","3.21","2.81","3.50","3.33","3.11","3.51","3.30","3.53"
"K2O","1.50","1.62","1.84","2.88","2.43","3.14","1.77","3.11","3.34","2.85"
"P2O5","0.11","0.16","0.33","0.34","0.37","0.33","0.41","0.47","0.47","0.23"
"H2O","2.60","1.88","2.66","1.62","1.65","1.72","2.02","1.25","1.77","1.33"
"Total","100.18","100.37","100.12","99.57","100.02","99.72","100.29","99.85","100.04","99.82"
"Mg#","62.8","59.7","55.0","52.0","48.5","48.6","45.3","40.7","42.1","46.3"
"ASI","1.01","0.90","0.93","0.86","0.83","0.83","0.91","0.87","0.96","1.19"
"Cr","211","280","196","95","103","130","138","173","181","168"
"Ni","138","47","35","48","32","27","29","13","19","44"
"Sc","15.2","23.7","21.0","19.9","19.3","20.8","22.5","21.4","20.8","11.1"
"Cs","17.5","6.6","26.2","8.5","5.9","8.1","12.0","6.2","8.9","15.3"
"Rb","79","68","71","175","98","136","114","133","148","254"
"Sr","285","345","388","345","379","401","325","338","306","153"
"Ba","317","363","854","481","623","782","578","971","624","415"
"Zr","99","116","238","215","238","171","205","286","203","238"
"Hf","2.11","2.96","5.84","5.34","5.59","5.64","4.87","6.65","5.49","5.72"
"Nb","5","4","7","6","9","7","10","12","10","10"
"Ta","0.52","0.75","0.98","1.04","1.56","1.23","1.42","1.92","1.39","1.68"
"Th","4.2","4.6","12.9","10.6","7.7","11.4","6.4","11.7","10.9","19.4"
"U","1.2","1.2","2.5","3.3","2.0","2.5","3.2","1.9","2.9","4.6"
"Y","21","27","31","32","31","29","36","32","36","21"
"La","19.9","26.8","48.2","38.1","35.3","45.1","40.2","57.0","47.4","57.4"
"Ce","37.9","48.5","89.1","75.0","67.5","89.2","76.7","107.0","84.5","91.7"
"Nd","18.7","22.4","42.8","37.5","35.7","44.3","36.0","49.0","43.8","43.3"
"Sm","3.97","5.02","8.01","7.84","7.66","8.88","8.64","9.28","8.90","6.86"
"Eu","1.35","1.82","1.85","1.92","2.19","2.19","2.35","1.98","1.96","0.96"
"Gd","4.2","5.4","6.8","7.1","7.5","7.4","9.2","8.2","8.9","5.1"
"Tb","0.66","0.85","0.96","1.02","1.14","1.10","1.50","1.13","1.28","0.70"
"Ho","0.84","1.16","n.a.","1.36","1.21","1.19","1.84","1.43","1.64","0.85"
"Tm","0.32","0.47","0.43","0.55","0.50","0.47","0.69","0.43","0.62","0.32"
"Yb","2.05","3.00","2.88","3.37","3.12","3.16","3.82","2.53","3.88","2.15"
"Lu","0.30","0.42","0.41","0.46","0.47","0.48","0.54","0.33","0.52","0.31"
"Sample","E14/5","E14/6","E20d","E18k","Ri4","Ri8","Hes1a","Sch3","E10sp","E18j"
"Rock type","TE","TE","TE","TE","HDGr","HDGr","HGdR","HGdR","HGdE","HGdE"
"SiO2","64.05","53.70","61.00","63.00","58.14","68.51","66.19","61.70","67.25","65.90"
"TiO2","1.03","1.40","1.45","0.82","1.44","0.56","0.68","1.13","0.67","0.70"
"Al2O3","15.37","16.86","16.39","16.00","16.17","14.74","15.59","16.10","15.18","15.13"
"Fe2O3","1.08","1.56","1.84","1.59","2.68","1.00","0.66","1.09","0.89","1.12"
"FeO","4.65","6.71","5.01","4.97","4.49","2.63","3.56","4.57","3.35","3.72"
"MnO","0.08","0.13","0.07","0.08","0.08","0.04","0.06","0.08","0.06","0.06"
"MgO","3.33","6.39","2.26","3.08","3.54","1.27","1.35","1.68","1.76","1.89"
"CaO","2.09","3.09","3.54","2.54","5.03","1.28","1.86","3.91","1.75","1.86"
"Na2O","3.22","2.98","3.71","3.22","3.17","3.59","3.98","3.31","3.29","3.11"
"K2O","2.63","3.29","2.54","2.98","2.96","4.22","3.73","4.15","3.96","4.35"
"P2O5","0.21","0.21","0.48","0.07","0.35","0.17","0.30","0.34","0.23","0.24"
"H2O","2.07","3.77","1.19","1.52","1.81","1.38","1.45","1.47","1.20","1.27"
"Total","99.81","100.08","99.48","99.87","99.86","99.39","99.41","99.53","99.59","99.35"
"Mg#","54.0","60.9","40.2","48.8","50.4","41.6","39.2","37.5","45.6","44.2"
"ASI","1.29","1.20","1.07","1.22","0.92","1.15","1.12","0.94","1.18","1.15"
"Cr","n.a.","537","268","240","146","n.a.","n.a.","72","70","n.a."
"Ni","17","31","15","39","14","20","11","11","13","22"
"Sc","16.9","27.2","17.0","n.a.","19.2","21.0","11.0","13.6","10.3","10.8"
