"Sample","KB144","KB97","KB60","KB86","KB96","KB47","KB79"
"Centre","Emur","Emur","Emur","Emur","Emur","Kapus","Kapus"
"Composition","PT","PT","PT","PT","PT","PT","PT"
"(Wt%)","","","","","","",""
"SiO2","6395","5867","6137","6079","5954","6254","6224"
"TiO2","074","060","063","052","050","074","071"
"Al2O3","1033","1077","1283","1238","1203","1169","1173"
"Fe2O3","1107","1086","1015","1067","1068","1053","1025"
"MnO","039","036","036","037","035","038","035"
"MgO","012","010","020","017","010","017","019"
"CaO","094","115","157","144","096","107","164"
"Na2O","670","704","684","787","898","710","696"
"K2O","461","420","472","437","422","471","449"
"P2O5","007","004","007","006","007","006","004"
"LOI","045","093","091","113","070","078","133"
"Total","9937","9472","9965","9977","9913","9977","9993"
"(ppm)","","","","","","",""
"Ba","849","512","243","132","138","172","192"
"Ce","116","249","168","271","288","187","184"
"Co","3","3","0","3","4","3","0"
"Cr","11","8","53","16","16","26","17"
"Cu","4","8","6","5","5","3","4"
"La","56","111","77","135","121","99","79"
"Nb","83","171","141","236","243","146","142"
"Ni","6","7","6","9","6","5","5"
"Rb","63","115","111","161","160","100","91"
"Sr","26","17","12","19","3","8","17"
"Th","721","684","13","17","15","11","11"
"U","211","201","ND","ND","ND","ND","ND"
"Y","61","117","87","140","145","96","96"
"Zn","151","266","209","296","295","240","228"
"Zr","308","645","530","916","934","542","527"
