"","(cid:97)Tharedistributioncoe(cid:129)cientsbetweenalkali","",""
"Samplenumber","(238U/232Th)","(230Th/232Th)","(238U/230Th)"
"KB61(Enab)","","",""
"Wholerock","0664(cid:139)0018","0845(cid:139)0023",""
"Groundmass","0615(cid:139)0013","0848(cid:139)0013",""
"Alkalifeldspar","0610(cid:139)0010","0842(cid:139)0012",""
"Magneticseparate","0854(cid:139)0008","0917(cid:139)0007",""
"KB99(Kapus)","","",""
"Wholerock","0641(cid:139)0020","0695(cid:139)0022",""
"Groundmass","0667(cid:139)0010","0709(cid:139)0010",""
"Alkalifeldspar","0611(cid:139)0010","0690(cid:139)0009",""
"Magneticseparate","0840(cid:139)0009","0745(cid:139)0008",""
"KB143(Nak)","","",""
"Wholerock","0704(cid:139)0022","0934(cid:139)0024",""
"Groundmass","0666(cid:139)0013","0935(cid:139)0011",""
"Alkalifeldspar","0650(cid:139)0011","0930(cid:139)0012",""
"Magneticseparate","0914(cid:139)0009","0964(cid:139)0008",""
"Pak-3(PakaVolcano)","","",""
"Wholerock","0746(cid:139)0014","0806(cid:139)0013",""
"Groundmass","0682(cid:139)0015","0809(cid:139)0019",""
"Alkalifeldspar","0692(cid:139)0014","0803(cid:139)0016",""
"theNaivashaarea(DaviesandMacdonald1987)areshownforfromSilali(Macdonaldetal1995)andbasaltsandcomenditesfromnorthernKenya(HuriHills,Norryetal1980),basaltsandtrachytesforEmuruangogolakbasaltsandtrachytesFieldsforbasaltsfromFig4a,b207Pb/204Pb-206Pb/204Pband208Pb/204Pb-206Pb/204PbplotsMagneticseparate","0942(cid:139)0009","0825(cid:139)0009",""
