"","A-K85","A-K88","A-K86","MK102","M-K97","M-13","M-12","M-93","K107","K124","K123","K132","K110","K111"
"","","Avs¸aisland","","","Marmaraisland","","","","Karabiga","","","","",""
"SiO2","6530","7103","6492","5287","6463","6047","6769","6836","8500","7446","7636","7476","7343","6549"
"TiO2","054","028","058","085","050","056","029","033","001","020","019","013","023","049"
"Al2O3","1497","1419","1510","1954","1628","1846","1740","1607","1334","1296","1238","1164","1304","1424"
"Fe2O3","451","250","474","764","500","539","268","313","152","185","181","113","193","419"
"MgO","214","090","219","341","166","200","097","114","026","043","035","015","051","187"
"MnO","010","008","010","014","015","013","007","01","008","007","007","003","008","011"
"CaO","508","316","539","878","628","696","464","43","060","198","185","122","237","387"
"K2O","295","352","290","026","138","078","080","166","001","371","366","474","384","308"
"Na2O","353","388","351","432","427","400","435","401","003","385","375","338","390","343"
"P2O5","017","009","017","022","014","015","009","009","006","006","006","004","007","017"
"LOI","064","041","062","149","058","100","090","070","029","027","025","025","048","282"
"Total","9993","10002","10022","9952","10088","9990","9988","9989","10120","9984","10072","9749","9988","9976"
"Sc","11","4","11","16","9","8","4","4","2","2","3","3","4","8"
"V","102","39","107","180","105","36","18","42","12","20","20","8","24","84"
"Cr","23","12","17","37","11","–","–","–","9","11","11","9","14","20"
"Co","12","5","12","19","11","12","5","6","2","2","3","2","3","10"
"Ni","7","13","47","39","9","3","1","2","19","4","2","3","1","12"
"Cu","9","7","12","26","16","11","6","25","4","5","4","7","5","17"
"Zn","52","132","53","66","163","47","43","48","25","69","28","293","28","63"
"Ga","40","38","42","20","32","20","15","15","22","25","23","20","39","42"
"Rb","108","122","102","6","37","25","27","46","183","153","156","168","139","110"
"Sr","429","229","417","434","375","417","402","292","88","134","133","88","181","364"
"Y","19","13","19","32","25","23","11","15","18","16","17","17","15","18"
"Zr","144","113","99","163","112","115","95","95","3","129","144","79","106","162"
"Nb","11","11","10","2","3","2","2","2","14","11","13","15","10","12"
"Cs","3","3","3","0","1","1","1","1","5","3","3","4","3","2"
"Ba","550","521","585","60","320","195","223","393","217","287","237","188","559","610"
"La","3265","1873","3016","566","1454","3900","760","2560","2901","2784","3101","3239","2949","2831"
"Ce","5630","3148","5470","1451","2814","7760","1610","4630","4842","4338","5079","5333","4609","5256"
"Pr","587","322","585","239","342","810","198","464","467","416","486","532","441","570"
"Nd","2193","1159","2205","1289","1457","2990","880","1750","1545","1376","1596","1767","1467","2174"
"Sm","414","222","421","393","334","430","160","270","271","234","270","311","245","417"
"Eu","118","071","121","128","111","122","056","072","040","051","050","037","069","115"
"Gd","373","208","374","427","338","375","162","232","250","224","240","264","227","367"
"Tb","049","029","050","071","053","063","028","041","037","032","034","037","032","049"
"Dy","301","192","305","497","363","335","150","224","247","218","227","228","209","302"
"Ho","059","040","060","105","078","073","033","076","054","047","048","047","045","059"
"Er","166","121","169","303","230","230","105","149","172","150","153","147","137","165"
"Tm","026","021","027","049","039","034","017","025","032","027","028","027","025","027"
"Yb","170","144","170","310","259","244","130","160","227","192","198","198","169","171"
"Lu","026","023","026","046","041","035","021","025","038","032","033","033","027","026"
"Hf","086","083","081","052","050","335","280","270","209","096","113","154","097","150"
"Ta","081","123","076","008","022","010","010","020","161","108","135","180","088","088"
"Pb","2084","3911","2154","668","1861","130","120","190","2928","2239","2105","4019","2325","2209"
"Th","1070","1717","1798","050","399","1010","200","660","2798","1723","2237","2906","1585","1433"
"U","312","578","351","035","099","100","080","110","459","332","330","268","360","293"
