"","S-65","S-66","SO-52","SO-54","I-4","I-5","K-6","K-7","K-8","Y-10","Y-11"
"","¸evket","iye","Sarıoluk","","Ilıca","","Kızı","ldam","","Yenice",""
"SiO2","6285","6332","6413","6373","6332","6277","6331","6264","6174","639","634"
"TiO2","06","051","057","058","053","054","059","063","062","06","056"
"Al2O3","1566","16","1572","1575","1576","1623","1533","1584","1595","1538","1560"
"Fe2O3","526","547","458","458","487","504","483","507","564","463","492"
"MgO","253","209","225","219","239","24","24","241","235","21","227"
"MnO","01","018","009","008","01","009","009","009","011","009","008"
"CaO","475","53","448","465","492","509","453","456","437","438","436"
"K2O","357","253","364","353","281","272","346","351","352","362","356"
"Na2O","331","315","332","339","336","339","311","331","331","337","339"
"P2O5","022","011","02","019","013","016","017","019","016","02","021"
"LOI","09","12","08","11","15","13","19","17","19","14","13"
"Total","9989","9994","9991","999","9969","9973","9972","9995","9967","9967","9965"
"Sc","10","9","9","9","11","10","12","11","11","10","11"
"V","108","112","98","93","112","112","104","108","109","107","118"
"Cr","–","–","–","–","–","–","–","–","–","–","–"
"Co","13","12","11","11","120","33","43","32","40","47","142"
"Ni","<20","<20","<20","<20","4","3","6","7","7","6","7"
"Cu","242","1556","257","150","5","14","6","16","33","6","8"
"Zn","41","108","37","34","34","26","18","26","37","30","27"
"Ga","20","18","19","19","19","18","17","18","18","18","19"
"Rb","150","87","155","143","117","115","158","154","163","166","169"
"Sr","610","383","632","632","513","506","557","602","612","604","657"
"Y","25","20","24","26","23","20","25","25","27","28","25"
"Zr","167","107","175","213","136","133","176","174","161","166","185"
"Nb","14","8","15","15","12","11","16","15","16","18","16"
"Cs","8","2","8","6","5","5","17","6","9","5","6"
"Ba","1118","666","1106","1095","1102","1322","1057","1191","1077","1054","1171"
"La","5430","2520","5340","5640","4780","3290","5510","5570","6120","6640","7450"
"Ce","9760","4210","9770","10070","7790","5800","9710","10000","11000","11350","11830"
"Pr","1075","446","1069","1159","777","604","1033","1018","1155","1167","1141"
"Nd","4090","1690","4160","4340","2760","2270","4020","3930","4470","4450","4280"
"Sm","710","340","770","750","480","440","680","690","810","770","740"
"Eu","144","089","142","139","117","107","134","141","156","157","147"
"Gd","513","309","477","546","420","390","511","520","625","601","566"
"Tb","072","047","072","069","063","055","076","075","082","085","079"
"Dy","364","262","363","419","356","316","400","402","462","473","428"
"Ho","070","057","072","077","074","066","081","080","089","089","080"
"Er","213","182","231","224","212","206","239","239","257","263","239"
"Tm","037","029","033","040","032","029","034","034","039","040","036"
"Yb","208","204","258","246","222","202","237","227","262","279","236"
"Lu","039","032","038","040","034","032","039","038","039","042","039"
"Hf","450","310","430","580","410","420","550","510","460","500","560"
"Ta","130","080","160","150","150","120","170","140","180","190","190"
"Pb","272","506","259","174","1450","490","1630","2170","3080","780","980"
"Th","3490","1420","3170","3340","2900","2510","4000","4010","3780","3570","3120"
"U","1190","470","1060","1100","580","740","1350","1080","1180","960","980"
