"","ZK-02–05","ZK-02-09","ZK-02-12","ZK-02-16","ZK-02-17","ZK-02-23","ZK-02-37","ZK-02-70","ZK-02-81","ZK-02-84"
"","","G o¨ n e n v o l c a n i c s","","","","","","","",""
"SiO2","66.84","65.7","65.56","70.46","65.35","74.22","76.23","61.81","64.94","68.95"
"TiO2","0.45","0.51","0.49","0.23","0.49","0.24","0.14","0.62","0.55","0.42"
"Al2O3","14.72","15.13","15.4","13.62","15.3","14.05","13.07","16.79","16.14","14.52"
"Fe2O3","3.89","3.91","3.71","1.92","3.73","0.4","0.56","4.88","4.26","3.2"
"MgO","0.99","1.07","1.21","0.53","1.11","0.18","0.15","1.54","1.02","1.02"
"MnO","0.03","0.08","0.07","0.05","0.07","–","–","0.15","0.11","0.04"
"CaO","2.86","3.29","3.41","1.87","3.17","1.51","0.25","5.48","4.09","2.34"
"K2O","3.93","3.9","3.6","4.65","3.77","4.7","4.01","2.35","3.51","4.28"
"Na2O","3.2","3.31","3.16","2.92","3.21","3.38","2.06","4.03","3.66","3.23"
"P2O5","0.18","0.2","0.19","0.07","0.2","0.09","0.03","0.28","0.19","0.17"
"LOI","2.7","2.7","3","3.5","3.4","1","3.4","1.8","1.3","1.6"
"Total","99.91","99.92","99.93","99.96","99.92","99.92","99.98","99.84","99.9","99.91"
"Sc","6","8","7","3","7","2","2","5","8","5"
"V","56","70","86","25","59","13","7","71","79","51"
"Cr","–","–","–","–","–","–","–","–","–","–"
"Co","6","10","10","3","10","1","2","7","13","6"
"Ni","<20","20","<20","<20","<20","<20","76","<20","23","<20"
"Cu","14.7","15.3","9.1","2.6","11.0","2.1","0.5","3.9","13.2","6.8"
"Zn","42","42","44","17","33","4","4","53","47","38"
"Ga","17","19","19","17","19","19","14","23","19","18"
"Rb","183","180","170","239","179","200","150","76","144","175"
"Sr","477","533","561","329","552","474","58","1033","568","454"
"Y","17","21","19","18","18","16","15","31","20","16"
"Zr","171","182","178","154","173","166","97","201","181","173"
"Nb","17","18","17","16","17","19","23","15","15","18"
"Cs","8","8","7","13","7","8","9","3","6","6"
"Ba","1035","1060","1066","1204","1053","1253","630","1051","1121","1177"
"La","53.30","55.80","54.20","61.90","54.50","68.20","34.20","57.70","50.40","52.80"
"Ce","82.70","95.60","93.10","97.90","93.60","107.50","54.90","102.80","83.50","77.60"
"Pr","8.73","9.47","8.77","8.74","9.11","10.40","5.28","12.10","8.83","8.52"
"Nd","30.90","32.50","32.20","30.90","33.10","34.80","19.10","46.50","31.50","28.00"
"Sm","5.20","6.10","6.00","4.30","5.40","5.20","3.60","7.40","5.70","4.50"
"Eu","1.00","1.33","1.13","0.85","1.08","1.06","0.48","1.98","1.18","0.90"
"Gd","3.56","4.58","3.78","2.98","3.54","3.29","2.13","6.61","4.05","3.52"
"Tb","0.51","0.53","0.54","0.44","0.50","0.40","0.35","0.82","0.56","0.52"
"Dy","2.55","3.33","2.76","2.46","2.93","2.41","2.25","4.56","3.02","2.52"
"Ho","0.49","0.64","0.58","0.46","0.58","0.44","0.37","0.89","0.70","0.48"
"Er","1.36","1.87","1.56","1.47","1.49","1.32","1.17","2.73","1.87","1.38"
"Tm","0.25","0.29","0.29","0.25","0.22","0.23","0.24","0.44","0.32","0.24"
"Yb","1.66","1.87","1.76","2.08","1.95","1.47","1.66","3.15","1.89","1.42"
"Lu","0.27","0.34","0.26","0.32","0.28","0.27","0.25","0.44","0.29","0.25"
"Hf","5.00","4.30","4.30","4.60","4.50","4.40","3.20","5.20","4.60","5.30"
"Ta","1.60","1.70","1.40","1.40","1.40","1.60","1.90","1.00","1.30","1.70"
"Pb","1.9","7.1","9.7","1.9","9.7","13.4","4.3","5.7","9.1","5.7"
"Th","33.70","38.70","32.70","51.00","33.40","40.50","34.60","17.40","25.10","33.60"
"U","5.40","7.60","8.30","13.90","7.30","12.90","6.80","4.70","7.60","8.50"
