"","KK82","KK80","K57","KK51","KK42","KK10","GK71","GK65","GK77","GK61","GK63"
"","North of Kapıdag˘","","","","","","South of Kapıdag˘","","","",""
"SiO2","62.32","62.10","67.55","70.89","72.48","73.71","77.86","69.59","69.20","68.73","70.81"
"TiO2","0.71","0.71","0.48","0.33","0.29","0.22","0.07","0.31","0.29","0.36","0.27"
"Al2O3","16.23","16.16","15.38","14.47","14.24","13.19","11.21","15.41","14.97","15.25","14.62"
"Fe2O3","6.37","6.52","4.38","2.86","2.83","2.31","0.60","2.77","2.69","2.91","2.38"
"MgO","2.48","2.41","1.17","0.83","0.73","0.57","0.16","0.67","0.62","0.73","0.53"
"MnO","0.13","0.12","0.12","0.08","0.10","0.08","0.01","0.10","0.10","0.09","0.10"
"CaO","6.73","6.44","4.10","3.40","3.21","2.50","0.76","3.73","3.83","4.55","3.54"
"K2O","1.44","1.70","2.72","2.64","2.22","3.42","5.35","3.00","2.80","2.13","2.35"
"Na2O","3.44","3.48","3.93","4.17","3.98","3.54","1.81","4.70","4.65","4.53","4.69"
"P2O5","0.16","0.15","0.16","0.09","0.10","0.09","0.04","0.12","0.12","0.15","0.11"
"LOI","0.42","0.46","0.51","0.53","0.47","0.47","0.80","0.37","0.40","0.40","0.21"
"Total","100.44","100.26","100.50","100.29","100.64","100.08","98.65","100.76","99.68","99.83","99.59"
"Sc","14","14","6","5","5","4","4","5","5","4","4"
"V","136","134","26","30","27","17","7","32","33","33","25"
"Cr","15","16","9","18","12","14","9","10","9","11","13"
"Co","16","17","12","5","5","3","1","4","4","4","3"
"Ni","9","19","4","14","3","7","1","7","5","18","34"
"Cu","8","15","21","5","5","5","5","5","6","6","4"
"Zn","150","1247","84","50","107","36","6","109","121","71","57"
"Ga","32","34","38","32","33","33","31","92","86","88","78"
"Rb","60","65","129","104","127","136","218","90","105","68","111"
"Sr","301","305","251","254","195","158","369","1004","1095","1184","1046"
"Y","23","23","21","11","19","16","6","21","25","23","18"
"Zr","132","136","160","154","145","121","51","179","182","201","174"
"Nb","8","9","13","9","14","11","8","14","17","16","17"
"Cs","3","3","6","4","10","7","3","2","2","2","6"
"Ba","336","373","441","365","375","404","345","1458","1283","1358","1171"
"La","9.76","18.86","34.98","29.25","28.44","23.92","12.26","38.57","50.24","46.76","39.87"
"Ce","21.12","36.37","65.42","47.80","52.14","43.78","17.11","70.40","89.79","84.42","71.17"
"Pr","2.84","4.19","7.05","4.70","5.54","4.68","2.14","7.64","9.56","9.21","7.58"
"Nd","13.08","17.03","26.65","16.43","20.72","17.49","7.13","28.85","35.39","34.91","27.97"
"Sm","3.32","3.64","4.96","2.78","4.09","3.45","1.07","5.23","6.20","6.34","4.97"
"Eu","1.08","1.14","1.17","0.82","0.86","0.76","0.33","1.57","1.76","1.87","1.47"
"Gd","3.40","3.60","4.28","2.41","3.62","3.02","0.85","4.43","5.20","5.31","4.10"
"Tb","0.53","0.54","0.57","0.31","0.50","0.42","0.11","0.56","0.67","0.66","0.52"
"Dy","3.61","3.57","3.45","1.85","3.07","2.55","0.66","3.35","3.95","3.83","2.99"
"Ho","0.75","0.73","0.66","0.35","0.58","0.48","0.15","0.63","0.76","0.71","0.55"
"Er","2.15","2.09","1.79","0.95","1.59","1.33","0.51","1.78","2.12","1.91","1.51"
"Tm","0.34","0.34","0.27","0.15","0.25","0.21","0.11","0.28","0.34","0.29","0.24"
"Yb","2.20","2.14","1.67","0.90","1.59","1.34","0.90","1.75","2.12","1.75","1.50"
"Lu","0.33","0.32","0.24","0.13","0.24","0.20","0.18","0.25","0.31","0.25","0.22"
"Hf","0.37","0.34","0.67","0.77","1.23","0.98","1.94","0.50","0.60","0.49","0.70"
"Ta","0.52","0.56","0.97","0.76","1.33","1.05","0.74","0.84","1.05","1.01","0.96"
"Pb","17.38","65.19","24.84","22.41","29.10","34.96","19.38","37.00","42.63","30.14","38.81"
"Th","1.67","6.22","12.25","10.82","14.08","11.80","30.85","12.65","18.85","11.62","13.60"
"U","1.05","2.07","2.36","1.69","3.98","2.38","5.19","3.60","6.49","2.16","7.23"
