"Table2","ICP–MSanalysesofwholerock,clinopyroxeneandamphiboleseparatesfromYabelloperidotitexenolithes,southernEthiopia","","","","","","","","",""
"","","Anhydrousspinel","lherzolites","","","","Hydrousspinel","","lherzolites",""
"","HA7C","","TC01","","DM827","","HA1B","","HA6B",""
"","WR","Cpx","WR","Cpx","WR","Cpx","WR","Cpx","WR","Cpx"
"Li(ppm)","191","170","181","179","178","152","200","152","185","167"
"Be","0040","0097","0032","0094","0028","0093","0045","0130","0036","0098"
"Sc","139","871","151","567","146","538","192","647","151","641"
"V","587","309","753","286","681","279","935","306","805","287"
"Cr","1,262","6,605","1,510","3,963","1,676","4,395","1,548","3,463","1,373","3,978"
"Co","108","254","109","294","108","238","96","204","99","251"
"Ni","1,999","374","1,830","414","1,877","366","1,700","315","1,678","371"
"Rb","0304","0025","0051","0029","0032","0027","0299","0037","0119","0126"
"Sr","1187","657","984","728","1106","816","2021","825","1214","789"
"Y","258","190","346","223","308","222","561","259","396","240"
"Zr","533","303","642","410","549","390","882","421","648","387"
"Nb","0465","0120","0107","0245","0077","0050","0176","0118","0181","0231"
"Cs","0004","0004","0000","0006","0001","0006","0004","0006","0002","0008"
"Ba","361","0147","097","0339","108","0264","511","1099","108","1433"
"La","0433","089","0121","123","0237","202","0316","153","0186","146"
"Ce","0925","333","0449","460","0381","383","0869","519","0501","390"
"Pr","0131","0668","0094","0950","0082","0792","0176","0997","0102","0807"
"Nd","0643","412","0617","593","0500","485","1066","602","0641","512"
"Sm","0208","170","0259","248","0208","207","0424","242","0266","224"
"Eu","0087","0678","0110","0964","0091","0853","0177","0956","0119","0942"
"Gd","0317","243","0400","333","0345","315","0657","362","0447","336"
"Tb","0061","0466","0079","0620","0070","0593","0131","0692","0089","0644"
"Dy","0418","308","0558","397","0476","396","0909","454","0630","423"
"Ho","0096","0667","0124","0825","0112","088","0200","0989","0146","0931"
"Er","0270","195","0374","235","0327","245","0592","279","0437","267"
"Tm","0043","0288","0059","0343","0053","0365","0091","0413","0068","0387"
"Yb","0295","180","0386","209","0346","221","0593","252","0462","236"
"Lu","0045","0252","0061","0295","0054","0307","0087","0358","0068","0333"
"Hf","0159","097","0194","124","0168","125","0275","136","0200","122"
"Ta","0027","0014","0005","0022","0002","0010","0005","0020","0007","0023"
"Pb","0129","0368","0033","–","0040","0214","0067","0283","0046","0268"
