"Sampleno","1478m/144Nda","143Nd/144Nd","_+2o-m","eCnUR(o)b","",""
"","","","","","Tm(AE)~",""
"","","","","","(a)","(B)"
"F-19","","","","","",""
"I","01145","0511024","40","-315","309","298"
"II","01163","0511153","40","-290","291","280"
"F-20","","","","","",""
"I","00903","0510285","35","-459","345","335"
"II","00909","0510297","31","-457","345","335"
"F-21","","","","","",""
"I","01363","0511229","38","--275","372","353"
"II","01381","0511296","52","-262","366","347"
"F-22","01218","0510930","35","-334","360","345"
"F-23","01205","0510930","40","--334","355","339"
"F-25","","","","","",""
"I","01110","0510700","40","-378","355","342"
"II","01069","0510651","29","--388","347","335"
"F-26","00935","0510405","40","--436","338","328"
"A930","01301","0511087","17","-303","370","353"
"A890","00863","0510395","12","--438","317","308"
"A889","00985","0510404","64","-436","356","344"
"A667","00820","0510300","27","--456","317","309"
"IKP-80","00914","0510389","10","-439","333","323"
