"","TrachyandesitetoTrachyte","","","","TrachytetoTrachydacite","","","TrachydacitetoNiobiumTuff","","","AssimilantCompositions","",""
"","Target","FC","AFC-1","AFC-2","Target","FC","AFC-1","Target","FC","AFC-1","","1'","21"
"SiO2","644","642","648","846","714","713","71~","710","70,9","711","SiO2","718","716"
"TiO2","025","024","025","026","017","018","017","016","016","017","TiO2","0,27","022"
"AI203","163","162","163","162","130","129","134","139","129","139","AI203","152","141"
"FeOt","55","53","56","54","46","47","42","23","2,2","23","FeOt","21","34"
"MgO","08","09","10","07","05","04","0E","13","11","13","MgO","09","07"
"CaO","12","13","16","1,3","06","04","O,E","28","26","2,2","CaO","15","10"
"Na20","46","46","43","45","43","45","41","24","29","28","Na2O","33","36"
"K20","67","68","59","67","49","48","4E","48","5,3","50","K20","49","49"
"P205","003","004","004","006","001","001","001","005","004","007","P205","008","005"
"ZrO2","027","044","020","032","047","0,86","05~","13","19","11","ZrO2","003","025"
"E(Nd)","21","26","21","21","18","21","1E","07","18","07","E(Nd)","-50","-I6"
"","Liqremaining(F)andassimilationrate(r):","","","","","","","","","","","",""
"F","","025","042","032","","032","031","","024","019","Traceelements","(ppm):",""
"r","","000","024","008","","000","0~","","000","0,31","","",""
"","Weightproportionsoffractionatingphases:","","","","","","","","","","Sn","5","14"
"quartz","","","","","","","","","02499","02487","Sr","150","102"
"Cafeld","","07487","07283","07333","","03433","0,350C","","","","Ba","800","555"
"alkfeld","","","","","","05500","0545;","","06841","06893","Eu","065","2"
"Ti-mgt","","00415","00430","00390","","00500","0047C","","00520","00499","Ga","22","42"
"opx","","01774","01923","01928","","00354","0034~","","00140","0009(","Be","4","8"
"cpx","","00256","00277","00278","","00204","00201","","","","Rb","150","212"
"ap","","00068","00087","00070","","00009","0001;:","","","","La","29","231"
"zircon","","","","00001","","","0000","","","00001","Ce","60","448"
"allanite","","","","","","","0001~","","","0003G","Nd","31","180"
"SumSqsResiduals:","","00848","11012","01239","","03192","04487","","19992","07336","Sm","7","3E"
"","PhaseCompositions:","","","","","","","","","","Tb","1,15","583"
"Feld:","Ab54An14Or32","","","","Ab59An15Or26","","Ab36Or64","Ab60Or40","","","Y","40","256"
"Px:","En27Fs73,","En14Fs36Wo50","","","En62Fs38","En31FslgWo50","","En6gFs31","","","Yb","36","21,4"
"Ti-mgt:","Ulv80Mgt20","","","","UIv18Mgt78","","","Ulvl1Mgt89","","","Lu","054","322"
"","Selectedtraceelements(ppm):","","","","","","","","","","Hf","95","573"
"Rb","192","233","204","22z","273","286","311","484","471","443","Nb","42","431"
"Nd","273","253","161","231","328","796","342","75","1341","69","Ta","28","323"
"Yb","174","184","125","17~","391","512","414","166","159","177","Th","16","61"
"Hf","500","634","420","50z","105","155","63","378","427","376","U","35","8,8"
"Nb","284","312","207","327","821","762","779","3176","2773","3146","","",""
"Ta","206","207","137","22z","618","572","58~","253","218","253","","",""
"Th","407","366","286","39E","106","129","103J","389","441","174","","",""
