"Sample","Strat#","SiO2","TiO2","Al2O3","FeO*","MnO","MgO","CaO","Na2O","K2O","P2O5","Total"
"SouthPaganpost-caldera","","","","","","","","","","","",""
"TM-06-15A","–","5205","079","1700","923","018","550","1079","229","082","014","9879"
"TM-06-16","–","6176","073","1544","679","017","197","484","392","216","022","9800"
"TM-06-10","–","5350","081","1708","904","018","493","1008","279","101","016","9958"
"TM-06-10r","–","5349","081","1708","916","018","493","1008","280","101","016","9970"
"TM-06-901","–","5386","081","1708","904","018","480","997","282","108","016","9979"
"TM-06-28","–","5383","080","1688","913","018","483","990","280","109","016","9960"
"TM-06-08","–","5389","079","1679","908","018","492","994","275","110","016","9960"
"TM-06-07","–","5248","078","1723","925","018","492","990","262","097","015","9849"
"TM-06-275","24","5388","078","1673","910","018","496","1006","273","109","016","9966"
"TM-06-911","24","5398","079","1695","910","018","492","1010","277","110","015","10004"
"TM-06-214","23","5360","080","1676","932","018","489","1000","276","107","016","9954"
"TM-06-24","22","5268","079","1719","917","018","515","1047","261","091","014","9929"
"TM-06-18","21","6012","079","1603","685","016","225","582","385","193","023","9804"
"SouthPagandikes","","","","","","","","","","","",""
"TM-06-20","–","5227","079","1717","918","018","533","1049","261","086","015","9903"
"TM-06-22","–","5220","084","1764","940","018","482","1034","276","087","016","9920"
"SouthPaganpre-caldera","","","","","","","","","","","",""
"TM-06-30","–","6121","091","1560","749","018","199","515","423","208","031","9915"
"TM-06-30r","–","6118","090","1561","742","018","199","516","423","208","031","9906"
"TM-06-31","–","5228","078","1698","939","018","560","1089","247","090","014","9960"
"TM-06-32","–","5433","076","1687","890","018","475","958","284","112","016","9949"
"TM-06-33","–","5509","079","1702","882","018","427","886","306","123","018","9949"
"TM-06-05","20","5471","087","1826","842","017","323","881","315","114","018","9893"
"TM-06-205","19","5328","077","1739","883","018","524","1065","266","087","013","10000"
"TM-06-204","18","5317","076","1751","885","017","512","1060","251","087","013","9969"
"TM-06-203","17","5285","076","1738","890","018","519","1043","267","085","013","9934"
"TM-06-202","16","5297","077","1736","893","018","522","1057","249","084","012","9944"
"TM-06-201","15","5246","078","1724","910","018","515","1028","265","086","012","9881"
"TM-06-200","14","5270","077","1721","889","018","507","1028","261","089","013","9872"
"TM-06-907","13","6160","070","1662","607","015","204","554","446","162","021","9901"
"TM-06-906","12","5756","086","1627","875","019","326","712","361","160","023","9945"
"CVRdikes","","","","","","","","","","","",""
"TM-06-241","–","5042","076","1927","906","018","480","1171","259","058","011","9949"
"TM-06-217","–","4825","077","1931","1015","019","566","1322","208","046","010","10018"
"TM-06-120","–","4899","080","1786","1090","021","564","1192","243","063","013","9951"
"Late-stageCVR","","","","","","","","","","","",""
"TM-06-03","11","5615","074","1826","769","017","289","819","367","118","016","9910"
"TM-06-34","–","5241","081","1893","891","017","373","1037","283","087","015","9917"
"CentralVolcanicRegion","","","","","","","","","","","",""
"TM-06-216","10","4948","080","1721","1078","021","628","1189","231","056","013","9966"
"TM-06-236","9","4863","083","1792","1132","021","555","1204","235","059","015","9958"
"TM-06-237","8","4893","080","1750","1108","021","587","1213","233","060","013","9960"
"TM-06-123","7","4838","080","1758","1107","021","588","1206","230","055","013","9898"
"TM-06-122","6","4911","079","1772","1098","021","589","1202","226","063","013","9973"
"TM-06-121","5","4924","079","1839","1088","021","551","1181","240","061","014","9997"
"TM-06-238","4","4956","077","1865","1065","020","531","1176","242","064","014","10009"
"TM-06-239","3","4916","074","1776","1061","020","595","1212","224","057","013","9948"
