"Sample","Strat#","SiO2","TiO2","FeO*Al2O3","MnO","MgO","CaO","Na2O","K2O","P2O5","Total"
"TM-06-245","2","4918","0761853","1061","020","539","1175","236","061","013","9952"
"TM-06-243","1","5158","0721678","","954018","566","1081","258","086","014","9885"
"HawaiianRockStandard","","","","","","","","","","",""
"Kil1919a","–","5026","2831383","1108","017","715","1165","232","053","027","1001"
"Kil1919b","–","5061","2801391","1101","018","696","1156","180","054","028","9965"
"Sample","LOI","Y","Sr","Rb","Zr","Ni","Cr","V","Ba","",""
"SouthPaganpost-caldera","","","","","","","","","","",""
"TM-06-15A","085","219","322","151","78","21","32","268","186","",""
"TM-06-16","112","380","277","412","172","bd","bd","111","391","",""
"TM-06-10","-013","232","317","185","85","13","25","269","197","",""
"TM-06-10r","-013","230","316","185","86","12","25","269","204","",""
"TM-06-901","-010","239","316","198","89","12","21","269","201","",""
"TM-06-28","-002","244","308","200","90","11","16","269","201","",""
"TM-06-08","-009","245","302","201","91","12","20","268","203","",""
"TM-06-07","099","227","303","178","87","12","20","267","200","",""
"TM-06-275","-004","244","303","203","90","13","22","269","208","",""
"TM-06-911","-023","244","307","202","89","13","22","271","202","",""
"TM-06-214","-013","240","306","193","88","12","15","271","201","",""
"TM-06-24","009","227","317","171","78","13","26","271","186","",""
"TM-06-18","083","346","286","367","158","bd","3","148","358","",""
"SouthPagandikes","","","","","","","","","","",""
"TM-06-20","032","221","341","145","71","19","39","279","176","",""
"TM-06-22","027","228","351","149","72","15","23","295","186","",""
"SouthPaganpre-caldera","","","","","","","","","","",""
"TM-06-30","-009","415","322","367","161","bd","bd","114","418","",""
"TM-06-30r","-009","400","321","380","163","bd","bd","116","417","",""
"TM-06-31","-004","214","321","169","77","21","37","272","177","",""
"TM-06-32","003","237","378","186","87","16","20","265","247","",""
"TM-06-33","-011","264","377","209","97","14","15","255","260","",""
"TM-06-05","037","266","341","215","98","4","8","246","226","",""
"TM-06-205","-019","220","330","154","76","18","50","273","187","",""
"TM-06-204","-014","218","333","145","76","18","47","270","186","",""
"TM-06-203","020","213","328","152","75","19","48","254","193","",""
"TM-06-202","015","224","330","141","75","19","48","273","187","",""
"TM-06-201","072","211","325","147","76","18","46","251","192","",""
"TM-06-200","065","224","326","153","75","17","44","266","195","",""
"TM-06-907","017","348","326","268","127","bd","3","131","349","",""
"TM-06-906","017","312","298","289","128","5","17","197","291","",""
"CVRdikes","","","","","","","","","","",""
"TM-06-241","-015","178","379","98","50","16","19","298","129","",""
"TM-06-217","-032","134","387","75","32","11","17","353","101","",""
"TM-06-120","-023","182","447","89","43","16","17","345","156","",""
"Late-stageCVR","","","","","","","","","","",""
"TM-06-03","-002","261","365","190","92","3","3","213","244","",""
"TM-06-34","019","226","388","142","71","6","10","281","185","",""
"CentralVolcanicRegion","","","","","","","","","","",""
"TM-06-216","-009","202","400","81","41","16","19","324","143","",""
