"Sample","206Pb/204Pb","207Pb/204Pb","208Pb/204Pb","87Sr/86Sr","143Nd/144Nd","eNd"
"SouthPaganpost-caldera","","","","","",""
"TM-06-275","188242","155633","384172","0703495","0512999","?705"
"TM-06-911","188225","155640","384179","0703494","0512996","?698"
"TM-06-214","188242","155626","384162","0703479","0513006","?717"
"TM-06-24","188233","155619","384141","0703455","0513007","?720"
"TM-06-18","188230","155651","384271","0703467","0512998","?702"
"SouthPaganpre-caldera","","","","","",""
"TM-06-05","188245","155657","384282","0703447","0513011","?728"
"TM-06-202","188294","155656","384330","0703460","0513004","?713"
"TM-06-205","188282","155640","384278","0703457","0513012","?730"
"CVRDike","","","","","",""
"TM-06-217","188505","155588","384166","0703436","0512976","?659"
"Late-StageCVR","","","","","",""
"TM-06-03","188086","155660","384225","0703401","0513001","?709"
"TM-06-34","188638","155611","384388","0703407","0513004","?714"
"CentralVolcanicRegion","","","","","",""
"TM-06-216","188221","155650","384280","0703441","0513000","?706"
"TM-06-237","188310","155672","384361","0703419","0512982","?670"
"TM-06-245","188359","155668","384381","0703466","0512967","?641"
"TM-06-243","188487","155685","384561","0703467","0512980","?667"
"HawaiianRockStandard","","","","","",""
"Kil1919","186550±18","154895±13","382059±37","–","0512974±4","?652"
