"TTGgroup","","","","","","Graniticgroup","","","",""
"Sample","S42","S43","S44","S41","S21","S24","S29","S26","S31","S67"
"La","214","178","455","673","108","1228","805","449","118","79"
"Ce","426","30","778","113","172","1981","1375","861","188","117"
"Pr","49","3","76","113","15","183","133","88","16","084"
"Nd","175","10","241","337","46","575","419","273","5","24"
"Sm","29","13","35","43","038","58","57","5","052","043"
"Eu","077","061","059","091","048","09","081","034","038","062"
"Gd","25","11","26","29","026","391","391","37","066","018"
"Dy","16","081","16","12","007","121","166","342","039","009"
"Ho","029","014","025","022","005","017","021","066","005","005"
"Er","082","04","065","054","002","04","049","202","025","005"
"Yb","077","038","047","046","01","029","03","249","023","01"
"Lu","012","006","007","007","001","003","004","04","003","001"
"Hf","45","37","41","75","24","34","58","42","39","07"
"Ta","005","005","06","015","005","005","005","855","045","005"
"W","066","058","051","099","65","05","081","107","07","041"
"Pb","15","14","21","13","12","43","31","33","17","24"
"Th","1","08","31","13","01","82","56","40","11","5"
"U","039","06","23","083","024","086","206","222","245","154"
"SREE","991","666","1647","2359","355","5384","3815","2946","748","556"
"K/Rb","393","504","222","256","681","435","295","208","316","351"
"Rb/Sr","013","009","028","024","004","031","076","11","04","045"
"Th/U","26","13","134","161","04","949","27","18","44","33"
"LaN/YbN","188","313","729","997","726","285","181","122","346","529"
"Eu/Eu*","09","16","06","08","47","057","052","024","2","69"
