"Table 1 Whole-rock major and trace element compositions of","","","","","","the studied intrusive rocks of Dehsalm","","","",""
"Sample","de13","D7-93","de-40","de26","D3-227","D6-227","D9-241","de-12","D4-245","de-14"
"Sample","721865","722761","722380","722901","722596","722291","722850","721908","721793","722028"
"location","3435956","3435670","3434056","3435550","3436092","3436514","3435950","3436034","3436351","3435803"
"Petrography","Bt","Bt","Px Hbl gabbroic","Hlb","Px Bt Qtz","Px Hbl","Px Bt Qtz","Px Hbl","Px Bt","Bt Px"
"","granite","granite","diorite","monzonite","monzonite","diorite","monzonite","diorite","monzodiorite","monzonite"
"Wt%","","","","","","","","","",""
"SiO2","69.05","66.73","51.99","60.14","61.14","54.09","61.25","57.88","53.12","63.71"
"TiO2","0.33","0.42","0.64","0.46","0.6","0.78","0.56","0.65","0.83","0.43"
"Al2O3","14.13","14.28","14.8","13.74","15.26","15.01","14.95","14.92","15.06","14"
"TFeO","2.45","3.22","7.85","5.79","5.58","6.59","5.54","5.9","7.49","4.51"
"MnO","0.02","0.09","0.14","0.18","0.07","0.14","0.11","0.12","0.13","0.09"
"MgO","0.92","1.61","4.2","2.47","2.25","4.62","2.21","4.14","3.67","2.79"
"CaO","1.26","3.4","10.44","5.19","4.24","10.02","4.98","7.03","8.85","3.36"
"Na2O","3.14","3.24","2.91","3.65","2.59","2.32","2.53","2.98","2.86","3.62"
"K2O","5.87","4.38","1.57","5.65","5.22","1.64","5.06","2.7","3.04","5.12"
"P2O5","0.1","0.18","0.45","0.33","0.24","0.5","0.25","0.43","0.62","0.2"
"L.O.I","1.15","1.87","4.14","1.68","1.06","2.95","1.79","1.44","2.97","0.85"
"ppm","","","","","","","","","",""
"Ba","","","","1146","834","1059","806","961","1036","886"
"Be","","","","3","2","1","2","1","3","3"
"Co","","","","11.2","12.3","10.3","9.9","18","22.7","9.2"
"Cs","","","","2.6","13.5","2.6","10","3.4","2.8","4.4"
"Ga","","","","15.1","16.1","19.2","15.3","18.1","19","15.5"
"Hf","","","","7","8.3","4.2","7","6.1","6.9","8"
"Nb","","","","30.5","21.5","8.7","20.6","13.1","14.7","21.4"
"Rb","","","","146.8","204.7","49","179.3","85.7","80.2","165.9"
"Sn","","","","3","2","2","2","2","2","1"
"Sr","","","","878.2","674.5","1210","647.5","1139","1339","626.2"
"Ta","","","","1.5","1.4","0.4","1.2","0.6","0.6","1.4"
"Th","","","","35.7","42.3","10.8","39.4","19.1","18.5","33"
"U","","","","5.5","11.8","2.9","10.9","4.9","4.3","8"
"V","","","","84","110","259","102","166","229","72"
"W","","","","2.3","5.2","1.7","2.8","1.3","1.8","3.3"
"Zr","","","","239.8","282.9","143.9","261","187.5","254.4","297.6"
"Y","","","","18.9","20.3","22.2","20.2","17.9","22.5","19.3"
"La","","","","48.9","57.9","44.7","58","44.8","57.2","57.4"
"Ce","","","","105.8","109.2","86.8","108.9","86.2","109.1","108.1"
"Pr","","","","11.84","11.67","10.19","11.58","9.61","12.37","11.34"
"Nd","","","","42.7","37.9","38.6","38.1","34.7","47.9","39.8"
"Sm","","","","7.22","6.34","7.2","6.41","6.14","8.03","6.23"
"Eu","","","","1.81","1.35","1.93","1.33","1.61","2.16","1.21"
"Gd","","","","5.46","4.61","5.88","4.58","4.57","6.21","4.5"
"Tb","","","","0.76","0.68","0.85","0.7","0.69","0.85","0.65"
"Dy","","","","3.61","3.6","4.31","3.47","3.36","4.25","3.37"
