"","Table1MajorandtraceelementconcentrationsforTinaquilloPeridotiteComplex,northernVenezuela","","","","",""
"Sample","TQ-01","TQ-04","TQ-10","TQ-11","TQ-13","TQ-16"
"Rocktype","Spperid","Spperid","Spperid","Spperid","Spperid","Spperid"
"SiO2","438","436","424","448","413","430"
"TiO2","007","004","007","007","006","008"
"Al2O3","29","21","24","32","19","29"
"*","","","","","",""
"Fe2O3","83","89","86","84","87","83"
"MnO","013","013","012","013","012","012"
"MgO","411","429","420","406","427","412"
"CaO","27","20","23","27","17","28"
"Na2O","023","ND","023","110","088","026"
"K2O","ND","ND","ND","ND","ND","ND"
"P2O5","ND","001","ND","ND","001","ND"
"Total","992","996","981","1011","974","986"
"Mg#**","907","905","907","905","906","907"
"V","119","55","59","66","45","66"
"Cr","4116","2779","2638","2663","2386","2816"
"Sr","ND","321","468","223","218","338"
"Y","ND","138","216","290","148","257"
"Nb","ND","012","020","005","011","005"
"Hf","ND","008","013","011","009","015"
"Ta","ND","002","002","001","001","001"
"Pb","ND","021","022","009","014","006"
"Th","ND","002","002","001","002","002"
"U","ND","004","004","002","001","022"
"Ba","ND","317","398","517","386","504"
"La","ND","010","008","003","003","003"
"Ce","ND","027","026","010","012","020"
"Pr","ND","004","006","003","004","006"
"Nd","ND","019","029","019","020","034"
"Sm","ND","013","016","013","013","018"
"Eu","ND","003","007","006","005","007"
"Gd","ND","011","024","024","015","025"
"Tb","ND","003","004","005","003","005"
"Dy","ND","021","035","043","022","040"
"Ho","ND","005","009","011","006","010"
"Er","ND","016","027","032","016","028"
"Yb","ND","014","020","033","013","029"
"Lu","ND","003","003","006","002","004"
"***","","","","","",""
"(La/Yb)N","–","055","028","006","015","009"
"Valuesarewt%formajorelements,andppmfortraceelements","","","","","",""
"NDnotdetermined","","","","","",""
"*TotalFeasFe2O3","","","","","",""
"**","","","","","",""
"100Mg/(Mg+SFe)","","","","","",""
