"Sampleno","[Lu]ppm","[Hf]ppm","176Lu/177Hf","176Hf/177Hf","2r","eHf"
"Spinelperidotites","","","","","",""
"TQ-01wr","0045","0044","01464","–","–","–"
"TQ-04wr","0029","0051","00806","0283849","0000147","38"
"Duplicate","–","–","–","0283842","0000440","38"
"TQ-10wr","0040","0100","00633","0283041","0000099","10"
"TQ-11wr","0057","0112","00810","0284187","0000069","50"
"Duplicate","–","–","–","0283942","0000400","41"
"TQ-11cpx","0283","0654","00613","0284141","0000028","48"
"TQ-13wr","0028","0075","00588","0283717","0000158","33"
"TQ-16wr","0046","0121","00606","0283306","0000232","19"
"Duplicate","–","–","–","0283036","0000237","9"
"Triplicate","–","–","–","0283282","0000318","18"
"TQ-17wr","0046","0094","00786","0284053","0000191","45"
"Hornblenditeveins","","","","","",""
"TQ-08wr","0329","1489","00352","0282990","0000013","8"
"TQ-14amp","0244","0637","00543","0283453","0000019","24"
"TQ-19wr","0222","0614","00575","0283117","0000074","12"
"TQ-21wr","0218","1233","00251","0283192","0000018","15"
"TQ-21amp","0198","1345","00209","0283167","0000040","14"
