"Sample name","143Nd/144Nd","±2s","eNd (t)","[Nd]","[Sm]","87Sr/86Sr","± 2s","87Sr/86Sri","[Sr]","[Rb]"
"Granodiorite","","","","","","","","","",""
"ML051.04","0.512410","0.000012","-3.45","9.9","1.8","0.707384","0.000008","0.705802","422","172"
"ML061.61","0.512405","0.000009","-3.70","30.7","6.4","0.706907","0.000010","0.705935","523","131"
"ML061.63","0.512394","0.000010","-3.78","22.8","4.3","0.706959","0.000007","0.705795","500","150"
"Hybridized granodiorite","","","","","","","","","",""
"ML051.02 (L)","0.512286","0.000012","-5.29","57.6","6.1","0.707678","0.000008","0.706340","261","90"
"ML051.08 (H)","0.512403","0.000008","-3.99","24.4","5.9","0.707363","0.000007","0.706105","435","141"
"ML051.18 (L)","0.512273","0.000010","-5.75","17.4","2.3","0.708775","0.000006","0.707189","411","168"
"ML061.25 (L)","0.512400","0.000007","-3.56","23.5","4.1","0.707818","0.000008","0.706633","439","134"
"ML061.26 (H)","0.512428","0.000044","-3.13","13.1","2.5","0.707569","0.000007","0.706492","508","141"
"ML061.28 (H)","0.512240","0.000023","-6.61","3.4","0.6","0.707823","0.000008","0.706478","352","122"
"ML061.30 (H)","0.512257","0.000014","-6.20","4.3","0.7","0.707307","0.000009","0.706224","466","130"
"ML061.36 (L)","0.512089","0.000006","-9.52","47.7","7.7","0.715645","0.000007","0.714147","215","83"
"ML061.38 (H)","0.512067","0.000006","-10.48","15.1","3.5","0.717084","0.000007","0.710674","155","256"
"ML061.40 (H)","0.512341","0.000013","-4.73","6.7","1.2","0.708109","0.000007","0.706201","356","175"
"ML061.60 (L)","0.512179","0.000097","-7.76","6.5","1.0","0.708401","0.000007","0.707071","318","109"
"Quartzite","","","","","","","","","",""
"ML051.14","0.511475","0.000023","-21.89","9.1","1.9","0.765441","0.000007","0.760051","18","25"
"ML061.37","0.511646","0.000028","-18.15","4.6","0.7","0.722843","0.000007","0.714478","45","97"
"ML061.39","0.512157","0.000007","-7.95","13.1","1.6","0.711588","0.000007","0.706252","24","33"
"Pelitic quartzite","","","","","","","","","",""
"ML051.03","0.511373","0.000010","-23.67","37.1","6.9","0.789945","0.000007","0.774034","30","123"
"ML061.29","0.511917","0.000048","-13.35","19.3","4.3","0.732385","0.000007","0.730193","108","61"
"calc-silicate rocks","","","","","","","","","",""
"ML051.17","0.511635","0.000025","-18.65","37.0","7.3","0.728369","0.000007","0.728164","151","8"
"ML061.59","0.511625","0.000008","-18.72","42.4","7.6","0.748255","0.000008","0.747656","214","33"
"Marbles","","","","","","","","","",""
"ML051.05","","","","","","0.710385","0.000007","0.710344","94","1"
"ML-85","0.511750","0.000018","-16.47","4.9","1.0","0.710961","0.000007","0.710947","279","1"
