"Samplename","Pelitic","Hybridized","Granodiorite"
"","quartzite","granodiorite",""
"","ML05103","ML05102","ML06163"
"Monazitepercentofheavy","*10%","",""
"minerals","","",""
"Uranothoritepercentof","","*3%","\1%"
"heavyminerals","","",""
"Allanitepercentofheavy","","*15%","\1%"
"minerals","","",""
"Ceinmonazite(ppm)","*15","",""
"Thinmonazite(ppm)","*3","",""
"Ceinallanite(ppm)","","*18","\3"
"Thinuranothorite(ppm)","","*27","\18"
"Ceinwhole-rock(ppm)","101","213","55"
"Thinwhole-rock(ppm)","19","75","31"
"Heavyminerals/total","005wt%","02wt%","04wt%"
